        Frequency / MHz                S1,2 (31765)/abs,dB
                  1047.4                       -15.61446
                    1050                      -15.806818
                  1052.6                      -16.031869
                  1055.2                      -16.275209
                  1057.8                      -16.526618
                  1060.4                      -16.779718
                    1063                      -17.030849
                  1065.6                      -17.277717
                  1068.2                      -17.518292
                  1070.8                      -17.750369
                  1073.4                      -17.971869
                    1076                      -18.181414
                  1078.6                      -18.378922
                  1081.2                      -18.565542
                  1083.8                       -18.74305
                  1086.4                      -18.912959
                    1089                      -19.075788
                  1091.6                      -19.230982
                  1094.2                      -19.377526
                  1096.8                        -19.5148
                  1099.4                      -19.643218
                    1102                       -19.76425
                  1104.6                      -19.879805
                  1107.2                      -19.991313
                  1109.8                       -20.09908
                  1112.4                      -20.202357
                    1115                      -20.299986
                  1117.6                      -20.391298
                  1120.2                      -20.476641
                  1122.8                      -20.557345
                  1125.4                      -20.635032
                    1128                      -20.710781
                  1130.6                      -20.784655
                  1133.2                       -20.85582
                  1135.8                      -20.923187
                  1138.4                      -20.986142
                    1141                      -21.044933
                  1143.6                      -21.100519
                  1146.2                      -21.154023
                  1148.8                      -21.206121
                  1151.4                      -21.256746
                    1154                      -21.305209
                  1156.6                      -21.350615
                  1159.2                      -21.392243
                  1161.8                      -21.429689
                  1164.4                      -21.462807
                    1167                      -21.491463
                  1169.6                      -21.515327
                  1172.2                      -21.533649
                  1174.8                      -21.545035
                  1177.4                        -21.5471
                    1180                      -21.536161
                  1182.6                      -21.507319
                  1185.2                      -21.455234
                  1187.8                      -21.375586
                  1190.4                      -21.266884
                    1193                       -21.13205
                  1195.6                      -20.979289
                  1198.2                      -20.821797
                  1200.8                      -20.676195
                  1203.4                       -20.55936
                    1206                      -20.484194
                  1208.6                      -20.455648
                  1211.2                      -20.469203
                  1213.8                      -20.512944
                  1216.4                      -20.572351
                    1219                      -20.635271
                  1221.6                      -20.694668
                  1224.2                      -20.748497
                  1226.8                      -20.797594
                  1229.4                      -20.843184
                    1232                      -20.885344
                  1234.6                      -20.922899
                  1237.2                      -20.954321
                  1239.8                      -20.978846
                  1242.4                      -20.996967
                    1245                       -21.01013
                  1247.6                      -21.019946
                  1250.2                      -21.027465
                  1252.8                      -21.032931
                  1255.4                      -21.036119
                    1258                      -21.036932
                  1260.6                      -21.035925
                  1263.2                      -21.034437
                  1265.8                      -21.034412
                  1268.4                       -21.03813
                    1271                      -21.048114
                  1273.6                      -21.067091
                  1276.2                      -21.098065
                  1278.8                      -21.143862
                  1281.4                      -21.206277
                    1284                        -21.2848
                  1286.6                      -21.375635
                  1289.2                      -21.471747
                  1291.8                       -21.56413
                  1294.4                      -21.644134
                    1297                      -21.705619
                  1299.6                       -21.74608
                  1302.2                      -21.766461
                  1304.8                      -21.769883
                  1307.4                      -21.760176
                    1310                      -21.740813
                  1312.6                      -21.714422
                  1315.2                      -21.682858
                  1317.8                      -21.647539
                  1320.4                        -21.6097
                    1323                      -21.570431
                  1325.6                      -21.530615
                  1328.2                      -21.490751
                  1330.8                      -21.450946
                  1333.4                      -21.411057
                    1336                      -21.370914
                  1338.6                      -21.330549
                  1341.2                      -21.290207
                  1343.8                      -21.250258
                  1346.4                      -21.210987
                    1349                       -21.17245
                  1351.6                      -21.134468
                  1354.2                      -21.096754
                  1356.8                      -21.059109
                  1359.4                      -21.021577
                    1362                      -20.984433
                  1364.6                      -20.948065
                  1367.2                      -20.912787
                  1369.8                      -20.878718
                  1372.4                       -20.84576
                    1375                       -20.81373
                  1377.6                      -20.782542
                  1380.2                       -20.75236
                  1382.8                      -20.723615
                  1385.4                      -20.696908
                    1388                      -20.672825
                  1390.6                      -20.651798
                  1393.2                      -20.634078
                  1395.8                      -20.619873
                  1398.4                       -20.60958
                    1401                      -20.604006
                  1403.6                      -20.604455
                  1406.2                       -20.61266
                  1408.8                      -20.630575
                  1411.4                      -20.660205
                    1414                      -20.703589
                  1416.6                      -20.763021
                  1419.2                      -20.841383
                  1421.8                      -20.942321
                  1424.4                      -21.070022
                    1427                      -21.228294
                  1429.6                      -21.418881
                  1432.2                      -21.639434
                  1434.8                      -21.881624
                  1437.4                      -22.130343
                    1440                      -22.364681
                  1442.6                      -22.561426
                  1445.2                      -22.700392
                  1447.8                      -22.769829
                  1450.4                      -22.769424
                    1453                      -22.709361
                  1455.6                      -22.606258
                  1458.2                      -22.478038
                  1460.8                      -22.339997
                  1463.4                      -22.202913
                    1466                      -22.073025
                  1468.6                      -21.953105
                  1471.2                      -21.843949
                  1473.8                      -21.745616
                  1476.4                      -21.658032
                    1479                       -21.58112
                  1481.6                       -21.51461
                  1484.2                      -21.457813
                  1486.8                      -21.409627
                  1489.4                      -21.368736
                    1492                      -21.333952
                  1494.6                      -21.304466
                  1497.2                      -21.279892
                  1499.8                       -21.26013
                  1502.4                      -21.245083
                    1505                      -21.234452
                  1507.6                       -21.22769
                  1510.2                      -21.224096
                  1512.8                      -21.223039
                  1515.4                       -21.22413
                    1518                      -21.227264
                  1520.6                      -21.232525
                  1523.2                      -21.240014
                  1525.8                      -21.249674
                  1528.4                      -21.261241
                    1531                      -21.274297
                  1533.6                      -21.288419
                  1536.2                      -21.303331
                  1538.8                      -21.318958
                  1541.4                      -21.335405
                    1544                      -21.352816
                  1546.6                      -21.371253
                  1549.2                      -21.390606
                  1551.8                      -21.410608
                  1554.4                      -21.430937
                    1557                      -21.451327
                  1559.6                      -21.471676
                  1562.2                      -21.492045
                  1564.8                       -21.51259
                  1567.4                      -21.533444
                    1570                      -21.554613
                  1572.6                       -21.57594
                  1575.2                      -21.597161
                  1577.8                      -21.618012
                  1580.4                       -21.63834
                    1583                      -21.658157
                  1585.6                      -21.677615
                  1588.2                      -21.696891
                  1590.8                      -21.716079
                  1593.4                      -21.735109
                    1596                      -21.753771
                  1598.6                      -21.771799
                  1601.2                      -21.789006
                  1603.8                       -21.80536
                  1606.4                      -21.820989
                    1609                      -21.836093
                  1611.6                      -21.850823
                  1614.2                      -21.865176
                  1616.8                      -21.878995
                  1619.4                      -21.892037
                    1622                      -21.904091
                  1624.6                      -21.915095
                  1627.2                      -21.925146
                  1629.8                      -21.934432
                  1632.4                      -21.943127
                    1635                      -21.951282
                  1637.6                      -21.958793
                  1640.2                      -21.965455
                  1642.8                      -21.971077
                  1645.4                      -21.975567
                    1648                       -21.97898
                  1650.6                      -21.981472
                  1653.2                      -21.983202
                  1655.8                      -21.984253
                  1658.4                      -21.984578
                    1661                      -21.984039
                  1663.6                      -21.982482
                  1666.2                      -21.979809
                  1668.8                      -21.976031
                  1671.4                      -21.971233
                    1674                      -21.965542
                  1676.6                      -21.959046
                  1679.2                      -21.951755
                  1681.8                       -21.94362
                  1684.4                      -21.934546
                    1687                      -21.924456
                  1689.6                       -21.91331
                  1692.2                      -21.901116
                  1694.8                      -21.887932
                  1697.4                      -21.873838
                    1700                      -21.858909
                  1702.6                      -21.843186
                  1705.2                       -21.82667
                  1707.8                      -21.809315
                  1710.4                      -21.791045
                    1713                      -21.771796
                  1715.6                      -21.751558
                  1718.2                      -21.730398
                  1720.8                      -21.708444
                  1723.4                      -21.685855
                    1726                      -21.662752
                  1728.6                      -21.639166
                  1731.2                       -21.61504
                  1733.8                      -21.590297
                  1736.4                      -21.564905
                    1739                      -21.538962
                  1741.6                      -21.512723
                  1744.2                      -21.486537
                  1746.8                      -21.460773
                  1749.4                      -21.435721
                    1752                      -21.411601
                  1754.6                      -21.388597
                  1757.2                      -21.367017
                  1759.8                      -21.347403
                  1762.4                      -21.330624
