# Version 1.00
#
freq[Hz]	Trc1_S21[dB]	Ch1_SG_S11_S11[dB]	Ch1_SG_S12_S12[dB]	Ch1_SG_S21_S21[dB]	Ch1_SG_S22_S22[dB]	RX_S22[dB]	TX_S11[dB]	ISO_S21[dB]	
6.000000000000000E+008	-5.431069978761176E+001	-5.703323313632739E-001	-5.463263504514796E+001	-5.431069978761176E+001	-2.210022329650827E-001	-2.210022329650827E-001	-5.703323313632739E-001	-5.431069978761176E+001	
6.120000000000000E+008	-5.341490073537268E+001	-6.158032884619145E-001	-5.350824302056206E+001	-5.341490073537268E+001	-2.428094672659854E-001	-2.428094672659854E-001	-6.158032884619145E-001	-5.341490073537268E+001	
6.240000000000000E+008	-5.081703491144253E+001	-6.725965497689649E-001	-5.084680101226120E+001	-5.081703491144253E+001	-2.535419179047836E-001	-2.535419179047836E-001	-6.725965497689649E-001	-5.081703491144253E+001	
6.360000000000000E+008	-4.481898188097424E+001	-7.360686556884074E-001	-4.488431559930722E+001	-4.481898188097424E+001	-2.674043602052674E-001	-2.674043602052674E-001	-7.360686556884074E-001	-4.481898188097424E+001	
6.480000000000000E+008	-4.201683277966128E+001	-7.623189515776124E-001	-4.204450327932069E+001	-4.201683277966128E+001	-2.796714855669336E-001	-2.796714855669336E-001	-7.623189515776124E-001	-4.201683277966128E+001	
6.600000000000000E+008	-4.073234501166106E+001	-8.625456763780365E-001	-4.072346156301079E+001	-4.073234501166106E+001	-2.893593641032795E-001	-2.893593641032795E-001	-8.625456763780365E-001	-4.073234501166106E+001	
6.720000000000000E+008	-3.921725770354654E+001	-1.021590131665801E+000	-3.927353119704598E+001	-3.921725770354654E+001	-3.116094152104055E-001	-3.116094152104055E-001	-1.021590131665801E+000	-3.921725770354654E+001	
6.840000000000000E+008	-3.804867325294225E+001	-1.254714689401152E+000	-3.806393445824881E+001	-3.804867325294225E+001	-3.425496287839411E-001	-3.425496287839411E-001	-1.254714689401152E+000	-3.804867325294225E+001	
6.960000000000000E+008	-3.666137294964899E+001	-1.577216568267521E+000	-3.670591262189619E+001	-3.666137294964899E+001	-3.629195961682852E-001	-3.629195961682852E-001	-1.577216568267521E+000	-3.666137294964899E+001	
7.080000000000000E+008	-3.581338648013514E+001	-2.104175636999054E+000	-3.584307960131682E+001	-3.581338648013514E+001	-4.074498496471812E-001	-4.074498496471812E-001	-2.104175636999054E+000	-3.581338648013514E+001	
7.200000000000000E+008	-3.376978937134052E+001	-2.848061934750385E+000	-3.378734332701077E+001	-3.376978937134052E+001	-4.645414158457544E-001	-4.645414158457544E-001	-2.848061934750385E+000	-3.376978937134052E+001	
7.320000000000000E+008	-2.816906180957012E+001	-3.289236614000545E+000	-2.819956452433365E+001	-2.816906180957012E+001	-5.664180326253413E-001	-5.664180326253413E-001	-3.289236614000545E+000	-2.816906180957012E+001	
7.440000000000000E+008	-2.495048185521820E+001	-4.292665100969644E+000	-2.496428619633950E+001	-2.495048185521820E+001	-6.219822310655402E-001	-6.219822310655402E-001	-4.292665100969644E+000	-2.495048185521820E+001	
