        Frequency / MHz                S2,2 (31778)/abs,dB
                  1000.6                    -0.072451988
                  1003.2                    -0.097938965
                  1005.8                     -0.13092921
                  1008.4                     -0.17306228
                    1011                     -0.22598037
                  1013.6                     -0.29112333
                  1016.2                     -0.36942402
                  1018.8                     -0.46084225
                  1021.4                     -0.56375374
                    1024                     -0.67441472
                  1026.6                     -0.78692645
                  1029.2                     -0.89403742
                  1031.8                     -0.98863593
                  1034.4                      -1.0652847
                    1037                      -1.1211349
                  1039.6                       -1.155995
                  1042.2                      -1.1717817
                  1044.8                      -1.1717064
                  1047.4                      -1.1594734
                    1050                      -1.1386807
                  1052.6                      -1.1124334
                  1055.2                      -1.0831787
                  1057.8                      -1.0526874
                  1060.4                      -1.0221354
                    1063                      -0.9922517
                  1065.6                     -0.96347726
                  1068.2                     -0.93610376
                  1070.8                     -0.91035171
                  1073.4                     -0.88638132
                    1076                     -0.86427083
                  1078.6                     -0.84398509
                  1081.2                     -0.82539234
                  1083.8                     -0.80831624
                  1086.4                     -0.79260208
                    1089                     -0.77816666
                  1091.6                       -0.764996
                  1094.2                     -0.75309944
                  1096.8                     -0.74245436
                  1099.4                     -0.73297606
                    1102                     -0.72452597
                  1104.6                     -0.71695872
                  1107.2                     -0.71017197
                  1109.8                     -0.70413461
                  1112.4                     -0.69886953
                    1115                     -0.69441184
                  1117.6                     -0.69076143
                  1120.2                     -0.68786633
                  1122.8                     -0.68563386
                  1125.4                     -0.68397129
                    1128                     -0.68282231
                  1130.6                     -0.68218355
                  1133.2                     -0.68209056
                  1135.8                     -0.68258578
                  1138.4                     -0.68368539
                    1141                     -0.68536757
                  1143.6                     -0.68758117
                  1146.2                     -0.69027174
                  1148.8                     -0.69340623
                  1151.4                     -0.69698644
                    1154                     -0.70104308
                  1156.6                     -0.70562036
                  1159.2                     -0.71075516
                  1161.8                       -0.716467
                  1164.4                     -0.72275448
                    1167                     -0.72960517
                  1169.6                     -0.73700923
                  1172.2                     -0.74497554
                  1174.8                     -0.75354511
                  1177.4                      -0.7627971
                    1180                     -0.77284378
                  1182.6                       -0.783811
                  1185.2                     -0.79580815
                  1187.8                      -0.8088936
                  1190.4                     -0.82303903
                    1193                     -0.83810095
                  1195.6                     -0.85380362
                  1198.2                     -0.86975454
                  1200.8                     -0.88551665
                  1203.4                     -0.90075582
                    1206                     -0.91540349
                  1208.6                     -0.92972069
                  1211.2                     -0.94419423
                  1213.8                     -0.95933891
                  1216.4                     -0.97554743
                    1219                     -0.99305653
                  1221.6                       -1.011991
                  1224.2                      -1.0324352
                  1226.8                      -1.0544763
                  1229.4                       -1.078216
                    1232                      -1.1037528
                  1234.6                        -1.13118
                  1237.2                       -1.160597
                  1239.8                        -1.19215
                  1242.4                       -1.226075
                    1245                      -1.2627119
                  1247.6                      -1.3024823
                  1250.2                      -1.3458427
                  1252.8                      -1.3932273
                  1255.4                      -1.4450227
                    1258                      -1.5015917
                  1260.6                      -1.5633466
                  1263.2                      -1.6307708
                  1265.8                      -1.7043294
                  1268.4                      -1.7842226
                    1271                      -1.8699224
                  1273.6                       -1.959567
                  1276.2                      -2.0494159
                  1278.8                      -2.1336585
                  1281.4                      -2.2049571
                    1284                      -2.2559186
                  1286.6                      -2.2812941
                  1289.2                      -2.2799596
                  1291.8                      -2.2555998
                  1294.4                      -2.2156016
                    1297                      -2.1688189
                  1299.6                      -2.1233279
                  1302.2                      -2.0850025
                  1304.8                      -2.0571639
                  1307.4                      -2.0409396
                    1310                      -2.0359587
                  1312.6                      -2.0410747
                  1315.2                       -2.054958
                  1317.8                      -2.0764573
                  1320.4                      -2.1047167
                    1323                      -2.1391409
                  1325.6                      -2.1792639
                  1328.2                      -2.2246446
                  1330.8                      -2.2748196
                  1333.4                      -2.3293462
                    1336                      -2.3878676
                  1338.6                      -2.4501706
                  1341.2                      -2.5161935
                  1343.8                      -2.5859774
                  1346.4                      -2.6596041
                    1349                      -2.7371326
                  1351.6                      -2.8185845
