        Frequency / MHz                S2,1/abs,dB
                  1095.6                      -12.598003
                  1097.7                      -12.659349
                  1099.8                      -12.720324
                  1101.9                      -12.780934
                    1104                      -12.841169
                  1106.1                      -12.901028
                  1108.2                      -12.960502
                  1110.3                      -13.019589
                  1112.4                      -13.078287
                  1114.5                       -13.13659
                  1116.6                      -13.194492
                  1118.7                      -13.251989
                  1120.8                      -13.309077
                  1122.9                      -13.365752
                    1125                      -13.422009
                  1127.1                      -13.477839
                  1129.2                      -13.533241
                  1131.3                      -13.588212
                  1133.4                      -13.642743
                  1135.5                      -13.696836
                  1137.6                      -13.750485
                  1139.7                      -13.803686
                  1141.8                      -13.856436
                  1143.9                      -13.908729
                    1146                      -13.960564
                  1148.1                      -14.011944
                  1150.2                      -14.062858
                  1152.3                      -14.113311
                  1154.4                      -14.163299
                  1156.5                      -14.212825
                  1158.6                      -14.261884
                  1160.7                      -14.310475
                  1162.8                      -14.358603
                  1164.9                      -14.406268
                    1167                       -14.45347
                  1169.1                      -14.500211
                  1171.2                      -14.546494
                  1173.3                      -14.592319
                  1175.4                      -14.637688
                  1177.5                      -14.682608
                  1179.6                      -14.727078
                  1181.7                      -14.771108
                  1183.8                      -14.814692
                  1185.9                      -14.857845
                    1188                      -14.900565
                  1190.1                      -14.942857
                  1192.2                      -14.984729
                  1194.3                       -15.02618
                  1196.4                      -15.067222
                  1198.5                      -15.107855
                  1200.6                      -15.148085
                  1202.7                      -15.187916
                  1204.8                      -15.227356
                  1206.9                      -15.266407
                    1209                      -15.305075
                  1211.1                      -15.343361
                  1213.2                      -15.381275
                  1215.3                      -15.418818
                  1217.4                      -15.455991
                  1219.5                      -15.492807
                  1221.6                       -15.52926
                  1223.7                      -15.565358
                  1225.8                      -15.601104
                  1227.9                      -15.636496
                    1230                      -15.671547
                  1232.1                      -15.706246
                  1234.2                      -15.740604
                  1236.3                       -15.77462
                  1238.4                      -15.808298
                  1240.5                      -15.841635
                  1242.6                       -15.87463
                  1244.7                      -15.907287
                  1246.8                      -15.939611
                  1248.9                      -15.971596
                    1251                      -16.003242
                  1253.1                      -16.034551
                  1255.2                      -16.065523
                  1257.3                      -16.096155
                  1259.4                      -16.126449
                  1261.5                      -16.156404
                  1263.6                      -16.186017
                  1265.7                      -16.215291
                  1267.8                      -16.244222
                  1269.9                      -16.272813
                    1272                       -16.30106
                  1274.1                      -16.328965
                  1276.2                       -16.35653
                  1278.3                      -16.383746
                  1280.4                      -16.410625
                  1282.5                      -16.437159
                  1284.6                       -16.46335
                  1286.7                      -16.489201
                  1288.8                      -16.514714
                  1290.9                      -16.539888
                    1293                      -16.564727
                  1295.1                      -16.589228
                  1297.2                      -16.613397
                  1299.3                      -16.637237
                  1301.4                      -16.660748
                  1303.5                      -16.683939
                  1305.6                      -16.706807
                  1307.7                      -16.729361
                  1309.8                      -16.751603
                  1311.9                      -16.773536
                    1314                      -16.795169
                  1316.1                      -16.816504
                  1318.2                      -16.837547
                  1320.3                      -16.858305
                  1322.4                       -16.87878
                  1324.5                      -16.898983
                  1326.6                      -16.918916
                  1328.7                      -16.938587
                  1330.8                      -16.958003
                  1332.9                       -16.97717
                    1335                      -16.996096
                  1337.1                      -17.014784
                  1339.2                      -17.033245
                  1341.3                      -17.051481
                  1343.4                      -17.069502
                  1345.5                      -17.087312
                  1347.6                      -17.104919
                  1349.7                       -17.12233
                  1351.8                      -17.139547
                  1353.9                      -17.156583
                    1356                      -17.173436
                  1358.1                      -17.190116
                  1360.2                      -17.206628
                  1362.3                      -17.222973
                  1364.4                      -17.239159
                  1366.5                      -17.255191
                  1368.6                       -17.27107
                  1370.7                      -17.286803
                  1372.8                      -17.302392
                  1374.9                      -17.317839
                    1377                      -17.333151
                  1379.1                      -17.348324
                  1381.2                      -17.363364
                  1383.3                      -17.378273
                  1385.4                      -17.393051
                  1387.5                      -17.407703
                  1389.6                      -17.422226
                  1391.7                      -17.436623
                  1393.8                      -17.450894
                  1395.9                      -17.465039
                    1398                       -17.47906
                  1400.1                      -17.492956
                  1402.2                      -17.506725
                  1404.3                      -17.520371
                  1406.4                      -17.533891
                  1408.5                      -17.547286
                  1410.6                      -17.560556
                  1412.7                      -17.573698
                  1414.8                      -17.586714
                  1416.9                      -17.599604
                    1419                      -17.612369
                  1421.1                      -17.625006
                  1423.2                      -17.637518
                  1425.3                      -17.649903
                  1427.4                      -17.662162
                  1429.5                      -17.674295
                  1431.6                      -17.686305
                  1433.7                      -17.698192
                  1435.8                      -17.709956
                  1437.9                      -17.721602
                    1440                      -17.733129
                  1442.1                       -17.74454
                  1444.2                      -17.755837
                  1446.3                      -17.767021
                  1448.4                      -17.778099
                  1450.5                      -17.789071
                  1452.6                       -17.79994
                  1454.7                      -17.810711
                  1456.8                      -17.821388
                  1458.9                      -17.831975
                    1461                      -17.842477
                  1463.1                      -17.852895
                  1465.2                      -17.863237
                  1467.3                      -17.873506
                  1469.4                      -17.883707
                  1471.5                      -17.893845
                  1473.6                      -17.903926
                  1475.7                      -17.913954
                  1477.8                      -17.923933
                  1479.9                      -17.933868
                    1482                      -17.943765
                  1484.1                      -17.953628
                  1486.2                       -17.96346
                  1488.3                      -17.973268
                  1490.4                      -17.983053
                  1492.5                       -17.99282
                  1494.6                      -18.002574
                  1496.7                      -18.012314
                  1498.8                      -18.022046
                  1500.9                      -18.031772
                    1503                      -18.041492
                  1505.1                      -18.051208
                  1507.2                      -18.060922
                  1509.3                      -18.070633
                  1511.4                      -18.080341
                  1513.5                      -18.090044
                  1515.6                      -18.099742
                  1517.7                      -18.109435
                  1519.8                      -18.119117
                  1521.9                      -18.128786
                    1524                      -18.138438
                  1526.1                      -18.148069
                  1528.2                      -18.157673
                  1530.3                      -18.167245
                  1532.4                      -18.176778
                  1534.5                      -18.186266
                  1536.6                      -18.195699
                  1538.7                      -18.205071
                  1540.8                      -18.214372
                  1542.9                      -18.223593
                    1545                      -18.232725
                  1547.1                      -18.241753
                  1549.2                       -18.25067
                  1551.3                      -18.259463
                  1553.4                      -18.268118
                  1555.5                      -18.276625
                  1557.6                       -18.28497
                  1559.7                      -18.293138
                  1561.8                      -18.301118
                  1563.9                      -18.308891
                    1566                      -18.316446
                  1568.1                      -18.323766
                  1570.2                      -18.330837
                  1572.3                      -18.337645
                  1574.4                       -18.34417
                  1576.5                      -18.350399
                  1578.6                      -18.356315
                  1580.7                      -18.361902
                  1582.8                      -18.367144
                  1584.9                      -18.372024
                    1587                      -18.376526
                  1589.1                      -18.380633
                  1591.2                      -18.384329
                  1593.3                      -18.387598
                  1595.4                      -18.390424
                  1597.5                      -18.392789
                  1599.6                       -18.39468
                  1601.7                      -18.396079
                  1603.8                      -18.396972
                  1605.9                      -18.397344
                    1608                      -18.397178
                  1610.1                      -18.396462
                  1612.2                      -18.395179
                  1614.3                      -18.393317
                  1616.4                      -18.390864
                  1618.5                      -18.387805
                  1620.6                      -18.384128
                  1622.7                      -18.379821
                  1624.8                      -18.374874
                  1626.9                      -18.369276
                    1629                      -18.363016
                  1631.1                      -18.356088
                  1633.2                      -18.348482
                  1635.3                      -18.340191
                  1637.4                      -18.331208
                  1639.5                      -18.321529
                  1641.6                      -18.311151
                  1643.7                      -18.300068
                  1645.8                      -18.288281
                  1647.9                      -18.275789
                    1650                      -18.262592
                  1652.1                      -18.248693
                  1654.2                      -18.234098
                  1656.3                       -18.21881
                  1658.4                      -18.202838
                  1660.5                      -18.186191
                  1662.6                      -18.168879
                  1664.7                      -18.150918
                  1666.8                       -18.13232
                  1668.9                      -18.113103
                    1671                      -18.093287
                  1673.1                      -18.072893
                  1675.2                      -18.051946
                  1677.3                      -18.030471
                  1679.4                      -18.008497
                  1681.5                      -17.986055
                  1683.6                      -17.963179
                  1685.7                      -17.939903
                  1687.8                      -17.916268
                  1689.9                      -17.892313
                    1692                      -17.868083
                  1694.1                      -17.843623
                  1696.2                      -17.818982
                  1698.3                       -17.79421
                  1700.4                       -17.76936
                  1702.5                      -17.744488
                  1704.6                      -17.719652
                  1706.7                      -17.694911
                  1708.8                      -17.670325
                  1710.9                      -17.645961
                    1713                      -17.621881
                  1715.1                      -17.598155
                  1717.2                      -17.574849
                  1719.3                      -17.552034
                  1721.4                      -17.529781
                  1723.5                       -17.50816
                  1725.6                      -17.487245
                  1727.7                      -17.467108
                  1729.8                      -17.447821
                  1731.9                      -17.429462
                    1734                        -17.4121
                  1736.1                      -17.395809
                  1738.2                      -17.380663
                  1740.3                      -17.366731
                  1742.4                      -17.354085
                  1744.5                      -17.342793
                  1746.6                      -17.332925
                  1748.7                      -17.324548
                  1750.8                      -17.317723
                  1752.9                      -17.312514
                    1755                      -17.308982
                  1757.1                      -17.307183
                  1759.2                      -17.307172
                  1761.3                      -17.309002
                  1763.4                      -17.312721
                  1765.5                      -17.318375
                  1767.6                      -17.326008
                  1769.7                      -17.335657
                  1771.8                       -17.34736
                  1773.9                      -17.361149
                    1776                      -17.377052
                  1778.1                      -17.395094
                  1780.2                      -17.415296
                  1782.3                      -17.437674
                  1784.4                      -17.462246
                  1786.5                      -17.489016
                  1788.6                       -17.51799
                  1790.7                      -17.549174
                  1792.8                      -17.582561
                  1794.9                      -17.618148
                    1797                      -17.655923
                  1799.1                      -17.695867
                  1801.2                      -17.737965
                  1803.3                      -17.782194
                  1805.4                      -17.828523
                  1807.5                      -17.876927
                  1809.6                      -17.927365
                  1811.7                      -17.979797
                  1813.8                      -18.034179
                  1815.9                      -18.090457
                    1818                      -18.148583
                  1820.1                      -18.208495
                  1822.2                      -18.270124
                  1824.3                      -18.333407
                  1826.4                      -18.398264
                  1828.5                      -18.464616
                  1830.6                      -18.532375
                  1832.7                      -18.601442
                  1834.8                      -18.671726
                  1836.9                      -18.743119
                    1839                      -18.815495
                  1841.1                      -18.888746
                  1843.2                      -18.962739
                  1845.3                      -19.037334
                  1847.4                      -19.112389
                  1849.5                      -19.187745
                  1851.6                      -19.263249
                  1853.7                      -19.338725
                  1855.8                      -19.413991
                  1857.9                      -19.488867
                    1860                      -19.563153
                  1862.1                      -19.636644
                  1864.2                      -19.709126
                  1866.3                      -19.780376
                  1868.4                      -19.850176
                  1870.5                       -19.91829
                  1872.6                      -19.984474
                  1874.7                      -20.048494
                  1876.8                      -20.110105
                  1878.9                      -20.169062
                    1881                      -20.225115
                  1883.1                      -20.278022
                  1885.2                      -20.327551
                  1887.3                       -20.37347
                  1889.4                      -20.415553
                  1891.5                      -20.453593
                  1893.6                      -20.487391
                  1895.7                      -20.516765
                  1897.8                       -20.54155
                  1899.9                      -20.561599
                    1902                      -20.576796
                  1904.1                      -20.587034
                  1906.2                       -20.59224
                  1908.3                      -20.592366
                  1910.4                      -20.587386
                  1912.5                      -20.577304
                  1914.6                      -20.562148
                  1916.7                      -20.541974
                  1918.8                       -20.51686
                  1920.9                      -20.486908
                    1923                      -20.452251
                  1925.1                      -20.413027
                  1927.2                      -20.369406
                  1929.3                      -20.321568
                  1931.4                      -20.269709
                  1933.5                      -20.214042
                  1935.6                      -20.154776
                  1937.7                       -20.09214
                  1939.8                       -20.02637
                  1941.9                      -19.957691
