        Frequency / MHz                S2,2/abs,dB
                    1083                      -3.1699735
                  1085.1                      -3.1425942
                  1087.2                      -3.1159422
                  1089.3                      -3.0899967
                  1091.4                      -3.0647351
                  1093.5                       -3.040142
                  1095.6                      -3.0161971
                  1097.7                      -2.9928816
                  1099.8                      -2.9701818
                  1101.9                      -2.9480782
                    1104                      -2.9265604
                  1106.1                      -2.9056113
                  1108.2                      -2.8852179
                  1110.3                      -2.8653695
                  1112.4                      -2.8460483
                  1114.5                      -2.8272466
                  1116.6                      -2.8089537
                  1118.7                      -2.7911554
                  1120.8                      -2.7738433
                  1122.9                      -2.7570078
                    1125                      -2.7406381
                  1127.1                      -2.7247254
                  1129.2                      -2.7092612
                  1131.3                      -2.6942369
                  1133.4                       -2.679645
                  1135.5                      -2.6654744
                  1137.6                      -2.6517199
                  1139.7                      -2.6383726
                  1141.8                      -2.6254255
                  1143.9                      -2.6128716
                    1146                       -2.600705
                  1148.1                      -2.5889155
                  1150.2                      -2.5774999
                  1152.3                      -2.5664494
                  1154.4                      -2.5557582
                  1156.5                      -2.5454173
                  1158.6                       -2.535424
                  1160.7                      -2.5257713
                  1162.8                      -2.5164524
                  1164.9                      -2.5074597
                    1167                      -2.4987883
                  1169.1                      -2.4904343
                  1171.2                      -2.4823885
                  1173.3                      -2.4746485
                  1175.4                      -2.4672089
                  1177.5                      -2.4600598
                  1179.6                      -2.4532019
                  1181.7                      -2.4466239
                  1183.8                      -2.4403262
                  1185.9                      -2.4342996
                    1188                      -2.4285417
                  1190.1                      -2.4230466
                  1192.2                        -2.41781
                  1194.3                      -2.4128269
                  1196.4                      -2.4080931
                  1198.5                      -2.4036063
                  1200.6                      -2.3993601
                  1202.7                      -2.3953516
                  1204.8                       -2.391577
                  1206.9                      -2.3880326
                    1209                      -2.3847164
                  1211.1                      -2.3816237
                  1213.2                      -2.3787509
                  1215.3                      -2.3760979
                  1217.4                      -2.3736598
                  1219.5                      -2.3714322
                  1221.6                      -2.3694186
                  1223.7                      -2.3676113
                  1225.8                      -2.3660113
                  1227.9                      -2.3646168
                    1230                      -2.3634228
                  1232.1                      -2.3624324
                  1234.2                      -2.3616415
                  1236.3                       -2.361049
                  1238.4                      -2.3606528
                  1240.5                      -2.3604561
                  1242.6                      -2.3604541
                  1244.7                      -2.3606485
                  1246.8                      -2.3610359
                  1248.9                      -2.3616175
