        Frequency / MHz                S1,1/abs,dB
                    1083                      -3.8197515
                  1085.1                      -3.7858282
                  1087.2                      -3.7522935
                  1089.3                      -3.7191511
                  1091.4                      -3.6864064
                  1093.5                      -3.6540626
                  1095.6                      -3.6221218
                  1097.7                       -3.590587
                  1099.8                      -3.5594623
                  1101.9                      -3.5287457
                    1104                      -3.4984421
                  1106.1                      -3.4685515
                  1108.2                      -3.4390743
                  1110.3                      -3.4100127
                  1112.4                      -3.3813662
                  1114.5                      -3.3531334
                  1116.6                      -3.3253172
                  1118.7                      -3.2979139
                  1120.8                      -3.2709257
                  1122.9                      -3.2443509
                    1125                      -3.2181873
                  1127.1                       -3.192437
                  1129.2                      -3.1670971
                  1131.3                      -3.1421662
                  1133.4                      -3.1176438
                  1135.5                      -3.0935274
                  1137.6                      -3.0698153
                  1139.7                       -3.046506
                  1141.8                      -3.0235983
                  1143.9                      -3.0010899
                    1146                      -2.9789773
                  1148.1                      -2.9572601
                  1150.2                      -2.9359359
                  1152.3                      -2.9150007
                  1154.4                      -2.8944535
                  1156.5                       -2.874291
                  1158.6                      -2.8545115
                  1160.7                      -2.8351118
                  1162.8                      -2.8160882
                  1164.9                       -2.797439
                    1167                      -2.7791602
                  1169.1                      -2.7612492
                  1171.2                      -2.7437027
                  1173.3                      -2.7265178
                  1175.4                      -2.7096911
                  1177.5                      -2.6932207
                  1179.6                      -2.6771011
                  1181.7                      -2.6613296
                  1183.8                      -2.6459045
                  1185.9                      -2.6308188
                    1188                      -2.6160727
                  1190.1                      -2.6016599
                  1192.2                      -2.5875774
                  1194.3                      -2.5738238
                  1196.4                      -2.5603937
                  1198.5                      -2.5472834
                  1200.6                      -2.5344895
                  1202.7                      -2.5220098
                  1204.8                      -2.5098392
                  1206.9                      -2.4979762
                    1209                      -2.4864148
                  1211.1                      -2.4751528
                  1213.2                      -2.4641876
                  1215.3                      -2.4535151
                  1217.4                      -2.4431327
                  1219.5                       -2.433036
                  1221.6                      -2.4232229
                  1223.7                      -2.4136907
                  1225.8                      -2.4044353
                  1227.9                      -2.3954542
                    1230                      -2.3867444
                  1232.1                      -2.3783046
                  1234.2                      -2.3701309
                  1236.3                      -2.3622214
                  1238.4                      -2.3545725
                  1240.5                      -2.3471829
                  1242.6                      -2.3400499
                  1244.7                      -2.3331723
                  1246.8                      -2.3265463
                  1248.9                      -2.3201713
                    1251                      -2.3140456
                  1253.1                      -2.3081669
                  1255.2                      -2.3025329
                  1257.3                      -2.2971437
                  1259.4                      -2.2919964
                  1261.5                      -2.2870906
                  1263.6                       -2.282424
                  1265.7                      -2.2779969
                  1267.8                      -2.2738065
                  1269.9                      -2.2698534
                    1272                      -2.2661363
                  1274.1                      -2.2626534
                  1276.2                      -2.2594043
                  1278.3                      -2.2563894
                  1280.4                      -2.2536071
                  1282.5                      -2.2510568
                  1284.6                      -2.2487381
                  1286.7                      -2.2466514
                  1288.8                      -2.2447954
                  1290.9                      -2.2431698
                    1293                       -2.241775
                  1295.1                      -2.2406096
                  1297.2                      -2.2396746
                  1299.3                      -2.2389696
                  1301.4                       -2.238494
                  1303.5                       -2.238248
                  1305.6                      -2.2382319
                  1307.7                      -2.2384449
                  1309.8                       -2.238888
                  1311.9                      -2.2395594
                    1314                      -2.2404617
                  1316.1                      -2.2415925
                  1318.2                       -2.242953
                  1320.3                      -2.2445437
                  1322.4                       -2.246364
                  1324.5                      -2.2484145
                  1326.6                      -2.2506942
                  1328.7                      -2.2532045
                  1330.8                      -2.2559449
                  1332.9                      -2.2589159
                    1335                      -2.2621171
                  1337.1                       -2.265549
                  1339.2                      -2.2692113
                  1341.3                      -2.2731047
                  1343.4                      -2.2772297
                  1345.5                      -2.2815854
                  1347.6                      -2.2861732
                  1349.7                      -2.2909931
                  1351.8                      -2.2960447
                  1353.9                       -2.301329
                    1356                      -2.3068461
                  1358.1                      -2.3125969
                  1360.2                      -2.3185814
                  1362.3                      -2.3247989
                  1364.4                      -2.3312519
                  1366.5                      -2.3379402
                  1368.6                      -2.3448637
                  1370.7                      -2.3520239
                  1372.8                      -2.3594212
                  1374.9                      -2.3670568
                    1377                      -2.3749304
                  1379.1                      -2.3830432
                  1381.2                      -2.3913974
                  1383.3                      -2.3999926
                  1385.4                      -2.4088294
                  1387.5                      -2.4179106
                  1389.6                      -2.4272368
                  1391.7                       -2.436809
                  1393.8                      -2.4466286
                  1395.9                       -2.456697
                    1398                      -2.4670157
                  1400.1                       -2.477587
                  1402.2                      -2.4884103
                  1404.3                      -2.4994907
                  1406.4                      -2.5108275
                  1408.5                      -2.5224238
                  1410.6                      -2.5342804
                  1412.7                      -2.5463997
                  1414.8                      -2.5587848
                  1416.9                      -2.5714375
                    1419                      -2.5843591
                  1421.1                      -2.5975522
                  1423.2                      -2.6110193
                  1425.3                      -2.6247634
                  1427.4                      -2.6387853
                  1429.5                      -2.6530882
                  1431.6                      -2.6676757
                  1433.7                      -2.6825494
                  1435.8                      -2.6977108
                  1437.9                      -2.7131644
                    1440                      -2.7289121
                  1442.1                      -2.7449563
                  1444.2                      -2.7613003
                  1446.3                      -2.7779442
                  1448.4                      -2.7948946
                  1450.5                      -2.8121523
                  1452.6                      -2.8297184
                  1454.7                      -2.8475979
                  1456.8                      -2.8657925
                  1458.9                      -2.8843045
                    1461                      -2.9031391
                  1463.1                      -2.9222936
                  1465.2                       -2.941775
                  1467.3                      -2.9615839
                  1469.4                      -2.9817232
                  1471.5                      -3.0021958
                  1473.6                      -3.0230033
                  1475.7                      -3.0441499
                  1477.8                      -3.0656365
                  1479.9                      -3.0874646
                    1482                      -3.1096387
                  1484.1                      -3.1321611
                  1486.2                      -3.1550315
                  1488.3                      -3.1782561
                  1490.4                      -3.2018347
                  1492.5                      -3.2257712
                  1494.6                      -3.2500659
                  1496.7                      -3.2747221
                  1498.8                      -3.2997439
                  1500.9                      -3.3251313
                    1503                      -3.3508888
                  1505.1                      -3.3770185
                  1507.2                      -3.4035224
                  1509.3                      -3.4304031
                  1511.4                      -3.4576641
                  1513.5                      -3.4853073
                  1515.6                      -3.5133367
                  1517.7                      -3.5417557
                  1519.8                      -3.5705652
                  1521.9                      -3.5997717
                    1524                      -3.6293772
                  1526.1                      -3.6593861
                  1528.2                      -3.6898014
                  1530.3                      -3.7206252
                  1532.4                      -3.7518661
                  1534.5                      -3.7835264
                  1536.6                      -3.8156081
                  1538.7                      -3.8481207
                  1540.8                      -3.8810671
                  1542.9                      -3.9144523
                    1545                       -3.948284
                  1547.1                      -3.9825625
                  1549.2                      -4.0172991
                  1551.3                      -4.0524986
                  1553.4                      -4.0881657
                  1555.5                       -4.124311
                  1557.6                      -4.1609391
                  1559.7                      -4.1980586
                  1561.8                      -4.2356761
                  1563.9                      -4.2737991
                    1566                      -4.3124387
                  1568.1                      -4.3516023
                  1570.2                      -4.3912967
                  1572.3                      -4.4315349
                  1574.4                      -4.4723259
                  1576.5                      -4.5136791
                  1578.6                      -4.5556048
                  1580.7                      -4.5981119
                  1582.8                       -4.641217
                  1584.9                      -4.6849279
                    1587                       -4.729259
                  1589.1                      -4.7742218
                  1591.2                      -4.8198291
                  1593.3                      -4.8660963
                  1595.4                      -4.9130367
                  1597.5                      -4.9606629
                  1599.6                      -5.0089952
                  1601.7                      -5.0580484
                  1603.8                       -5.107836
                  1605.9                       -5.158382
                    1608                      -5.2097013
                  1610.1                      -5.2618144
                  1612.2                      -5.3147407
                  1614.3                      -5.3685002
                  1616.4                      -5.4231199
                  1618.5                      -5.4786228
                  1620.6                      -5.5350289
                  1622.7                      -5.5923711
                  1624.8                      -5.6506744
                  1626.9                      -5.7099684
                    1629                      -5.7702873
                  1631.1                      -5.8316525
                  1633.2                      -5.8941105
                  1635.3                      -5.9576939
                  1637.4                      -6.0224373
                  1639.5                      -6.0883876
                  1641.6                      -6.1555862
                  1643.7                      -6.2240779
                  1645.8                       -6.293909
                  1647.9                      -6.3651299
                    1650                      -6.4377989
                  1652.1                      -6.5119705
                  1654.2                      -6.5877002
                  1656.3                      -6.6650601
                  1658.4                      -6.7441111
                  1660.5                      -6.8249268
                  1662.6                      -6.9075804
                  1664.7                      -6.9921451
                  1666.8                      -7.0787153
                  1668.9                      -7.1673715
                    1671                      -7.2582083
                  1673.1                       -7.351322
                  1675.2                       -7.446812
                  1677.3                      -7.5447913
                  1679.4                      -7.6453705
                  1681.5                       -7.748665
                  1683.6                      -7.8548123
                  1685.7                      -7.9639376
                  1687.8                      -8.0761752
                  1689.9                      -8.1916875
                    1692                      -8.3106181
                  1694.1                      -8.4331327
                  1696.2                       -8.559404
                  1698.3                      -8.6896062
                  1700.4                       -8.823943
                  1702.5                      -8.9626082
