        Frequency                Csh=0.3/abs,dB
                  1093.5                      -11.984135
                  1095.6                      -12.036997
                  1097.7                       -12.08959
                  1099.8                      -12.141909
                  1101.9                      -12.193957
                    1104                      -12.245733
                  1106.1                      -12.297233
                  1108.2                      -12.348457
                  1110.3                      -12.399401
                  1112.4                      -12.450067
                  1114.5                      -12.500452
                  1116.6                      -12.550553
                  1118.7                      -12.600373
                  1120.8                      -12.649907
                  1122.9                      -12.699154
                    1125                      -12.748116
                  1127.1                      -12.796781
                  1129.2                      -12.845159
                  1131.3                      -12.893245
                  1133.4                      -12.941033
                  1135.5                      -12.988529
                  1137.6                      -13.035727
                  1139.7                      -13.082627
                  1141.8                       -13.12923
                  1143.9                      -13.175527
                    1146                      -13.221528
                  1148.1                      -13.267227
                  1150.2                       -13.31262
                  1152.3                      -13.357712
                  1154.4                        -13.4025
                  1156.5                      -13.446983
                  1158.6                      -13.491164
                  1160.7                      -13.535036
                  1162.8                      -13.578608
                  1164.9                      -13.621873
                    1167                      -13.664832
                  1169.1                      -13.707491
                  1171.2                      -13.749848
                  1173.3                      -13.791898
                  1175.4                      -13.833649
                  1177.5                      -13.875097
                  1179.6                      -13.916246
                  1181.7                      -13.957098
                  1183.8                       -13.99765
                  1185.9                      -14.037909
                    1188                      -14.077875
                  1190.1                      -14.117549
                  1192.2                       -14.15693
                  1194.3                      -14.196025
                  1196.4                      -14.234835
                  1198.5                      -14.273362
                  1200.6                      -14.311605
                  1202.7                      -14.349573
                  1204.8                      -14.387265
                  1206.9                      -14.424684
                    1209                      -14.461836
                  1211.1                      -14.498718
                  1213.2                      -14.535337
                  1215.3                      -14.571695
                  1217.4                      -14.607794
                  1219.5                       -14.64364
                  1221.6                      -14.679237
                  1223.7                      -14.714584
                  1225.8                      -14.749691
                  1227.9                      -14.784554
                    1230                      -14.819182
                  1232.1                      -14.853576
                  1234.2                       -14.88774
                  1236.3                      -14.921679
                  1238.4                      -14.955398
                  1240.5                      -14.988894
                  1242.6                      -15.022179
                  1244.7                      -15.055249
                  1246.8                      -15.088114
                  1248.9                      -15.120774
                    1251                      -15.153234
                  1253.1                      -15.185496
                  1255.2                      -15.217565
                  1257.3                      -15.249442
                  1259.4                      -15.281134
                  1261.5                      -15.312639
                  1263.6                      -15.343966
                  1265.7                      -15.375116
                  1267.8                      -15.406088
                  1269.9                      -15.436894
                    1272                      -15.467529
                  1274.1                      -15.497999
                  1276.2                      -15.528306
                  1278.3                      -15.558452
                  1280.4                      -15.588441
                  1282.5                      -15.618274
                  1284.6                      -15.647952
                  1286.7                      -15.677482
                  1288.8                      -15.706863
                  1290.9                      -15.736096
                    1293                      -15.765187
                  1295.1                      -15.794131
                  1297.2                      -15.822934
                  1299.3                      -15.851596
                  1301.4                      -15.880116
                  1303.5                      -15.908502
                  1305.6                       -15.93675
                  1307.7                      -15.964862
                  1309.8                       -15.99284
                  1311.9                       -16.02068
                    1314                      -16.048388
                  1316.1                      -16.075963
                  1318.2                      -16.103401
                  1320.3                      -16.130709
                  1322.4                      -16.157884
                  1324.5                      -16.184925
                  1326.6                      -16.211835
                  1328.7                      -16.238608
                  1330.8                      -16.265249
                  1332.9                      -16.291755
                    1335                      -16.318126
                  1337.1                      -16.344362
                  1339.2                      -16.370462
                  1341.3                      -16.396426
                  1343.4                      -16.422249
                  1345.5                      -16.447933
                  1347.6                      -16.473477
                  1349.7                      -16.498881
                  1351.8                       -16.52414
                  1353.9                      -16.549258
                    1356                       -16.57423
                  1358.1                      -16.599056
                  1360.2                      -16.623735
                  1362.3                      -16.648261
                  1364.4                       -16.67264
                  1366.5                      -16.696865
                  1368.6                      -16.720935
                  1370.7                      -16.744852
                  1372.8                      -16.768611
                  1374.9                      -16.792212
                    1377                      -16.815656
                  1379.1                      -16.838933
                  1381.2                       -16.86205
                  1383.3                         -16.885
                  1385.4                      -16.907782
                  1387.5                      -16.930399
                  1389.6                      -16.952844
                  1391.7                      -16.975119
                  1393.8                      -16.997221
                  1395.9                      -17.019145
                    1398                      -17.040896
                  1400.1                      -17.062467
                  1402.2                      -17.083856
                  1404.3                      -17.105066
                  1406.4                      -17.126093
                  1408.5                      -17.146935
                  1410.6                      -17.167589
                  1412.7                      -17.188055
                  1414.8                       -17.20833
                  1416.9                      -17.228414
                    1419                      -17.248303
                  1421.1                      -17.267996
                  1423.2                      -17.287492
                  1425.3                      -17.306787
                  1427.4                      -17.325879
                  1429.5                      -17.344766
                  1431.6                      -17.363447
                  1433.7                      -17.381919
                  1435.8                      -17.400178
                  1437.9                      -17.418223
                    1440                      -17.436051
                  1442.1                      -17.453659
                  1444.2                      -17.471044
                  1446.3                      -17.488201
                  1448.4                       -17.50513
                  1450.5                      -17.521824
                  1452.6                      -17.538281
                  1454.7                      -17.554498
                  1456.8                       -17.57047
                  1458.9                      -17.586193
                    1461                      -17.601663
                  1463.1                      -17.616871
                  1465.2                      -17.631816
                  1467.3                      -17.646493
                  1469.4                      -17.660893
                  1471.5                      -17.675014
                  1473.6                      -17.688848
                  1475.7                       -17.70239
                  1477.8                      -17.715633
                  1479.9                      -17.728568
                    1482                      -17.741191
                  1484.1                      -17.753493
                  1486.2                      -17.765466
                  1488.3                      -17.777104
                  1490.4                      -17.788397
                  1492.5                      -17.799339
                  1494.6                      -17.809918
                  1496.7                      -17.820127
                  1498.8                      -17.829956
                  1500.9                      -17.839398
                    1503                      -17.848441
                  1505.1                      -17.857076
                  1507.2                      -17.865294
                  1509.3                      -17.873084
                  1511.4                      -17.880436
                  1513.5                      -17.887337
                  1515.6                      -17.893783
                  1517.7                      -17.899758
                  1519.8                      -17.905253
                  1521.9                      -17.910259
                    1524                      -17.914765
                  1526.1                      -17.918759
                  1528.2                      -17.922234
                  1530.3                      -17.925175
                  1532.4                      -17.927576
                  1534.5                      -17.929426
                  1536.6                      -17.930714
                  1538.7                      -17.931434
                  1540.8                      -17.931576
                  1542.9                      -17.931127
                    1545                      -17.930085
                  1547.1                      -17.928439
                  1549.2                      -17.926182
                  1551.3                      -17.923308
                  1553.4                       -17.91981
                  1555.5                      -17.915684
                  1557.6                      -17.910924
                  1559.7                      -17.905526
                  1561.8                      -17.899488
                  1563.9                      -17.892807
                    1566                      -17.885481
                  1568.1                       -17.87751
                  1570.2                      -17.868894
                  1572.3                      -17.859633
                  1574.4                      -17.849732
                  1576.5                      -17.839195
                  1578.6                      -17.828024
                  1580.7                      -17.816226
                  1582.8                      -17.803808
                  1584.9                      -17.790778
                    1587                      -17.777147
                  1589.1                      -17.762925
                  1591.2                      -17.748122
                  1593.3                      -17.732755
                  1595.4                      -17.716838
                  1597.5                      -17.700386
                  1599.6                      -17.683418
                  1601.7                      -17.665952
                  1603.8                      -17.648011
                  1605.9                      -17.629613
                    1608                      -17.610784
                  1610.1                      -17.591551
                  1612.2                      -17.571936
                  1614.3                      -17.551969
                  1616.4                      -17.531679
                  1618.5                      -17.511097
                  1620.6                      -17.490254
                  1622.7                      -17.469183
                  1624.8                      -17.447919
                  1626.9                      -17.426499
                    1629                      -17.404958
                  1631.1                      -17.383335
                  1633.2                      -17.361672
                  1635.3                      -17.340007
                  1637.4                      -17.318385
                  1639.5                      -17.296845
                  1641.6                      -17.275433
                  1643.7                      -17.254194
                  1645.8                      -17.233172
                  1647.9                      -17.212417
                    1650                      -17.191974
                  1652.1                      -17.171891
                  1654.2                      -17.152217
                  1656.3                      -17.133003
                  1658.4                      -17.114295
                  1660.5                      -17.096147
                  1662.6                      -17.078609
                  1664.7                      -17.061731
