2
Frequency=2600(MHz)

Phi	Theta	E(Phi). Real part	E(Phi). Imaginary part	E(Theta). Real part	E(Theta). Imaginary part	Gain . dB
0	-3.1415926536	0.0763600021600723	0.416999995708466	-0.181199997663498	-0.0443000011146069	-6.68540764060631
0	-3.0917261035	0.0914700031280518	0.426400005817413	-0.187800005078316	0.0226300004869699	-6.45959428967214
0	-3.0418595535	0.0929299965500832	0.438199996948242	-0.199499994516373	0.0755399987101555	-6.08779410229898
0	-2.9919930034	0.0825600028038025	0.451700001955032	-0.215800002217293	0.11259999871254	-5.68479521617278
0	-2.9421264534	0.0631100013852119	0.466199994087219	-0.236200004816055	0.133000001311302	-5.30465524152957
0	-2.8922599033	0.0380299985408783	0.48089998960495	-0.259600013494492	0.137299999594688	-4.96271214871049
0	-2.8423933532	0.0110499998554587	0.494800001382828	-0.284900009632111	0.1266999989748	-4.65758007894111
0	-2.7925268032	-0.014130000025034	0.507200002670288	-0.310900002717972	0.103699997067451	-4.37868984189166
0	-2.7426602531	-0.0342499986290932	0.517400026321411	-0.33610001206398	0.0708699971437454	-4.12444349120614
0	-2.6927937031	-0.0468100011348724	0.525099992752075	-0.359200000762939	0.0314900018274784	-3.89406434520408
0	-2.642927153	-0.0502500012516975	0.530099987983704	-0.378899991512299	-0.0112600000575185	-3.69345322748931
0	-2.593060603	-0.0440599992871284	0.53250002861023	-0.393700003623962	-0.0543599985539913	-3.53153121258932
0	-2.5431940529	-0.0288600008934736	0.53250002861023	-0.402599990367889	-0.0951699987053871	-3.41479907275477
0	-2.4933275028	-0.00616300012916327	0.530700027942657	-0.404799997806549	-0.131600007414818	-3.34548376335992
0	-2.4434609528	0.0217499993741512	0.527800023555756	-0.399599999189377	-0.162200003862381	-3.32514426801696
0	-2.3935944027	0.0521499998867512	0.524200022220612	-0.386700004339218	-0.186000004410744	-3.35698279105396
0	-2.3437278527	0.0822099968791008	0.520799994468689	-0.366299986839294	-0.202800005674362	-3.43619415777757
0	-2.2938613026	0.109300002455711	0.51800000667572	-0.338800013065338	-0.212699994444847	-3.5625404287834
0	-2.2439947526	0.13120000064373	0.516200006008148	-0.305099993944168	-0.216100007295609	-3.7318647269875
0	-2.1941282025	0.146599993109703	0.515600025653839	-0.266299992799759	-0.213799998164177	-3.93660486323914
0	-2.1442616525	0.154699996113777	0.516200006008148	-0.223800003528595	-0.206499993801117	-4.1666152131922
0	-2.0943951024	0.155900001525879	0.51800000667572	-0.179299995303154	-0.194700002670288	-4.40469930605747
0	-2.0445285523	0.150999993085861	0.520699977874756	-0.134399995207787	-0.179100006818771	-4.63353651960954
0	-1.9946620023	0.141699999570847	0.523999989032745	-0.0908700004220009	-0.159899994730949	-4.83490745800889
0	-1.9447954522	0.129899993538857	0.527499973773956	-0.0500600002706051	-0.13740000128746	-4.9960571082051
0	-1.8949289022	0.117499999701977	0.5310999751091	-0.0131999999284744	-0.11150000244379	-5.10773094726335
0	-1.8450623521	0.10639999806881	0.534500002861023	0.0188699997961521	-0.0821600034832954	-5.16958508731739
0	-1.7951958021	0.0979499965906143	0.537599980831146	0.0457700006663799	-0.0493899993598461	-5.18353592988535
0	-1.745329252	0.0929199978709221	0.540600001811981	0.0675899982452393	-0.0132400002330542	-5.14809427662864
0	-1.6954627019	0.091389998793602	0.543500006198883	0.0849099978804588	0.0260499995201826	-5.06356979184439
0	-1.6455961519	0.0927800014615059	0.546599984169006	0.098750002682209	0.0680299997329712	-4.92468870976322
0	-1.5957296018	0.0958599969744682	0.550100028514862	0.110500000417233	0.112000003457069	-4.7294597732808
0	-1.5458630518	0.099030002951622	0.554499983787537	0.121699996292591	0.157000005245209	-4.47651766011152
0	-1.4959965017	0.100400000810623	0.559700012207031	0.13400000333786	0.202000007033348	-4.17818111830405
0	-1.4461299517	0.0983399972319603	0.565999984741211	0.14920000731945	0.245700001716614	-3.8441197185021
0	-1.3962634016	0.0912400037050247	0.573099970817566	0.168400004506111	0.287000000476837	-3.49210962068875
0	-1.3463968515	0.0781499966979027	0.580900013446808	0.192900002002716	0.324499994516373	-3.13307521996107
0	-1.2965303015	0.0587499998509884	0.588800013065338	0.223000004887581	0.357300013303757	-2.77753397704068
0	-1.2466637514	0.0333999991416931	0.596300005912781	0.258599996566772	0.384700000286102	-2.42940219882625
0	-1.1967972014	0.00313200009986758	0.602699995040894	0.299100011587143	0.40599998831749	-2.09325130637652
0	-1.1469306513	-0.0304499994963407	0.607299983501434	0.343100011348724	0.421200007200241	-1.77264871977605
0	-1.0970641013	-0.065370000898838	0.609399974346161	0.388900011777878	0.430200010538101	-1.475463368874
0	-1.0471975512	-0.0995299965143204	0.608500003814697	0.4341000020504	0.433400005102158	-1.21215839464654
0	-0.9973310011	-0.130999997258186	0.604200005531311	0.476300001144409	0.431300014257431	-0.995782250464036
0	-0.9474644511	-0.158000007271767	0.596400022506714	0.512799978256226	0.424699991941452	-0.840775898140909
0	-0.897597901	-0.179700002074242	0.585300028324127	0.54119998216629	0.414299994707108	-0.760257990915484
0	-0.847731351	-0.195500001311302	0.571099996566772	0.559300005435944	0.400799989700317	-0.768427533603874
0	-0.7978648009	-0.205899998545647	0.554400026798248	0.565500020980835	0.384999990463257	-0.873691094969946
0	-0.7479982509	-0.211999997496605	0.53600001335144	0.558700025081634	0.367599993944168	-1.08175252154489
0	-0.6981317008	-0.215299993753433	0.516700029373169	0.538500010967255	0.34909999370575	-1.39550543756487
0	-0.6482651507	-0.217800006270409	0.497299998998642	0.505200028419495	0.330199986696243	-1.81112455678063
