2
Frequency=2600(MHz)

Phi	Theta	E(Phi). Real part	E(Phi). Imaginary part	E(Theta). Real part	E(Theta). Imaginary part	Gain . dB
0	-3.1415926536	-0.0535500012338161	0.267699986696243	0.204500004649162	-0.19149999320507	-8.15242195867452
0	-3.0917261035	-0.0614800006151199	0.268400013446808	0.163699999451637	-0.147599995136261	-9.0517331446623
0	-3.0418595535	-0.0748400017619133	0.269499987363815	0.129299998283386	-0.0997899994254112	-9.79192209636771
0	-2.9919930034	-0.093019999563694	0.270599991083145	0.100199997425079	-0.0508200004696846	-10.2456916842577
0	-2.9421264534	-0.114900000393391	0.271299988031387	0.0749600008130074	-0.00381999998353422	-10.3414340959424
0	-2.8922599033	-0.139200001955032	0.270999997854233	0.0513899996876717	0.0378599986433983	-10.1371229936547
0	-2.8423933532	-0.164199993014336	0.268999993801117	0.0272599998861551	0.0709299966692925	-9.78410480806338
0	-2.7925268032	-0.188400000333786	0.264899998903275	0.000275700003840029	0.0923800021409988	-9.4233119468502
0	-2.7426602531	-0.210199996829033	0.258399993181229	-0.0315600000321865	0.099820002913475	-9.1394406202654
0	-2.6927937031	-0.228300005197525	0.249200001358986	-0.0698100030422211	0.091619998216629	-8.94526625722039
0	-2.642927153	-0.24210000038147	0.237399995326996	-0.11540000140667	0.0670899972319603	-8.76836604442522
0	-2.593060603	-0.250999987125397	0.223299995064735	-0.168599992990494	0.0265599992126226	-8.47726114415731
0	-2.5431940529	-0.255100011825562	0.207300007343292	-0.228900000452995	-0.0286699999123812	-7.92455871361592
0	-2.4933275028	-0.254900008440018	0.189899995923042	-0.295399993658066	-0.0964199975132942	-7.04226258175958
0	-2.4434609528	-0.251199990510941	0.171800002455711	-0.366499990224838	-0.173700004816055	-5.8988000027989
0	-2.3935944027	-0.245000004768372	0.153600007295609	-0.440400004386902	-0.257299989461899	-4.63727714111204
0	-2.3437278527	-0.237299993634224	0.135900005698204	-0.515200018882751	-0.343300014734268	-3.39071887498309
0	-2.2938613026	-0.229100003838539	0.119199998676777	-0.589200019836426	-0.428200006484985	-2.23874848386066
0	-2.2439947526	-0.221300005912781	0.103799998760223	-0.660700023174286	-0.508700013160706	-1.22025233492744
0	-2.1941282025	-0.214399993419647	0.0897900015115738	-0.728600025177002	-0.581799983978271	-0.346200914900793
0	-2.1442616525	-0.208499997854233	0.0771299973130226	-0.79229998588562	-0.645099997520447	0.387451317842733
0	-2.0943951024	-0.203600004315376	0.0655499994754791	-0.851400017738342	-0.697200000286102	0.992383866602591
0	-2.0445285523	-0.199000000953674	0.0546399988234043	-0.905900001525879	-0.736999988555908	1.48112046295164
0	-1.9946620023	-0.1942999958992	0.043919999152422	-0.956200003623962	-0.76419997215271	1.86956758775439
0	-1.9447954522	-0.18860000371933	0.0328899994492531	-1.00300002098084	-0.779100000858307	2.17393803460275
0	-1.8949289022	-0.181099995970726	0.0210699997842312	-1.04499995708466	-0.78219997882843	2.39825537974277
0	-1.8450623521	-0.171200007200241	0.00810199975967407	-1.08399999141693	-0.774399995803833	2.56266966398717
0	-1.7951958021	-0.158500000834465	-0.0062440000474453	-1.11899995803833	-0.756399989128113	2.67045667860444
0	-1.745329252	-0.142900004982948	-0.0220299996435642	-1.14999997615814	-0.729300022125244	2.73067094478389
0	-1.6954627019	-0.124799996614456	-0.0391599982976913	-1.17400002479553	-0.69379997253418	2.73404805775759
0	-1.6455961519	-0.104699999094009	-0.0573799982666969	-1.19200003147125	-0.65039998292923	2.69078144221417
0	-1.5957296018	-0.0834399983286858	-0.0763399973511696	-1.20000004768372	-0.599799990653992	2.58290036766296
0	-1.5458630518	-0.0621399991214275	-0.0956199988722801	-1.19900000095367	-0.542400002479553	2.4174648109756
0	-1.4959965017	-0.0419000014662743	-0.114799998700619	-1.18499994277954	-0.478799998760223	2.17064964648186
0	-1.4461299517	-0.0238099992275238	-0.133599996566772	-1.15900003910065	-0.409700006246567	1.84563979586006
0	-1.3962634016	-0.00873799994587898	-0.151700004935265	-1.12000000476837	-0.336199998855591	1.43177144194475
0	-1.3463968515	0.00270999991334975	-0.169100001454353	-1.067999958992	-0.259600013494492	0.922356459063647
0	-1.2965303015	0.0102800000458956	-0.1858000010252	-1.00399994850159	-0.181700006127357	0.31674254994461
0	-1.2466637514	0.0140899997204542	-0.202199995517731	-0.931699991226196	-0.104699999094009	-0.361600936058715
0	-1.1967972014	0.0145899998024106	-0.218400001525879	-0.852199971675873	-0.031020000576973	-1.10631919438513
0	-1.1469306513	0.0125399995595217	-0.235100001096725	-0.768899977207184	0.0366699993610382	-1.88437643872966
0	-1.0970641013	0.00885399989783764	-0.252499997615814	-0.685500025749207	0.0957800000905991	-2.65265170819823
0	-1.0471975512	0.00450399983674288	-0.271200001239777	-0.605300009250641	0.143900007009506	-3.36614745318967
0	-0.9973310011	0.000382500002160668	-0.291299998760223	-0.531700015068054	0.179100006818771	-3.98333707757674
0	-0.9474644511	-0.00282899988815188	-0.312900006771088	-0.467400014400482	0.200100004673004	-4.48041342500195
0	-0.897597901	-0.00475599989295006	-0.335799992084503	-0.414400011301041	0.206400007009506	-4.85302744981996
0	-0.847731351	-0.00539000006392598	-0.359699994325638	-0.374000012874603	0.198300004005432	-5.10587135718291
0	-0.7978648009	-0.00510999979451299	-0.38400000333786	-0.346599996089935	0.177200004458427	-5.24309183851762
0	-0.7479982509	-0.00464399997144938	-0.407900005578995	-0.331499993801117	0.145400002598763	-5.26604441488569
0	-0.6981317008	-0.00499100005254149	-0.430400013923645	-0.327499985694885	0.105800002813339	-5.17528091202709
0	-0.6482651507	-0.00730099994689226	-0.450700014829636	-0.332500010728836	0.0618599988520145	-4.98165010328504
0	-0.5983986007	-0.0127299996092916	-0.467900007963181	-0.344099998474121	0.0175299998372793	-4.71334466262642
0	-0.5485320506	-0.022299999371171	-0.481200009584427	-0.359800010919571	-0.0234099999070168	-4.4122567224391
0	-0.49866550057	-0.0367400012910366	-0.490099996328354	-0.377099990844727	-0.0574100017547607	-4.12235009086532
0	-0.44879895051	-0.0563899986445904	-0.494300007820129	-0.393500000238419	-0.0815000012516975	-3.88280057979304
0	-0.39893240046	-0.0811399966478348	-0.493999987840652	-0.407200008630753	-0.0934600010514259	-3.71441160318596
0	-0.3490658504	-0.110399998724461	-0.489399999380112	-0.416900008916855	-0.0920500010251999	-3.62530945763337
0	-0.29919930034	-0.14300000667572	-0.481200009584427	-0.421499997377396	-0.0770199969410896	-3.60915340422911
0	-0.24933275028	-0.177699998021126	-0.470099985599518	-0.420899987220764	-0.049150001257658	-3.64371705813824
0	-0.19946620023	-0.212599992752075	-0.457199990749359	-0.414900004863739	-0.0101399999111891	-3.70105992296521
0	-0.14959965017	-0.24609999358654	-0.443500012159348	-0.404000014066696	0.0375300012528896	-3.74809024413481
0	-0.09973310011	-0.276600003242493	-0.429899990558624	-0.388599991798401	0.0908700004220009	-3.76142219769948
0	-0.049866550057	-0.302500009536743	-0.41729998588562	-0.369199991226196	0.146599993109703	-3.73202246797911
0	0	-0.322800010442734	-0.406199991703033	-0.346300005912781	0.201199993491173	-3.6693227856564
0	0.049866550057	0.337000012397766	0.397000014781952	0.320100009441376	-0.251800000667572	-3.59473569198806
0	0.09973310011	0.344900012016296	0.389800012111664	0.290699988603592	-0.295399993658066	-3.53922158679796
0	0.14959965017	0.347099989652634	0.384400010108948	0.257999986410141	-0.329899996519089	-3.5296952728166
0	0.19946620023	0.344399988651276	0.380299985408783	0.221799999475479	-0.353700011968613	-3.58983856121029
0	0.24933275028	0.337999999523163	0.376899987459183	0.181799992918968	-0.365900009870529	-3.73421857460261
0	0.29919930034	0.329299986362457	0.373600006103516	0.138099998235703	-0.366400003433228	-3.96491863076436
0	0.3490658504	0.319700002670288	0.369700014591217	0.0908999964594841	-0.355300009250641	-4.27840692223068
0	0.39893240046	0.310499995946884	0.364499986171722	0.0407399982213974	-0.333600014448166	-4.65695622576652
0	0.44879895051	0.302700012922287	0.357499986886978	-0.0113500002771616	-0.302100002765655	-5.07481580918782
0	0.49866550057	0.296900004148483	0.34850001335144	-0.0639799982309341	-0.26230001449585	-5.48986760105279
0	0.5485320506	0.293199986219406	0.337399989366531	-0.11540000140667	-0.215299993753433	-5.85902416696466
0	0.5983986007	0.291399985551834	0.324400007724762	-0.163499996066093	-0.162400007247925	-6.13937639250185
0	0.6482651507	0.290800005197525	0.309799998998642	-0.206300005316734	-0.104900002479553	-6.30590451258566
0	0.6981317008	0.290499985218048	0.294099986553192	-0.241699993610382	-0.0438399985432625	-6.35963566767069
0	0.7479982509	0.289400011301041	0.277999997138977	-0.268099993467331	0.0198500007390976	-6.32070380449489
0	0.7978648009	0.286300003528595	0.261900007724762	-0.284200012683868	0.0851999968290329	-6.22351416574164
0	0.847731351	0.280200004577637	0.2466000020504	-0.289499998092651	0.151299998164177	-6.09019802906201
0	0.897597901	0.270399987697601	0.232400000095367	-0.284299999475479	0.217299997806549	-5.93167506398497
0	0.9474644511	0.256500005722046	0.219600006937981	-0.269600003957748	0.282099992036819	-5.74659847463257
0	0.9973310011	0.238499999046326	0.208100005984306	-0.246999993920326	0.344599992036819	-5.52925712516526
0	1.0471975512	0.216800004243851	0.197999998927116	-0.218999996781349	0.403699994087219	-5.27037528680396
0	1.0970641013	0.192300006747246	0.188899993896484	-0.188299998641014	0.458200007677078	-4.97481883260137
0	1.1469306513	0.165900006890297	0.180299997329712	-0.157800003886223	0.507000029087067	-4.65998311575181
0	1.1967972014	0.138999998569489	0.171700000762939	-0.130500003695488	0.548900008201599	-4.35187980727269
0	1.2466637514	0.112700000405312	0.162499994039536	-0.108800001442432	0.583299994468689	-4.07619069994587
0	1.2965303015	0.0883100032806397	0.152400001883507	-0.0948500037193298	0.609399974346161	-3.85747040768188
0	1.3463968515	0.0666799992322922	0.140799999237061	-0.0899399966001511	0.62720000743866	-3.70855631495307
0	1.3962634016	0.0484399981796742	0.127499997615814	-0.0946099981665611	0.636600017547607	-3.63699385212681
0	1.4461299517	0.0338499993085861	0.112400002777576	-0.108599998056889	0.638300001621246	-3.63511667621984
0	1.4959965017	0.02280000038445	0.0957600027322769	-0.130999997258186	0.633199989795685	-3.68766280914441
0	1.5458630518	0.0148600004613399	0.0776600018143654	-0.160099998116493	0.622399985790253	-3.77510720331651
0	1.5957296018	0.00936399959027767	0.0585200004279613	-0.194100007414818	0.607200026512146	-3.87344374400474
0	1.6455961519	0.00550899980589747	0.0387599989771843	-0.230800002813339	0.58899998664856	-3.96074046328326
0	1.6954627019	0.00248900009319186	0.0188400000333786	-0.268299996852875	0.569199979305267	-4.01937962283524
0	1.745329252	-0.000391400011721998	-0.000842800014652312	-0.304800003767014	0.549000024795532	-4.04167789568146
0	1.7951958021	-0.00362000009045005	-0.0199500005692244	-0.339100003242493	0.529299974441528	-4.02789408151163
0	1.8450623521	-0.007404999807477	-0.0382799990475178	-0.37049999833107	0.510599970817566	-3.98480203681416
0	1.8949289022	-0.0116400001570582	-0.0557500012218952	-0.398799985647202	0.49329999089241	-3.91870080448822
0	1.9447954522	-0.0159499999135733	-0.0723899975419044	-0.424400001764297	0.477299988269806	-3.83602892489334
0	1.9946620023	-0.0196899995207787	-0.0883700028061867	-0.448199987411499	0.462399989366531	-3.73768546023445
0	2.0445285523	-0.0220999997109175	-0.103900000452995	-0.471199989318848	0.448199987411499	-3.62313902976192
0	2.0943951024	-0.0223900005221367	-0.119199998676777	-0.494300007820129	0.434300005435944	-3.49052733846816
0	2.1442616525	-0.0198800005018711	-0.134499996900558	-0.518599987030029	0.420199990272522	-3.33482541760569
0	2.1941282025	-0.0140899997204542	-0.149900004267693	-0.544399976730347	0.405699998140335	-3.15484645783789
0	2.2439947526	-0.00486199976876378	-0.165500000119209	-0.571699976921082	0.39070001244545	-2.95076635749567
0	2.2938613026	0.00760000012814999	-0.18129999935627	-0.600000023841858	0.375600010156631	-2.72456428360095
0	2.3437278527	0.0227199997752905	-0.196899995207787	-0.628199994564056	0.360700011253357	-2.48701231706993
0	2.3935944027	0.0395700000226498	-0.212099999189377	-0.654399991035461	0.346599996089935	-2.25539167639894
