        Frequency / GHz                c2=6/real
              0.89473684                       0.5929365
               1.0263158                      0.33059731
               1.1578947                     0.055947621
               1.2894737                     0.015515842
               1.4210526                      0.05923129
               1.5526316                     0.042210563
               1.6842105                       0.0390534
               1.8157895                    0.0048832782
               1.9473684                      0.03298304
               2.0789474                     0.017352102
               2.2105263                     0.060533523
               2.3421053                     0.079458773
               2.4736842                     0.022132888
               2.6052632                    0.0049185239
               2.7368421                    0.0031318242
               2.8684211                     0.037311717
                       3                      0.10243016

        Frequency / GHz                c2=3.6/real
----------------------------------------------------------------------
                     0.5                      0.87273484
              0.63157895                       0.6853961
              0.76315789                      0.13985341
              0.89473684                      0.60211901
               1.0263158                      0.31799156
               1.1578947                     0.050482415
               1.2894737                     0.017025811
               1.4210526                     0.056564084
               1.5526316                     0.040208161
               1.6842105                     0.041456762
               1.8157895                    0.0047946996
               1.9473684                     0.032350671
               2.0789474                     0.021504371
               2.2105263                     0.065894745
               2.3421053                     0.079283557
               2.4736842                     0.021898251
               2.6052632                    0.0047745306
               2.7368421                    0.0034437909
               2.8684211                     0.038224751
                       3                      0.10358551

        Frequency / GHz                c2=3.9/real
----------------------------------------------------------------------
                     0.5                      0.87318573
              0.63157895                      0.67971168
              0.76315789                      0.14076288
              0.89473684                      0.60563487
               1.0263158                      0.30616689
               1.1578947                     0.045598462
               1.2894737                      0.01854527
               1.4210526                     0.053960269
               1.5526316                     0.038516985
               1.6842105                     0.043984716
               1.8157895                    0.0047062323
               1.9473684                     0.031595998
               2.0789474                     0.026890766
               2.2105263                     0.069567239
               2.3421053                     0.078563093
               2.4736842                     0.021636152
               2.6052632                    0.0046455688
               2.7368421                    0.0037167674
               2.8684211                     0.039001337
                       3                      0.10455308

        Frequency / GHz                c2=4.2/real
----------------------------------------------------------------------
                     0.5                      0.87365521
              0.63157895                      0.67315143
              0.76315789                      0.18075545
              0.89473684                      0.60512439
               1.0263158                      0.29513362
               1.1578947                     0.041238359
               1.2894737                     0.020060873
               1.4210526                     0.051431396
               1.5526316                     0.037136019
               1.6842105                      0.04655748
               1.8157895                    0.0046198601
               1.9473684                     0.030709392
               2.0789474                     0.032906579
               2.2105263                     0.071936965
               2.3421053                     0.077626213
               2.4736842                     0.021372632
               2.6052632                     0.004530864
               2.7368421                    0.0039561235
               2.8684211                     0.039667757
                       3                      0.10537286

        Frequency / GHz                c2=4.5/real
----------------------------------------------------------------------
                     0.5                      0.87414438
              0.63157895                       0.6655147
              0.76315789                      0.25429932
              0.89473684                      0.60186911
               1.0263158                      0.28487427
               1.1578947                     0.037348501
               1.2894737                     0.021561775
               1.4210526                     0.048986289
               1.5526316                     0.036058758
               1.6842105                     0.049104278
               1.8157895                    0.0045368406
               1.9473684                     0.029683368
               2.0789474                     0.038990571
               2.2105263                     0.073371842
               2.3421053                     0.076641016
               2.4736842                     0.021119995
               2.6052632                    0.0044289856
               2.7368421                    0.0041668152
               2.8684211                     0.040244532
                       3                      0.10607478

        Frequency / GHz                c2=4.8/real
----------------------------------------------------------------------
                     0.5                      0.87465458
              0.63157895                      0.65653943
              0.76315789                      0.34579869
              0.89473684                      0.59682262
               1.0263158                      0.27535454
               1.1578947                      0.03387953
               1.2894737                     0.023039338
               1.4210526                     0.046631357
               1.5526316                     0.035273951
               1.6842105                     0.051567329
               1.8157895                    0.0044579011
               1.9473684                     0.028513629
               2.0789474                     0.044732733
               2.2105263                     0.074163258
               2.3421053                     0.075686957
               2.4736842                     0.020883498
               2.6052632                     0.004338372
               2.7368421                    0.0043531456
               2.8684211                     0.040747718
                       3                      0.10668152

        Frequency / GHz                c2=5.1/real
----------------------------------------------------------------------
                     0.5                      0.87518715
              0.63157895                      0.64587868
              0.76315789                      0.43846552
              0.89473684                      0.59067134
               1.0263158                      0.26653084
               1.1578947                      0.03078649
               1.2894737                     0.024486818
               1.4210526                     0.044370905
               1.5526316                     0.034766424
               1.6842105                      0.05390343
               1.8157895                    0.0043834007
               1.9473684                     0.027200232
               2.0789474                     0.049897645
               2.2105263                     0.074522881
               2.3421053                     0.074797706
               2.4736842                     0.020664814
               2.6052632                    0.0042575454
               2.7368421                    0.0045187526
               2.8684211                     0.041189957
                       3                       0.1072105

        Frequency / GHz                c2=5.4/real
----------------------------------------------------------------------
                     0.5                      0.87574354
              0.63157895                      0.63306654
              0.76315789                      0.52120524
              0.89473684                      0.58389767
               1.0263158                      0.25835532
               1.1578947                     0.028028744
               1.2894737                     0.025899105
               1.4210526                     0.042207433
               1.5526316                     0.034517992
               1.6842105                     0.056083568
