        Frequency / MHz                S1,1 (31765)/abs,dB
                  1005.8                      -3.9181314
                  1008.4                      -3.7402337
                    1011                      -3.5561858
                  1013.6                      -3.3690148
                  1016.2                      -3.1822349
                  1018.8                      -3.0003867
                  1021.4                      -2.8301174
                    1024                      -2.6810775
                  1026.6                      -2.5656003
                  1029.2                      -2.4966729
                  1031.8                      -2.4846484
                  1034.4                      -2.5340712
                    1037                       -2.642044
                  1039.6                      -2.7986775
                  1042.2                      -2.9892285
                  1044.8                      -3.1970661
                  1047.4                      -3.4066209
                    1050                       -3.605598
                  1052.6                      -3.7859161
                  1055.2                      -3.9433358
                  1057.8                      -4.0763344
                  1060.4                      -4.1850239
                    1063                      -4.2705736
                  1065.6                      -4.3350602
                  1068.2                      -4.3813062
                  1070.8                       -4.412444
                  1073.4                      -4.4312593
                    1076                      -4.4397174
                  1078.6                      -4.4389451
                  1081.2                      -4.4297049
                  1083.8                      -4.4129774
                  1086.4                      -4.3902273
                    1089                      -4.3631741
                  1091.6                      -4.3332266
                  1094.2                      -4.3010073
                  1096.8                      -4.2663815
                  1099.4                       -4.228939
                    1102                      -4.1886475
                  1104.6                      -4.1461711
                  1107.2                       -4.102669
                  1109.8                      -4.0591912
                  1112.4                       -4.016093
                    1115                      -3.9729266
                  1117.6                      -3.9288825
                  1120.2                      -3.8834983
                  1122.8                      -3.8371138
                  1125.4                      -3.7907718
                    1128                      -3.7456028
                  1130.6                      -3.7021157
                  1133.2                      -3.6599094
                  1135.8                      -3.6180266
                  1138.4                      -3.5757188
                    1141                      -3.5331086
                  1143.6                       -3.491271
                  1146.2                      -3.4516441
                  1148.8                      -3.4151751
                  1151.4                      -3.3817892
                    1154                      -3.3506029
                  1156.6                      -3.3207434
                  1159.2                      -3.2922957
                  1161.8                      -3.2666979
                  1164.4                      -3.2462551
                    1167                      -3.2331124
                  1169.6                      -3.2283886
                  1172.2                      -3.2321465
                  1174.8                       -3.244353
                  1177.4                      -3.2662905
                    1180                      -3.3014609
                  1182.6                      -3.3551523
                  1185.2                      -3.4325121
                  1187.8                       -3.535716
                  1190.4                      -3.6612045
                    1193                      -3.7975483
                  1195.6                       -3.924714
                  1198.2                      -4.0159718
                  1200.8                      -4.0439539
                  1203.4                      -3.9909347
                    1206                       -3.858458
                  1208.6                       -3.668345
                  1211.2                      -3.4528069
                  1213.8                      -3.2408166
                  1216.4                      -3.0496805
                    1219                      -2.8846551
                  1221.6                      -2.7433696
                  1224.2                       -2.620883
                  1226.8                      -2.5130565
                  1229.4                      -2.4176073
                    1232                      -2.3335178
                  1234.6                      -2.2598687
                  1237.2                       -2.195109
                  1239.8                      -2.1371176
                  1242.4                      -2.0838142
                    1245                      -2.0338062
                  1247.6                      -1.9866217
                  1250.2                      -1.9424093
                  1252.8                      -1.9013995
                  1255.4                      -1.8634505
                    1258                      -1.8279691
                  1260.6                      -1.7941665
                  1263.2                      -1.7614477
                  1265.8                      -1.7296568
                  1268.4                      -1.6990221
                    1271                      -1.6698828
                  1273.6                      -1.6424079
                  1276.2                      -1.6164553
                  1278.8                      -1.5916747
                  1281.4                      -1.5677281
                    1284                      -1.5444769
                  1286.6                      -1.5220095
                  1289.2                      -1.5005019
                  1291.8                      -1.4800354
                  1294.4                      -1.4604836
                    1297                      -1.4415494
                  1299.6                      -1.4229216
                  1302.2                      -1.4044289
                  1304.8                      -1.3861157
                  1307.4                      -1.3681751
                    1310                       -1.350809
                  1312.6                      -1.3340929
                  1315.2                      -1.3179435
                  1317.8                      -1.3021872
                  1320.4                      -1.2866827
                    1323                      -1.2714117
                  1325.6                       -1.256479
                  1328.2                      -1.2420335
                  1330.8                      -1.2281647
                  1333.4                      -1.2148446
                    1336                      -1.2019515
                  1338.6                      -1.1893492
                  1341.2                      -1.1769747
                  1343.8                       -1.164867
                  1346.4                      -1.1531333
                    1349                      -1.1418672
                  1351.6                      -1.1310907
                  1354.2                      -1.1207353
                  1356.8                      -1.1106942
                  1359.4                      -1.1008864
                    1362                      -1.0913089
                  1364.6                      -1.0820263
                  1367.2                      -1.0731276
                  1369.8                      -1.0646627
                  1372.4                       -1.056612
                    1375                      -1.0489031
                  1377.6                      -1.0414606
                  1380.2                      -1.0342534
                  1382.8                      -1.0273142
                  1385.4                      -1.0207159
                    1388                      -1.0145244
                  1390.6                      -1.0087613
                  1393.2                      -1.0033949
                  1395.8                     -0.99836971
                  1398.4                      -0.9936512
                    1401                     -0.98925338
                  1403.6                     -0.98523919
                  1406.2                     -0.98168943
                  1408.8                     -0.97866429
                  1411.4                     -0.97617969
                    1414                     -0.97421495
                  1416.6                     -0.97274352
                  1419.2                     -0.97176261
                  1421.8                     -0.97129932
                  1424.4                     -0.97138686
                    1427                     -0.97201376
                  1429.6                     -0.97307438
                  1432.2                     -0.97435259
                  1434.8                     -0.97554586
                  1437.4                     -0.97633141
                    1440                     -0.97644302
                  1442.6                     -0.97572746
                  1445.2                     -0.97416464
                  1447.8                     -0.97184871
                  1450.4                     -0.96895026
                    1453                     -0.96568029
                  1455.6                     -0.96225865
                  1458.2                     -0.95889477
                  1460.8                     -0.95576665
                  1463.4                     -0.95300223
                    1466                     -0.95067129
                  1468.6                     -0.94878735
                  1471.2                     -0.94732579
                  1473.8                     -0.94624708
                  1476.4                     -0.94551939
                    1479                     -0.94512892
                  1481.6                     -0.94507409
                  1484.2                     -0.94535289
                  1486.8                     -0.94595081
                  1489.4                     -0.94683847
                    1492                     -0.94797766
                  1494.6                      -0.9493353
                  1497.2                     -0.95089517
                  1499.8                     -0.95265638
                  1502.4                     -0.95462902
                    1505                      -0.9568164
                  1507.6                     -0.95920959
                  1510.2                     -0.96178696
                  1512.8                     -0.96452441
                  1515.4                     -0.96740428
                    1518                      -0.9704241
                  1520.6                     -0.97359469
                  1523.2                     -0.97692792
                  1525.8                     -0.98042696
                  1528.4                     -0.98408263
                    1531                     -0.98787676
                  1533.6                     -0.99179248
                  1536.2                     -0.99582173
                  1538.8                     -0.99997141
                  1541.4                       -1.004255
                    1544                      -1.0086838
                  1546.6                      -1.0132569
                  1549.2                      -1.0179647
                  1551.8                      -1.0227896
                  1554.4                      -1.0277218
                    1557                      -1.0327621
                  1559.6                      -1.0379206
                  1562.2                      -1.0432124
                  1564.8                      -1.0486454
                  1567.4                      -1.0542162
                    1570                      -1.0599106
                  1572.6                      -1.0657165
                  1575.2                      -1.0716301
                  1577.8                      -1.0776574
                  1580.4                      -1.0838125
                    1583                      -1.0901092
                  1585.6                      -1.0965499
                  1588.2                      -1.1031272
                  1590.8                      -1.1098281
                  1593.4                      -1.1166446
                    1596                      -1.1235777
                  1598.6                      -1.1306399
                  1601.2                      -1.1378459
                  1603.8                      -1.1452051
                  1606.4                      -1.1527164
                    1609                      -1.1603699
                  1611.6                      -1.1681527
                  1614.2                      -1.1760622
                  1616.8                      -1.1841071
                  1619.4                      -1.1923028
                    1622                      -1.2006619
                  1624.6                      -1.2091907
                  1627.2                      -1.2178838
                  1629.8                      -1.2267283
                  1632.4                      -1.2357166
                    1635                      -1.2448524
                  1637.6                      -1.2541497
                  1640.2                      -1.2636254
                  1642.8                      -1.2732908
                  1645.4                      -1.2831468
                    1648                      -1.2931842
                  1650.6                      -1.3033923
                  1653.2                      -1.3137696
                  1655.8                       -1.324326
                  1658.4                      -1.3350817
                    1661                      -1.3460543
                  1663.6                      -1.3572505
                  1666.2                      -1.3686675
                  1668.8                      -1.3802963
                  1671.4                      -1.3921312
                    1674                      -1.4041776
                  1676.6                      -1.4164558
                  1679.2                      -1.4289909
                  1681.8                      -1.4417987
                  1684.4                      -1.4548838
                    1687                      -1.4682432
                  1689.6                      -1.4818706
                  1692.2                      -1.4957711
                  1694.8                      -1.5099633
                  1697.4                       -1.524479
                    1700                      -1.5393468
                  1702.6                      -1.5545861
                  1705.2                      -1.5702027
                  1707.8                      -1.5861984
                  1710.4                       -1.602583
                    1713                      -1.6193813
                  1715.6                      -1.6366311
                  1718.2                      -1.6543815
                  1720.8                      -1.6726751
                  1723.4                      -1.6915432
                    1726                       -1.711005
                  1728.6                      -1.7310896
                  1731.2                      -1.7518433
                  1733.8                      -1.7733289
                  1736.4                      -1.7956297
                    1739                      -1.8188348
                  1741.6                      -1.8430229
                  1744.2                      -1.8682697
                  1746.8                      -1.8946538
                  1749.4                      -1.9222793
                    1752                      -1.9512777
                  1754.6                      -1.9818117
                  1757.2                      -2.0140602
                  1759.8                      -2.0482014
                  1762.4                      -2.0844129
                    1765                      -2.1228717
                  1767.6                      -2.1637552
                  1770.2                      -2.2072631
                  1772.8                      -2.2535812
                  1775.4                      -2.3028356
                    1778                       -2.355012
                  1780.6                      -2.4098964
                  1783.2                       -2.466969
                  1785.8                      -2.5252856
                  1788.4                      -2.5833728
                    1791                      -2.6390962
                  1793.6                      -2.6895725
