1
Frequency	Efficiency
800000000	0.504115427466954
800500000	0.501980730219318
801000000	0.500071677075632
801500000	0.498006937008328
802000000	0.495959600675329
802500000	0.493807335256711
803000000	0.491757227618674
803500000	0.490101093066015
804000000	0.48814248143176
804500000	0.486477582623644
805000000	0.492824455371815
805500000	0.491808565034976
806000000	0.490853495107134
806500000	0.489987116907546
807000000	0.488936775488281
807500000	0.488695450656539
808000000	0.487789629581558
808500000	0.487942226417951
809000000	0.487675625088814
809500000	0.487645447937672
810000000	0.487714354652146
810500000	0.488013326316087
811000000	0.487833995700578
811500000	0.488091994637594
812000000	0.488481482225613
812500000	0.48894121456824
813000000	0.489810770987034
813500000	0.490469678160765
814000000	0.49156011928357
814500000	0.492146498738725
815000000	0.502523766305514
815500000	0.503487169979626
816000000	0.504398579025208
816500000	0.504981059071596
817000000	0.50612064539834
817500000	0.507418339618169
818000000	0.508142012144349
818500000	0.508995862585938
819000000	0.509930135122138
819500000	0.510536949069393
820000000	0.511256506615343
820500000	0.512091950210635
821000000	0.512999936505998
821500000	0.513292373286299
822000000	0.513986495962017
822500000	0.514229582378955
823000000	0.514840224517114
823500000	0.51542164094252
824000000	0.515477954443803
824500000	0.515860117853964
825000000	0.522774308938526
825500000	0.523366053758112
826000000	0.524200817612373
826500000	0.524613916658528
827000000	0.525495518799146
827500000	0.526047865305442
828000000	0.526786474327378
828500000	0.527047312753701
829000000	0.527507163112768
829500000	0.527893906609744
830000000	0.528448681696029
830500000	0.528087762855428
831000000	0.527870842321454
831500000	0.527059636501926
832000000	0.527137617880419
832500000	0.526575802792579
833000000	0.526432160272403
833500000	0.525748047016325
834000000	0.52554008788153
834500000	0.525248881452228
835000000	0.5094642111312
835500000	0.509038000994103
836000000	0.507855519560341
836500000	0.506877501658586
837000000	0.505954336827527
837500000	0.505098253688172
838000000	0.504219869935885
838500000	0.503491703029495
839000000	0.502367865517883
839500000	0.501538775943809
840000000	0.50070144221299
840500000	0.499068337311883
841000000	0.497757627624949
841500000	0.496375913560539
842000000	0.495068716028013
842500000	0.493718625289695
843000000	0.492593337359682
843500000	0.491596372150731
844000000	0.490288858615059
844500000	0.489638441007608
845000000	0.480136626011043
845500000	0.479099498906444
846000000	0.478305566811578
846500000	0.477784434554599
847000000	0.476856157889094
847500000	0.476486376560414
848000000	0.475756141107843
848500000	0.475492089598767
849000000	0.475070558550287
849500000	0.474902488635802
850000000	0.474798231965807
850500000	0.475380694787053
851000000	0.476611602271083
851500000	0.477891725623593
852000000	0.47889523496481
852500000	0.480251162797277
853000000	0.481446084466966
853500000	0.483008414843816
854000000	0.48428694912369
854500000	0.485825693963914
855000000	0.486761095836611
855500000	0.488037572945905
856000000	0.489554196745846
856500000	0.491091202785087
857000000	0.492505273210595
857500000	0.494087615374057
858000000	0.495302019681595
858500000	0.496919540406371
859000000	0.499229824882077
859500000	0.500191126032174
860000000	0.50164883758996
860500000	0.501463820390031
861000000	0.501126153881378
861500000	0.50049736624301
862000000	0.500275409896815
862500000	0.499495145954226
863000000	0.499407453669747
863500000	0.498043559679073
864000000	0.497614815117271
864500000	0.496566703865726
865000000	0.488447911266376
865500000	0.488823924748998
866000000	0.488712027032752
866500000	0.488706099106726
867000000	0.488620560248177
867500000	0.488261403768099
868000000	0.488261957667537
868500000	0.487616738854366
869000000	0.487291819728626
869500000	0.486566854300164
870000000	0.485964812638075
870500000	0.484856469490168
871000000	0.483597501477346
871500000	0.481848006259413
872000000	0.480675163159535
872500000	0.47912960461375
873000000	0.477552959268747
873500000	0.476228876111709
874000000	0.474889950249184
874500000	0.473405044242842
875000000	0.468767829359506
875500000	0.467676236569918
876000000	0.466283368516645
876500000	0.464917719543038
877000000	0.463969743476173
877500000	0.462546843904267
878000000	0.461577656786948
878500000	0.46055286354351
879000000	0.459488598305305
879500000	0.458606536063414
880000000	0.457818697943378
880500000	0.457639202079057
881000000	0.457680220463286
881500000	0.457440346780169
882000000	0.457763657841127
882500000	0.457803585846699
883000000	0.457892147368173
883500000	0.458106421972961
884000000	0.458281394267798
884500000	0.459114042038214
885000000	0.454317765493113
885500000	0.454778591322719
886000000	0.456024500126178
886500000	0.456039933011557
887000000	0.457271872278769
887500000	0.457872874240555
888000000	0.458903950289679
888500000	0.459937840530709
889000000	0.460717372879827
889500000	0.461768902359314
890000000	0.46312032079642
890500000	0.463972569337214
891000000	0.465339008922732
891500000	0.466698801451621
892000000	0.467550207108232
892500000	0.468601384443839
893000000	0.469875547620881
893500000	0.470946408330225
894000000	0.471966880466794
894500000	0.472706057434128
895000000	0.468460460614207
895500000	0.468306134651059
896000000	0.468018977580382
896500000	0.466979937983172
897000000	0.466580754902876
897500000	0.466046725554631
898000000	0.465202369394183
898500000	0.464236013771051
899000000	0.463323164704178
899500000	0.462437025975128
900000000	0.460978692704862
