        Frequency / MHz                S1,1/abs,dB
                  1016.2                       -2.529579
                  1018.8                      -2.3629866
                  1021.4                      -2.2072998
                    1024                      -2.0614835
                  1026.6                      -1.9246027
                  1029.2                       -1.796075
                  1031.8                      -1.6756633
                  1034.4                      -1.5632463
                    1037                      -1.4585583
                  1039.6                      -1.3610746
                  1042.2                      -1.2701054
                  1044.8                      -1.1850093
                  1047.4                      -1.1053511
                    1050                      -1.0309161
                  1052.6                     -0.96156304
                  1055.2                      -0.8970339
                  1057.8                     -0.83679838
                  1060.4                     -0.77988464
                    1063                     -0.72421742
                  1065.6                     -0.66304936
                  1068.2                     -0.56237291
                  1070.8                     -0.32728762
                  1073.4                     -0.38252554
                    1076                     -0.43350565
                  1078.6                     -0.43032225
                  1081.2                     -0.41228267
                  1083.8                     -0.38992317
                  1086.4                     -0.36659654
                    1089                     -0.34362201
                  1091.6                     -0.32157451
                  1094.2                     -0.30067296
                  1096.8                     -0.28094637
                  1099.4                     -0.26234226
                    1102                     -0.24480453
                  1104.6                     -0.22830925
                  1107.2                     -0.21285574
                  1109.8                     -0.19843361
                  1112.4                     -0.18499472
                    1115                     -0.17245311
                  1117.6                     -0.16071051
                  1120.2                     -0.14969019
                  1122.8                     -0.13935256
                  1125.4                     -0.12968725
                    1128                     -0.12068598
                  1130.6                      -0.1123189
                  1133.2                       -0.104529
                  1135.8                     -0.09724809
                  1138.4                    -0.090420041
                    1141                    -0.084016212
                  1143.6                    -0.078032232
                  1146.2                    -0.072469616
                  1148.8                    -0.067316459
                  1151.4                    -0.062539604
                    1154                    -0.058093639
                  1156.6                    -0.053938752
                  1159.2                    -0.050054791
                  1161.8                    -0.046442168
                  1164.4                    -0.043109631
                    1167                    -0.040057864
                  1169.6                    -0.037270698
                  1172.2                    -0.034719616
                  1174.8                     -0.03237714
                  1177.4                    -0.030229999
                    1180                    -0.028281836
                  1182.6                    -0.026542701
                  1185.2                    -0.025010537
                  1187.8                    -0.023655094
                  1190.4                    -0.022412119
                    1193                    -0.021189495
                  1195.6                    -0.019884333
                  1198.2                    -0.018409967
                  1200.8                    -0.016726941
                  1203.4                    -0.014867155
                    1206                    -0.012932114
                  1208.6                    -0.011056294
                  1211.2                   -0.0093550403
                  1213.8                   -0.0078904635
                  1216.4                    -0.006670193
                    1219                   -0.0056683256
                  1221.6                   -0.0048484871
                  1224.2                   -0.0041779311
                  1226.8                   -0.0036320742
                  1229.4                   -0.0031934412
                    1232                   -0.0028490468
                  1234.6                   -0.0025887912
                  1237.2                   -0.0024042216
                  1239.8                   -0.0022888973
                  1242.4                   -0.0022375602
                    1245                   -0.0022465723
                  1247.6                   -0.0023135724
                  1250.2                   -0.0024378999
                  1252.8                   -0.0026199651
                  1255.4                   -0.0028612199
                    1258                   -0.0031632985
                  1260.6                   -0.0035279931
                  1263.2                   -0.0039573254
                  1265.8                   -0.0044542613
                  1268.4                   -0.0050234135
                    1271                   -0.0056705078
                  1273.6                   -0.0064000285
                  1276.2                   -0.0072118448
                  1278.8                   -0.0080970014
                  1281.4                   -0.0090342488
                    1284                   -0.0099893688
                  1286.6                    -0.010918165
                  1289.2                    -0.011773623
                  1291.8                    -0.012518784
                  1294.4                    -0.013136911
                    1297                    -0.013638046
                  1299.6                    -0.014054434
                  1302.2                    -0.014429248
                  1304.8                    -0.014804846
                  1307.4                     -0.01521411
                    1310                    -0.015678279
                  1312.6                    -0.016207318
                  1315.2                     -0.01680315
                  1317.8                    -0.017463419
                  1320.4                    -0.018184024
                    1323                    -0.018961969
                  1325.6                    -0.019796337
                  1328.2                    -0.020687192
                  1330.8                    -0.021634526
                  1333.4                     -0.02263654
                    1336                    -0.023689547
                  1338.6                    -0.024789444
                  1341.2                    -0.025933658
                  1343.8                    -0.027122142
                  1346.4                    -0.028357828
                    1349                    -0.029644411
                  1351.6                    -0.030984169
                  1354.2                    -0.032376565
                  1356.8                    -0.033819016
                  1359.4                    -0.035308891
                    1362                    -0.036846093
                  1364.6                     -0.03843396
                  1367.2                    -0.040078366
                  1369.8                      -0.0417847
                  1372.4                    -0.043555747
                    1375                    -0.045390903
                  1377.6                    -0.047288241
                  1380.2                    -0.049247005
                  1382.8                    -0.051270622
                  1385.4                    -0.053366417
                    1388                    -0.055543498
                  1390.6                    -0.057809566
                  1393.2                    -0.060168859
                  1395.8                    -0.062622704
                  1398.4                    -0.065173182
                    1401                     -0.06782626
                  1403.6                    -0.070594255
                  1406.2                    -0.073494839
                  1408.8                    -0.076547603
                  1411.4                     -0.07977123
                    1414                    -0.083182084
                  1416.6                    -0.086797037
                  1419.2                    -0.090637646
                  1421.8                    -0.094733243
                  1424.4                    -0.099118693
                    1427                     -0.10382536
                  1429.6                     -0.10886345
                  1432.2                     -0.11420192
                  1434.8                     -0.11975076
                  1437.4                      -0.1253582
                    1440                     -0.13083171
                  1442.6                     -0.13598516
                  1445.2                     -0.14069772
                  1447.8                     -0.14495264
                  1450.4                      -0.1488364
                    1453                     -0.15250151
                  1455.6                     -0.15611629
                  1458.2                     -0.15982694
                  1460.8                     -0.16373961
                  1463.4                     -0.16791944
                    1466                      -0.1723985
                  1468.6                     -0.17718632
                  1471.2                      -0.1822812
                  1473.8                      -0.1876781
                  1476.4                     -0.19337397
                    1479                     -0.19936974
                  1481.6                      -0.2056686
                  1484.2                     -0.21227398
                  1486.8                     -0.21918721
