        Frequency / GHz                run 1/real
                    0.78                     0.020214453
                    0.87                      0.37589848
                    0.96                      0.67197862
                     1.7                     0.044581392
                     1.8                     0.068985699
                     1.9                     0.032022353
                       2                     0.044867504
                     2.1                      0.10590365
                     2.2                      0.10484156
                     2.3                     0.061300986
                     2.4                     0.050275527
                     2.5                     0.022721907
                     2.6                     0.005638288
                     2.7                   0.00059569455

        Frequency / GHz                run 16/real
----------------------------------------------------------------------
                    0.69                      0.54825959
                    0.78                     0.070295344
                    0.87                      0.40975223
                    0.96                      0.68197055
                     1.7                     0.044181673
                     1.8                     0.069848595
                     1.9                     0.031935702
                       2                     0.043574623
                     2.1                      0.11276523
                     2.2                      0.10511087
                     2.3                     0.060649044
                     2.4                     0.049568345
                     2.5                     0.022359548
                     2.6                    0.0054859007
                     2.7                    0.0006495713

        Frequency / GHz                run 17/real
----------------------------------------------------------------------
                    0.69                      0.49373959
                    0.78                      0.13571647
                    0.87                      0.43865938
                    0.96                      0.69031963
                     1.7                     0.044070662
                     1.8                     0.070710535
                     1.9                     0.031852518
                       2                     0.043421508
                     2.1                      0.11815498
                     2.2                      0.10503355
                     2.3                      0.05998293
                     2.4                     0.048945697
                     2.5                       0.0220382
                     2.6                    0.0053516559
                     2.7                   0.00069866423

        Frequency / GHz                run 18/real
----------------------------------------------------------------------
                    0.69                      0.42519005
                    0.78                      0.20228686
                    0.87                      0.46328327
                    0.96                      0.69733543
                     1.7                     0.044200915
                     1.8                     0.071559294
                     1.9                      0.03177265
                       2                     0.044353925
                     2.1                      0.12229971
                     2.2                      0.10474267
                     2.3                     0.059325076
                     2.4                     0.048395315
                     2.5                     0.021751948
                     2.6                    0.0052326668
                     2.7                   0.00074347443

        Frequency / GHz                run 19/real
----------------------------------------------------------------------
                    0.69                      0.34132883
                    0.78                      0.26186937
                    0.87                      0.48428978
                    0.96                      0.70326405
                     1.7                     0.044528815
                     1.8                     0.072386314
                     1.9                     0.031695916
                       2                      0.04623033
                     2.1                      0.12544089
                     2.2                      0.10432483
                     2.3                     0.058688366
                     2.4                     0.047906625
                     2.5                     0.021495793
                     2.6                    0.0051265937
                     2.7                   0.00078445623

