"";"";"Parameters";"";"";"";"";"";"";"";"";"";"";"Tasks\SPara1\S-Parameters"
"Schematic Run ID";"Status";"ant_l";"ant_w";"arm_l";"C_h1";"C_h3";"C_h4";"C_l3";"L_h2";"L_l1";"L_l2";"L_l4";"S1,1"
"22974";"Calculated";"60";"5";"3";"2.95862";"5";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22975";"Calculated";"60";"5";"3";"3.06207";"5";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22976";"Calculated";"60";"5";"3";"3.16552";"5";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22977";"Calculated";"60";"5";"3";"3.26897";"5";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22978";"Calculated";"60";"5";"3";"3.37241";"5";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22979";"Calculated";"60";"5";"3";"3.47586";"5";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22980";"Calculated";"60";"5";"3";"3.57931";"5";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22981";"Calculated";"60";"5";"3";"3.68276";"5";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22982";"Calculated";"60";"5";"3";"3.78621";"5";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22983";"Calculated";"60";"5";"3";"3.88966";"5";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22984";"Calculated";"60";"5";"3";"3.9931";"5";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22985";"Calculated";"60";"5";"3";"4.09655";"5";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22986";"Calculated";"60";"5";"3";"4.2";"5";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22987";"Calculated";"60";"5";"3";"1.2";"5.10345";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22988";"Calculated";"60";"5";"3";"1.2";"5.2069";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22989";"Calculated";"60";"5";"3";"1.2";"5.31034";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22990";"Calculated";"60";"5";"3";"1.2";"5.41379";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22991";"Calculated";"60";"5";"3";"1.2";"5.51724";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22992";"Calculated";"60";"5";"3";"1.2";"5.62069";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22993";"Calculated";"60";"5";"3";"1.2";"5.72414";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22994";"Calculated";"60";"5";"3";"1.2";"5.82759";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22995";"Calculated";"60";"5";"3";"1.2";"5.93103";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22996";"Calculated";"60";"5";"3";"1.2";"6.03448";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22997";"Calculated";"60";"5";"3";"1.2";"6.13793";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22998";"Calculated";"60";"5";"3";"1.2";"6.24138";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22999";"Calculated";"60";"5";"3";"1.2";"6.34483";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23000";"Calculated";"60";"5";"3";"1.2";"6.44828";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23001";"Calculated";"60";"5";"3";"1.2";"6.55172";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23002";"Calculated";"60";"5";"3";"1.2";"6.65517";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
