        Frequency / MHz                S1,1 (31736)/abs,dB
----------------------------------------------------------------------
                     400                   -0.0068430609
                   402.6                   -0.0061674392
                   405.2                   -0.0054446548
                   407.8                   -0.0053059135
                   410.4                   -0.0059976268
                     413                   -0.0072105764
                   415.6                     -0.00828252
                   418.2                   -0.0086458276
                   420.8                   -0.0082175598
                   423.4                   -0.0074594186
                     426                   -0.0070700632
                   428.6                   -0.0075165258
                   431.2                   -0.0087140579
                   433.8                    -0.010071006
                   436.4                    -0.010883338
                     439                    -0.010817158
                   441.6                    -0.010143361
                   444.2                   -0.0095627772
                   446.8                   -0.0097409573
                   449.4                    -0.010856701
                     452                    -0.012463418
                   454.6                    -0.013776634
                   457.2                    -0.014205647
                   459.8                    -0.013767662
                   462.4                    -0.013089992
                     465                    -0.013001508
                   467.6                     -0.01397772
                   470.2                    -0.015801549
                   472.8                    -0.017680062
                   475.4                    -0.018771687
                     478                    -0.018772035
                   480.6                    -0.018143368
                   483.2                    -0.017826902
                   485.8                    -0.018624449
                   488.4                    -0.020645224
                     491                    -0.023185795
                   493.6                    -0.025173631
                   496.2                    -0.025904856
                   498.8                    -0.025556873
                   501.4                    -0.025109764
                     504                    -0.025723224
                   506.6                    -0.027956601
                   509.2                     -0.03133434
                   511.8                    -0.034593366
                   514.4                    -0.036526589
                     517                    -0.036852777
                   519.6                    -0.036479772
                   522.2                    -0.036965684
                   524.8                    -0.039512371
                   527.4                    -0.044094969
                     530                    -0.049338566
                   532.6                     -0.05336919
                   535.2                    -0.055144776
                   537.8                    -0.055298888
                   540.4                     -0.05586989
                     543                    -0.059068091
                   545.6                    -0.065777586
                   548.2                    -0.074709621
                   550.8                    -0.083009709
                   553.4                    -0.088218738
                     556                    -0.090237956
                   558.6                      -0.0918056
                   561.2                    -0.097135732
                   563.8                     -0.10939336
                   566.4                     -0.12821653
                     569                       -0.149139
                   571.6                     -0.16642064
                   574.2                      -0.1780495
                   576.8                     -0.18925268
                   579.4                     -0.21243838
                     582                     -0.26356654
                   584.6                      -0.3533832
                   587.2                     -0.47241839
                   589.8                     -0.58281921
                   592.4                     -0.64034018
                     595                     -0.62997423
                   597.6                     -0.56919751
                   600.2                     -0.48550822
                   602.8                     -0.40150469
                   605.4                     -0.33292043
                     608                     -0.29038033
                   610.6                     -0.27907983
                   613.2                     -0.29596395
                   615.8                     -0.32878522
                   618.4                     -0.36191607
                     621                     -0.38605138
                   623.6                      -0.4028541
                   626.2                     -0.42169945
                   628.8                     -0.45290332
                   631.4                     -0.50163216
                     634                     -0.56482386
                   636.6                     -0.63331992
                   639.2                     -0.69880225
                   641.8                     -0.76033819
                   644.4                      -0.8253278
                     647                     -0.90498079
                   649.6                      -1.0077454
