        Frequency / MHz                S1,2 (31736)/abs,dB
----------------------------------------------------------------------
                     400                      -46.506285
                   402.6                      -46.333435
                   405.2                      -46.190292
                   407.8                      -46.095549
                   410.4                       -46.04156
                     413                      -45.999827
                   415.6                      -45.935854
                   418.2                      -45.827718
                   420.8                      -45.677718
                   423.4                      -45.509008
                     426                      -45.350743
                   428.6                      -45.222681
                   431.2                      -45.126897
                   433.8                      -45.048361
                   436.4                      -44.963198
                     439                      -44.851176
                   441.6                      -44.706082
                   444.2                       -44.53784
                   446.8                      -44.365678
                   449.4                      -44.207481
                     452                      -44.071369
                   454.6                      -43.952873
                   457.2                        -43.8381
                   459.8                      -43.711071
                   462.4                      -43.561615
                     465                       -43.38978
                   467.6                      -43.204745
                   470.2                      -43.019403
                   472.8                      -42.843948
                   475.4                      -42.681641
                     478                      -42.528247
                   480.6                      -42.374695
                   483.2                       -42.21126
                   485.8                      -42.031443
                   488.4                      -41.834201
                     491                      -41.623958
                   493.6                      -41.408639
                   496.2                      -41.196605
                   498.8                      -40.993604
                   501.4                      -40.800592
                     504                      -40.612717
                   506.6                      -40.420023
                   509.2                      -40.210571
                   511.8                      -39.976004
                   514.4                      -39.717018
                     517                      -39.444723
                   519.6                      -39.176322
                   522.2                      -38.927028
                   524.8                      -38.701744
                   527.4                      -38.489788
                     530                      -38.266415
                   532.6                      -38.004174
                   535.2                      -37.689919
                   537.8                       -37.33543
                   540.4                      -36.972994
                     543                      -36.639031
                   545.6                      -36.354869
                   548.2                       -36.11151
                   550.8                        -35.8662
                   553.4                      -35.560075
                     556                        -35.1539
                   558.6                      -34.657426
                   561.2                      -34.127112
                   563.8                      -33.635865
                   566.4                      -33.234564
                     569                       -32.91793
                   571.6                      -32.607168
                   574.2                       -32.17229
                   576.8                      -31.506556
                   579.4                      -30.609676
                     582                      -29.606242
                   584.6                      -28.697059
                   587.2                      -28.092455
                   589.8                      -27.944275
                   592.4                      -28.295146
                     595                      -29.090809
                   597.6                      -30.242108
                   600.2                      -31.661522
                   602.8                      -33.215989
                   605.4                      -34.562584
                     608                       -35.05176
                   610.6                      -34.366234
                   613.2                      -33.091562
                   615.8                      -31.893437
                   618.4                      -31.020456
                     621                      -30.446687
                   623.6                      -30.030137
                   626.2                      -29.601861
                   628.8                      -29.040254
                   631.4                      -28.330703
                     634                       -27.55729
                   636.6                      -26.826804
                   639.2                      -26.200267
                   641.8                      -25.675463
                   644.4                      -25.204804
                     647                      -24.724572
                   649.6                      -24.186088
                   652.2                      -23.579554
                   654.8                       -22.93483
                   657.4                      -22.297311
                     660                      -21.700086
                   662.6                      -21.151991
                   665.2                      -20.640685
                   667.8                      -20.142298
                   670.4                      -19.632805
                     673                      -19.098993
                   675.6                      -18.544599
                   678.2                      -17.987802
                   680.8                      -17.452408
                   683.4                      -16.958337
                     686                      -16.513982
                   688.6                      -16.112101
                   691.2                      -15.731881
                   693.8                      -15.349626
                   696.4                      -14.953426
                     699                      -14.551217
                   701.6                      -14.166028
                   704.2                       -13.82173
                   706.8                      -13.528132
                   709.4                      -13.274098
                     712                      -13.032961
                   714.6                      -12.777578
                   717.2                      -12.495577
                   719.8                      -12.194716
                   722.4                      -11.895357
                     725                      -11.615853
                   727.6                      -11.360753
                   730.2                      -11.118295
                   732.8                      -10.867528
                   735.4                      -10.589963
                     738                      -10.279055
                   740.6                      -9.9422167
                   743.2                      -9.5947099
                   745.8                      -9.2498252
                   748.4                      -8.9118295
                     751                      -8.5751052
                   753.6                      -8.2290656
                   756.2                      -7.8653636
                   758.8                      -7.4836888
                   761.4                      -7.0934394
                     764                       -6.710419
                   766.6                      -6.3513002
                   769.2                      -6.0290725
                   771.8                      -5.7517644
                   774.4                      -5.5243041
                     777                      -5.3515793
                   779.6                      -5.2404808
                   782.2                      -5.1994629
                   784.8                      -5.2357908
                   787.4                      -5.3521351
                     790                       -5.544701
                   792.6                      -5.8036452
                   795.2                      -6.1152848
                   797.8                      -6.4646499
                   800.4                      -6.8379088
                     803                      -7.2241398
                   805.6                      -7.6161022
                   808.2                      -8.0099637
                   810.8                      -8.4040174
                   813.4                      -8.7969622
                     816                      -9.1865444
                   818.6                       -9.569036
                   821.2                      -9.9399525
                   823.8                      -10.295614
                   826.4                      -10.634654
                     829                      -10.958625
                   831.6                       -11.27106
                   834.2                      -11.575582
                   836.8                      -11.874093
                   839.4                      -12.165836
                     842                      -12.448019
                   844.6                      -12.717593
                   847.2                       -12.97324
                   849.8                      -13.216393
                   852.4                      -13.450672
                     855                       -13.68012
                   857.6                      -13.907216
                   860.2                      -14.131792
                   862.8                      -14.351441
                   865.4                      -14.563104
                     868                      -14.765083
                   870.6                      -14.958151
                   873.2                        -15.1453
                   875.8                      -15.330199
                   878.4                      -15.515325
                     881                      -15.700818
                   883.6                      -15.884638
                   886.2                      -16.063923
                   888.8                       -16.23679
                   891.4                      -16.403524
                     894                       -16.56652
                   896.6                      -16.728991
                   899.2                       -16.89329
                   901.8                      -17.059747
                   904.4                      -17.226672
                     907                      -17.391541
                   909.6                      -17.552593
