        Frequency / MHz                S2,2 (31736)/abs,dB
----------------------------------------------------------------------
                     400                   -0.0036520284
                   402.6                   -0.0039803483
                   405.2                   -0.0044230125
                   407.8                   -0.0047951873
                   410.4                   -0.0049600662
                     413                    -0.004902665
                   415.6                   -0.0047318012
                   418.2                   -0.0046161205
                   420.8                   -0.0046882879
                   423.4                   -0.0049741415
                     426                    -0.005385121
                   428.6                   -0.0057713414
                   431.2                   -0.0060062401
                   433.8                   -0.0060542594
                   436.4                   -0.0059857022
                     439                   -0.0059342179
                   441.6                   -0.0060200715
                   444.2                   -0.0062861447
                   446.8                   -0.0066792279
                   449.4                   -0.0070846778
                     452                   -0.0073908479
                   454.6                   -0.0075498635
                   457.2                   -0.0076013664
                   459.8                   -0.0076444249
                   462.4                   -0.0077812592
                     465                   -0.0080615551
                   467.6                   -0.0084589115
                   470.2                   -0.0088919345
                   472.8                    -0.009272203
                   475.4                   -0.0095532911
                     478                   -0.0097540073
                   480.6                   -0.0099414501
                   483.2                    -0.010189377
                   485.8                    -0.010537084
                   488.4                     -0.01097213
                     491                    -0.011445275
                   493.6                    -0.011905667
                   496.2                    -0.012330805
                   498.8                    -0.012735764
                   501.4                    -0.013156473
                     504                    -0.013619407
                   506.6                    -0.014124207
                   509.2                    -0.014649872
                   511.8                    -0.015181763
                   514.4                    -0.015735376
                     517                    -0.016352734
                   519.6                     -0.01707586
                   522.2                    -0.017907235
                   524.8                    -0.018787735
                   527.4                    -0.019619446
                     530                    -0.020332664
                   532.6                    -0.020957698
                   535.2                    -0.021640969
                   537.8                    -0.022577523
                   540.4                    -0.023898748
                     543                    -0.025567972
                   545.6                    -0.027350555
                   548.2                     -0.02891583
                   550.8                    -0.030058579
                   553.4                    -0.030897639
                     556                    -0.031893437
                   558.6                    -0.033646731
                   561.2                    -0.036582867
                   563.8                    -0.040639293
                   566.4                    -0.045145495
                     569                    -0.049121454
                   571.6                    -0.052010598
                   574.2                    -0.054376402
                   576.8                    -0.058080544
                   579.4                    -0.065898124
                     582                    -0.080602596
                   584.6                     -0.10305036
                   587.2                     -0.12945514
                   589.8                     -0.15117029
                   592.4                     -0.16032143
                     595                     -0.15569374
                   597.6                     -0.14155095
                   600.2                     -0.12312345
                   602.8                     -0.10440308
                   605.4                    -0.088241344
                     608                    -0.076892231
                   610.6                    -0.071982889
                   613.2                    -0.073747695
                   615.8                    -0.080333981
                   618.4                    -0.088420868
                     621                    -0.095097049
                   623.6                    -0.099327898
                   626.2                      -0.1020313
                   628.8                     -0.10521659
                   631.4                     -0.11085084
                     634                     -0.11981332
                   636.6                     -0.13142333
                   639.2                     -0.14395038
                   641.8                     -0.15578584
                   644.4                     -0.16637017
                     647                     -0.17640202
                   649.6                      -0.1873898
                   652.2                     -0.20083711
                   654.8                     -0.21743512
                   657.4                     -0.23673227
                     660                     -0.25751625
                   662.6                     -0.27856604
                   665.2                     -0.29928463
                   667.8                     -0.31993584
                   670.4                      -0.3414717
                     673                     -0.36502124
                   675.6                     -0.39124369
                   678.2                     -0.41988249
                   680.8                     -0.44974415
                   683.4                     -0.47912486
                     686                     -0.50655868
                   688.6                     -0.53159761
                   691.2                     -0.55512329
                   693.8                     -0.57877123
                   696.4                     -0.60374963
                     699                     -0.62988375
                   701.6                      -0.6556102
                   704.2                     -0.67899364
                   706.8                      -0.6991858
                   709.4                     -0.71729127
                     712                     -0.73589097
                   714.6                     -0.75763936
                   717.2                      -0.7839944
                   719.8                     -0.81486966
                   722.4                     -0.84929051
                     725                     -0.88662462
                   727.6                     -0.92757811
                   730.2                     -0.97439087
                   732.8                      -1.0302173
                   735.4                      -1.0982284
                     738                       -1.181063
                   740.6                      -1.2807413
                   743.2                      -1.3991573
                   745.8                      -1.5389365
                   748.4                       -1.704278
                     751                      -1.9016288
                   753.6                      -2.1399697
                   756.2                      -2.4309353
                   758.8                      -2.7888423
                   761.4                      -3.2308333
                     764                      -3.7773566
                   766.6                      -4.4533499
                   769.2                      -5.2900736
                   771.8                      -6.3269433
                   774.4                      -7.6103025
                     777                      -9.1801257
                   779.6                      -11.010558
                   782.2                      -12.815016
                   784.8                      -13.754777
                   787.4                      -13.106313
                     790                      -11.491433
                   792.6                      -9.7790772
                   795.2                      -8.2889924
                   797.8                      -7.0603248
                   800.4                      -6.0602627
                     803                      -5.2471586
