        Frequency / GHz                c3=1.2/real
----------------------------------------------------------------------
                    0.69                      0.82095228
                    0.78                      0.36886719
                    0.87                      0.13765656
                    0.96                      0.38586405
                     1.7                     0.046575182
                     1.8                     0.025651985
                     1.9                     0.029951389
                       2                      0.09572145
                     2.1                     0.097678171
                     2.2                      0.11584547
                     2.3                      0.08823643
                     2.4                   0.00069448666
                     2.5                     0.057922487
                     2.6                     0.038725428
                     2.7                     0.019827863

        Frequency / GHz                c3=5.4/real
----------------------------------------------------------------------
                    0.69                      0.82057243
                    0.78                      0.33548681
                    0.87                      0.14956526
                    0.96                      0.39065262
                     1.7                     0.049716778
                     1.8                     0.024258603
                     1.9                     0.034680433
                       2                      0.10431262
                     2.1                      0.10072118
                     2.2                       0.1165664
                     2.3                     0.088020348
                     2.4                   0.00092837016
                     2.5                     0.057544862
                     2.6                     0.038425347
                     2.7                     0.019684454

        Frequency / GHz                c3=5.7/real
----------------------------------------------------------------------
                    0.69                      0.82012249
                    0.78                      0.28760502
                    0.87                      0.15864553
                    0.96                      0.39478749
                     1.7                     0.052534009
                     1.8                     0.022961305
                     1.9                     0.039177011
                       2                      0.11173772
                     2.1                      0.10302485
                     2.2                      0.11696517
                     2.3                     0.087723298
                     2.4                    0.0012415499
                     2.5                     0.057192898
                     2.6                      0.03814915
                     2.7                     0.019551897

        Frequency / GHz                c3=6/real
----------------------------------------------------------------------
                    0.69                      0.81958348
                    0.78                      0.23352495
                    0.87                      0.16570828
                    0.96                      0.39838542
                     1.7                     0.055041981
                     1.8                     0.021798246
                     1.9                     0.043382125
                       2                      0.11808353
                     2.1                      0.10475447
                     2.2                      0.11713573
                     2.3                     0.087376177
                     2.4                    0.0015856631
                     2.5                     0.056866255
                     2.6                     0.037894941
                     2.7                     0.019429361

        Frequency / GHz                c3=6.3/real
----------------------------------------------------------------------
                    0.69                       0.8189295
                    0.78                      0.22322591
                    0.87                         0.17131
                    0.96                      0.40153844
                     1.7                     0.057262441
                     1.8                     0.020801397
                     1.9                     0.047267767
                       2                      0.12346595
                     2.1                      0.10604123
                     2.2                      0.11714516
                     2.3                     0.087000179
                     2.4                    0.0019333972
                     2.5                     0.056563721
                     2.6                     0.037660765
                     2.7                     0.019316007

        Frequency / GHz                c3=6.6/real
----------------------------------------------------------------------
                    0.69                      0.81812431
                    0.78                      0.29711599
                    0.87                      0.17583355
                    0.96                      0.40431957
                     1.7                     0.059220345
                     1.8                     0.019993647
                     1.9                     0.050827639
                       2                      0.12800888
                     2.1                      0.10698718
                     2.2                      0.11704152
                     2.3                     0.086609872
                     2.4                    0.0022701507
                     2.5                     0.056283622
                     2.6                     0.037444749
                     2.7                     0.019211003

        Frequency / GHz                c3=6.9/real
----------------------------------------------------------------------
                    0.69                      0.81711624
                    0.78                      0.38406246
                    0.87                      0.17954591
                    0.96                      0.40678739
                     1.7                     0.060941688
                     1.8                     0.019387188
                     1.9                     0.054069871
                       2                       0.1318318
                     2.1                      0.10767097
                     2.2                      0.11685925
                     2.3                     0.086215138
                     2.4                    0.0025887053
                     2.5                     0.056024227
                     2.6                     0.037245136
                     2.7                     0.019113576

        Frequency / GHz                c3=7.2/real
----------------------------------------------------------------------
                    0.69                      0.81582919
                    0.78                      0.43670834
                    0.87                      0.18263672
                    0.96                      0.40898926
                     1.7                     0.062451967
                     1.8                      0.01898325
                     1.9                     0.057011372
                       2                      0.13504372
                     2.1                      0.10815308
                     2.2                      0.11662324
                     2.3                     0.085822782
                     2.4                     0.002886079
                     2.5                     0.055783752
                     2.6                      0.03706033
                     2.7                     0.019023037

        Frequency / GHz                c3=7.5/real
----------------------------------------------------------------------
                    0.69                      0.81414807
                    0.78                      0.46326321
                    0.87                      0.18524311
                    0.96                      0.41096388
                     1.7                     0.063775272
                     1.8                     0.018773225
                     1.9                     0.059673694
                       2                      0.13774041
                     2.1                      0.10847983
                     2.2                      0.11635138
                     2.3                     0.085437225
                     2.4                    0.0031616276
                     2.5                      0.05556055
                     2.6                     0.036888896
                     2.7                     0.018938733

        Frequency / GHz                c3=7.8/real
----------------------------------------------------------------------
                    0.69                      0.81189192
                    0.78                      0.47640383
                    0.87                      0.18746601
                    0.96                      0.41274298
                     1.7                      0.06493378
                     1.8                      0.01874073
                     1.9                     0.062080455
                       2                       0.1400044
                     2.1                      0.10868676
                     2.2                      0.11605668
                     2.3                     0.085061412
                     2.4                    0.0034159528
                     2.5                     0.055353015
                     2.6                     0.036729551
                     2.7                     0.018860109

        Frequency / GHz                c3=8.1/real
----------------------------------------------------------------------
                    0.69                      0.80876436
                    0.78                      0.48300789
                    0.87                      0.18938114
                    0.96                      0.41435289
                     1.7                       0.0659476
                     1.8                     0.018864175
                     1.9                     0.064255475
                       2                      0.14190561
                     2.1                      0.10880129
                     2.2                      0.11574857
                     2.3                     0.084697186
                     2.4                    0.0036502883
                     2.5                     0.055159764
                     2.6                     0.036581128
                     2.7                     0.018786637

        Frequency / GHz                c3=8.4/real
----------------------------------------------------------------------
                    0.69                      0.80425535
                    0.78                      0.48634216
                    0.87                      0.19104601
                    0.96                      0.41581557
                     1.7                     0.066834566
                     1.8                     0.019119258
                     1.9                     0.066221713
                       2                      0.14350284
                     2.1                       0.1088445
                     2.2                      0.11543387
                     2.3                     0.084345612
                     2.4                    0.0038661351
                     2.5                     0.054979494
                     2.6                     0.036442625
                     2.7                     0.018717863

        Frequency / GHz                c3=8.7/real
----------------------------------------------------------------------
                    0.69                      0.79743798
                    0.78                      0.48797275
                    0.87                       0.1925051
                    0.96                       0.4171495
                     1.7                     0.067610633
                     1.8                       0.0194811
                     1.9                     0.068000673
                       2                      0.14484521
                     2.1                      0.10883279
                     2.2                      0.11511744
                     2.3                     0.084007224
                     2.4                    0.0040650664
                     2.5                     0.054811056
                     2.6                     0.036313123
                     2.7                     0.018653371

        Frequency / GHz                c3=9/real
----------------------------------------------------------------------
                    0.69                      0.78652468
                    0.78                      0.48868294
                    0.87                      0.19379312
                    0.96                      0.41837024
                     1.7                     0.068289718
                     1.8                     0.019925974
                     1.9                     0.069612059
                       2                       0.1459737
                     2.1                      0.10877888
                     2.2                      0.11480288
                     2.3                     0.083682198
                     2.4                    0.0042486126
                     2.5                     0.054653371
                     2.6                      0.03619181
                     2.7                     0.018592792

        Frequency / GHz                c3=9.3/real
