        Frequency / GHz                c1=0.6/real
        Frequency / GHz                c1=4.8/real
----------------------------------------------------------------------
                    0.69                      0.51645309
                    0.78                      0.63990867
                    0.87                      0.57335215
                    0.96                      0.20352375
                     1.7                    0.0020453053
                     1.8                      0.04702555
                     1.9                   0.00048983441
                       2                     0.047100652
                     2.1                     0.053174524
                     2.2                     0.053089997
                     2.3                     0.060827675
                     2.4                     0.038083185
                     2.5                     0.039112848
                     2.6                     0.024368409
                     2.7                    0.0081179718

        Frequency / GHz                c1=5.1/real
----------------------------------------------------------------------
                    0.69                      0.43077081
                    0.78                      0.66781886
                    0.87                      0.57194654
                    0.96                      0.20520314
                     1.7                    0.0023697445
                     1.8                     0.047921702
                     1.9                    0.0010527165
                       2                     0.049150534
                     2.1                     0.054173169
                     2.2                     0.053168168
                     2.3                     0.060935065
                     2.4                     0.037813549
                     2.5                     0.038709475
                     2.6                     0.024077372
                     2.7                    0.0079755794

        Frequency / GHz                c1=5.4/real
----------------------------------------------------------------------
                    0.69                      0.34990188
                    0.78                      0.68826424
                    0.87                       0.5701624
                    0.96                      0.20664573
                     1.7                    0.0026914761
                     1.8                     0.048867546
                     1.9                     0.001870257
                       2                     0.050773756
                     2.1                     0.054929375
                     2.2                     0.053148697
                     2.3                     0.060976937
                     2.4                        0.037561
                     2.5                     0.038347572
                     2.6                     0.023818467
                     2.7                    0.0078504209

        Frequency / GHz                c1=5.7/real
----------------------------------------------------------------------
                    0.69                      0.30652134
                    0.78                      0.70322164
                    0.87                      0.56814149
                    0.96                      0.20788819
                     1.7                    0.0030069562
                     1.8                     0.049855128
                     1.9                    0.0028153483
                       2                     0.052059566
                     2.1                     0.055496626
                     2.2                     0.053066793
                     2.3                     0.060974208
                     2.4                     0.037325789
                     2.5                     0.038021659
                     2.6                     0.023586899
                     2.7                    0.0077396508

        Frequency / GHz                c1=6/real
----------------------------------------------------------------------
                    0.69                      0.32536452
                    0.78                      0.71418158
                    0.87                      0.56598339
                    0.96                      0.20896102
                     1.7                    0.0033137644
                     1.8                     0.050873086
                     1.9                    0.0038006286
                       2                     0.053080159
                     2.1                     0.055917011
                     2.2                     0.052945787
                     2.3                     0.060941207
                     2.4                     0.037107356
                     2.5                     0.037727034
                     2.6                     0.023378737
                     2.7                    0.0076409962

