        Frequency / MHz                S1,1/abs,dB
                    1083                      -5.7877045
                  1085.1                      -5.7438378
                  1087.2                      -5.7004209
                  1089.3                      -5.6574638
                  1091.4                      -5.6149734
                  1093.5                      -5.5729586
                  1095.6                      -5.5314239
                  1097.7                      -5.4903755
                  1099.8                      -5.4498171
                  1101.9                      -5.4097551
                    1104                      -5.3701888
                  1106.1                      -5.3311221
                  1108.2                      -5.2925582
                  1110.3                       -5.254498
                  1112.4                      -5.2169394
                  1114.5                      -5.1798825
                  1116.6                      -5.1433302
                  1118.7                      -5.1072789
                  1120.8                      -5.0717251
                  1122.9                       -5.036671
                    1125                      -5.0021104
                  1127.1                      -4.9680457
                  1129.2                      -4.9344705
                  1131.3                      -4.9013819
                  1133.4                      -4.8687806
                  1135.5                      -4.8366573
                  1137.6                      -4.8050132
                  1139.7                      -4.7738432
                  1141.8                      -4.7431427
                  1143.9                        -4.71291
                    1146                      -4.6831389
                  1148.1                       -4.653826
                  1150.2                      -4.6249718
                  1152.3                      -4.5965664
                  1154.4                      -4.5686084
                  1156.5                      -4.5410954
                  1158.6                      -4.5140214
                  1160.7                      -4.4873852
                  1162.8                      -4.4611807
                  1164.9                      -4.4354073
                    1167                      -4.4100589
                  1169.1                      -4.3851345
                  1171.2                      -4.3606261
                  1173.3                      -4.3365393
                  1175.4                      -4.3128625
                  1177.5                      -4.2895983
                  1179.6                      -4.2667415
                  1181.7                      -4.2442897
                  1183.8                      -4.2222437
                  1185.9                      -4.2005953
                    1188                      -4.1793449
                  1190.1                      -4.1584891
                  1192.2                      -4.1380313
                  1194.3                      -4.1179621
                  1196.4                       -4.098283
                  1198.5                      -4.0789914
                  1200.6                      -4.0600871
                  1202.7                      -4.0415661
                  1204.8                      -4.0234276
                  1206.9                      -4.0056709
                    1209                      -3.9882922
                  1211.1                      -3.9712931
                  1213.2                      -3.9546702
                  1215.3                      -3.9384219
                  1217.4                      -3.9225479
                  1219.5                      -3.9070451
                  1221.6                      -3.8919132
                  1223.7                      -3.8771505
                  1225.8                       -3.862756
                  1227.9                      -3.8487277
                    1230                      -3.8350646
                  1232.1                       -3.821765
                  1234.2                      -3.8088278
                  1236.3                      -3.7962513
                  1238.4                      -3.7840325
                  1240.5                      -3.7721725
                  1242.6                      -3.7606685
                  1244.7                      -3.7495179
                  1246.8                      -3.7387189
                  1248.9                      -3.7282716
                    1251                      -3.7181731
                  1253.1                      -3.7084212
                  1255.2                      -3.6990137
                  1257.3                      -3.6899507
                  1259.4                      -3.6812273
                  1261.5                      -3.6728431
                  1263.6                      -3.6647949
                  1265.7                      -3.6570819
                  1267.8                      -3.6497001
                  1269.9                      -3.6426479
                    1272                      -3.6359237
                  1274.1                      -3.6295231
                  1276.2                      -3.6234466
                  1278.3                       -3.617689
                  1280.4                       -3.612249
                  1282.5                      -3.6071239
                  1284.6                      -3.6023107
                  1286.7                      -3.5978072
                  1288.8                        -3.59361
                  1290.9                       -3.589717
                    1293                      -3.5861243
                  1295.1                      -3.5828309
                  1297.2                      -3.5798338
                  1299.3                      -3.5771298
                  1301.4                      -3.5747169
                  1303.5                      -3.5725908
                  1305.6                      -3.5707489
                  1307.7                      -3.5691916
                  1309.8                       -3.567913
                  1311.9                      -3.5669121
                    1314                      -3.5661854
                  1316.1                      -3.5657309
                  1318.2                      -3.5655463
                  1320.3                      -3.5656289
                  1322.4                      -3.5659768
                  1324.5                      -3.5665875
                  1326.6                      -3.5674582
                  1328.7                       -3.568588
                  1330.8                      -3.5699731
                  1332.9                      -3.5716139
                    1335                      -3.5735066
                  1337.1                      -3.5756503
                  1339.2                       -3.578042
                  1341.3                      -3.5806825
                  1343.4                      -3.5835678
                  1345.5                      -3.5866979
                  1347.6                      -3.5900718
                  1349.7                       -3.593688
                  1351.8                      -3.5975439
                  1353.9                      -3.6016408
                    1356                      -3.6059759
                  1358.1                      -3.6105497
                  1360.2                      -3.6153611
                  1362.3                      -3.6204091
                  1364.4                      -3.6256939
                  1366.5                      -3.6312149
                  1368.6                      -3.6369717
                  1370.7                      -3.6429639
                  1372.8                      -3.6491919
                  1374.9                      -3.6556549
                    1377                      -3.6623547
                  1379.1                      -3.6692893
                  1381.2                      -3.6764597
                  1383.3                      -3.6838677
                  1385.4                      -3.6915118
                  1387.5                      -3.6993925
                  1389.6                      -3.7075117
                  1391.7                      -3.7158679
                  1393.8                      -3.7244641
                  1395.9                      -3.7332992
                    1398                      -3.7423745
                  1400.1                      -3.7516906
                  1402.2                      -3.7612488
                  1404.3                      -3.7710488
                  1406.4                      -3.7810916
                  1408.5                      -3.7913782
                  1410.6                       -3.801909
                  1412.7                      -3.8126849
                  1414.8                      -3.8237071
                  1416.9                      -3.8349759
                    1419                      -3.8464916
                  1421.1                      -3.8582551
