        Frequency / MHz                Csh2=0.3/real
                    2650                    0.0041677634

        Frequency / MHz                Csh2=2.3/real
----------------------------------------------------------------------
                     650                      0.89406211
                     750                      0.56579389
                     850                      0.46542872
                     950                      0.45012944
                    1050                      0.33201991
                    1150                      0.16060146
                    1250                     0.030168382
                    1350                    0.0019404538
                    1450                     0.026500265
                    1550                     0.010496423
                    1650                     0.010505539
                    1750                     0.022038302
                    1850                    0.0068643884
                    1950                    0.0023147551
                    2050                     0.013596499
                    2150                     0.026260585
                    2250                     0.029834144
                    2350                     0.027065925
                    2450                     0.017980068
                    2550                    0.0072526629
                    2650                      0.00557341

        Frequency / MHz                Csh2=2.5/real
----------------------------------------------------------------------
                     650                      0.89384116
                     750                       0.5468912
                     850                      0.48217196
                     950                      0.45483289
                    1050                      0.33154916
                    1150                      0.15679547
                    1250                     0.026690472
                    1350                    0.0034354477
                    1450                      0.02971342
                    1550                    0.0084779978
                    1650                     0.012261525
                    1750                     0.023790977
                    1850                    0.0076020573
                    1950                    0.0032691028
                    2050                     0.017835217
                    2150                     0.031719934
                    2250                     0.034466484
                    2350                     0.030184709
                    2450                     0.019650581
                    2550                    0.0083586729
                    2650                    0.0069119774

        Frequency / MHz                Csh2=2.7/real
----------------------------------------------------------------------
                     650                       0.8934947
                     750                      0.53652834
                     850                      0.49623078
                     950                       0.4588626
                    1050                      0.33094812
                    1150                      0.15306393
                    1250                     0.023429079
                    1350                    0.0053792927
                    1450                     0.033000329
                    1550                    0.0066563444
                    1650                     0.014178088
                    1750                     0.025403202
                    1850                    0.0083100089
                    1950                    0.0043642185
                    2050                     0.022359229
                    2150                      0.03705737
                    2250                     0.038655039
                    2350                     0.032801824
                    2450                     0.021004087
                    2550                     0.009335722
                    2650                    0.0081461015

