        Frequency                Csh2=0.3/abs,dB
                  1080.9                      -3.0534405
                    1083                      -3.0319341
                  1085.1                      -3.0109423
                  1087.2                      -2.9904586
                  1089.3                      -2.9704678
                  1091.4                      -2.9509587
                  1093.5                      -2.9319183
                  1095.6                      -2.9133373
                  1097.7                      -2.8952016
                  1099.8                       -2.877505
                  1101.9                      -2.8602339
                    1104                        -2.84338
                  1106.1                      -2.8269347
                  1108.2                      -2.8108891
                  1110.3                       -2.795236
                  1112.4                      -2.7799651
                  1114.5                      -2.7650695
                  1116.6                      -2.7505416
                  1118.7                      -2.7363743
                  1120.8                      -2.7225615
                  1122.9                      -2.7090963
                    1125                      -2.6959713
                  1127.1                      -2.6831835
                  1129.2                      -2.6707228
                  1131.3                      -2.6585866
                  1133.4                      -2.6467696
                  1135.5                      -2.6352656
                  1137.6                      -2.6240712
                  1139.7                      -2.6131802
                  1141.8                      -2.6025878
                  1143.9                      -2.5922928
                    1146                      -2.5822883
                  1148.1                      -2.5725707
                  1150.2                      -2.5631366
                  1152.3                      -2.5539829
                  1154.4                      -2.5451059
                  1156.5                      -2.5365016
                  1158.6                      -2.5281667
                  1160.7                      -2.5200994
                  1162.8                      -2.5122935
                  1164.9                      -2.5047515
                    1167                      -2.4974667
                  1169.1                      -2.4904373
                  1171.2                      -2.4836591
                  1173.3                      -2.4771337
                  1175.4                      -2.4708548
                  1177.5                      -2.4648216
                  1179.6                       -2.459033
                  1181.7                      -2.4534842
                  1183.8                      -2.4481738
                  1185.9                      -2.4431007
                    1188                       -2.438263
                  1190.1                      -2.4336567
                  1192.2                      -2.4292834
                  1194.3                      -2.4251374
                  1196.4                      -2.4212181
                  1198.5                      -2.4175247
                  1200.6                      -2.4140547
                  1202.7                       -2.410806
                  1204.8                      -2.4077769
                  1206.9                       -2.404965
                    1209                      -2.4023702
                  1211.1                      -2.3999893
                  1213.2                      -2.3978224
                  1215.3                      -2.3958662
                  1217.4                      -2.3941197
                  1219.5                      -2.3925813
                  1221.6                      -2.3912489
                  1223.7                      -2.3901227
                  1225.8                       -2.389198
                  1227.9                       -2.388476
                    1230                      -2.3879539
                  1232.1                      -2.3876308
                  1234.2                      -2.3875043
                  1236.3                      -2.3875737
                  1238.4                      -2.3878363
                  1240.5                      -2.3882932
                  1242.6                      -2.3889397
                  1244.7                      -2.3897767
                  1246.8                      -2.3908021
                  1248.9                      -2.3920142
                    1251                      -2.3934116
                  1253.1                      -2.3949936
                  1255.2                      -2.3967584
                  1257.3                      -2.3987047
                  1259.4                      -2.4008319
                  1261.5                      -2.4031375
                  1263.6                      -2.4056208
                  1265.7                       -2.408281
                  1267.8                      -2.4111175
                  1269.9                      -2.4141271
                    1272                      -2.4173106
                  1274.1                      -2.4206666
