Frequency,MaxSar
0.69,0.136604
0.78,0.158839
0.87,0.614622
0.96,0.168495
1.7,0.352287
1.8,0.700425
1.9,0.224672
2.0,0.0636458
2.1,0.0886378
2.2,0.206597
2.3,0.648254
2.4,0.145024
2.5,0.187988
2.6,0.206199
2.7,0.187112
