# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S11[dB]	Trc3_S22[dB]	Trc4_S21[dB]	
7.625000000000000E+008	-1.425129248191280E+000	-1.425129248191280E+000	-2.475529152514156E+000	-1.778169781163965E+001	
7.656250000000000E+008	-1.447041966917303E+000	-1.447041966917303E+000	-2.496526284235251E+000	-1.755582354117992E+001	
7.687500000000000E+008	-1.475460316562697E+000	-1.475460316562697E+000	-2.510085708428416E+000	-1.740059245013683E+001	
7.718750000000000E+008	-1.511663766647272E+000	-1.511663766647272E+000	-2.520485406420582E+000	-1.727606201096004E+001	
7.750000000000000E+008	-1.590934856511725E+000	-1.590934856511725E+000	-2.566684995742256E+000	-1.707151632189826E+001	
7.781250000000000E+008	-1.676174086951187E+000	-1.676174086951187E+000	-2.632566062188691E+000	-1.675331774709680E+001	
7.812500000000000E+008	-1.735346881770408E+000	-1.735346881770408E+000	-2.653442139685117E+000	-1.649339325847451E+001	
7.843750000000000E+008	-1.790070313194256E+000	-1.790070313194256E+000	-2.681900038584288E+000	-1.626184513410003E+001	
7.875000000000000E+008	-1.878462409618770E+000	-1.878462409618770E+000	-2.760214138216227E+000	-1.601953714633629E+001	
7.906250000000000E+008	-2.005969142787415E+000	-2.005969142787415E+000	-2.892752938583327E+000	-1.577927351779286E+001	
7.937500000000000E+008	-2.147737025945711E+000	-2.147737025945711E+000	-3.004302247517747E+000	-1.546155412979049E+001	
7.968750000000000E+008	-2.298937397657799E+000	-2.298937397657799E+000	-3.088189372143339E+000	-1.510118525994278E+001	
8.000000000000000E+008	-2.424600997295189E+000	-2.424600997295189E+000	-3.153272948426202E+000	-1.479605717759207E+001	
8.031250000000000E+008	-2.574440911976210E+000	-2.574440911976210E+000	-3.218563126100401E+000	-1.449349872335807E+001	
8.062500000000000E+008	-2.715189270430381E+000	-2.715189270430381E+000	-3.314641725885260E+000	-1.426151903914260E+001	
8.093750000000000E+008	-2.881804049010704E+000	-2.881804049010704E+000	-3.438625921315448E+000	-1.397429593567232E+001	
8.125000000000000E+008	-3.069011023481052E+000	-3.069011023481052E+000	-3.563443729444576E+000	-1.373905293240970E+001	
8.156250000000000E+008	-3.288004873745865E+000	-3.288004873745865E+000	-3.741317501948078E+000	-1.352392686573728E+001	
8.187500000000000E+008	-3.550730288294001E+000	-3.550730288294001E+000	-3.930627535117687E+000	-1.323181090165263E+001	
8.218750000000000E+008	-3.834654841384317E+000	-3.834654841384317E+000	-4.077496271708720E+000	-1.286088421259579E+001	
8.250000000000000E+008	-4.104331241787653E+000	-4.104331241787653E+000	-4.193941115818908E+000	-1.246476271235262E+001	
8.281250000000000E+008	-4.359830664366768E+000	-4.359830664366768E+000	-4.324251661247577E+000	-1.213839665471705E+001	
8.312500000000000E+008	-4.619039150753252E+000	-4.619039150753252E+000	-4.454339220708027E+000	-1.183105970611315E+001	
8.343750000000000E+008	-4.938238938087667E+000	-4.938238938087667E+000	-4.600452841651449E+000	-1.153601718846521E+001	
8.375000000000000E+008	-5.208957259238390E+000	-5.208957259238390E+000	-4.767569014956832E+000	-1.120922530292431E+001	
8.406250000000000E+008	-5.403074923848156E+000	-5.403074923848156E+000	-4.965727511382913E+000	-1.101710919592857E+001	
8.437500000000000E+008	-5.602601182614738E+000	-5.602601182614738E+000	-5.244818749279419E+000	-1.086743594655401E+001	
8.468750000000000E+008	-5.879826845527782E+000	-5.879826845527782E+000	-5.536062405381222E+000	-1.068161989668305E+001	
8.500000000000000E+008	-6.202028994549264E+000	-6.202028994549264E+000	-5.830986729954776E+000	-1.052825983839618E+001	
8.531250000000000E+008	-6.649039620013725E+000	-6.649039620013725E+000	-6.181605800530791E+000	-1.037900057399569E+001	
8.562500000000000E+008	-7.254665167119814E+000	-7.254665167119814E+000	-6.636196466022841E+000	-1.016574075786685E+001	
8.593750000000000E+008	-7.975245742956376E+000	-7.975245742956376E+000	-7.159541473264678E+000	-9.927215333789530E+000	
8.625000000000000E+008	-8.730944296177738E+000	-8.730944296177738E+000	-7.770316633695930E+000	-9.666266261899487E+000	
8.656250000000000E+008	-9.568098078813481E+000	-9.568098078813481E+000	-8.493330658911590E+000	-9.363752196501601E+000	
8.687500000000000E+008	-1.063773714763394E+001	-1.063773714763394E+001	-9.319106492367428E+000	-9.046922530565665E+000	
8.718750000000000E+008	-1.178990275888213E+001	-1.178990275888213E+001	-1.027494463557778E+001	-8.698326408533461E+000	
8.750000000000000E+008	-1.266756191351814E+001	-1.266756191351814E+001	-1.126295404599970E+001	-8.378829262856511E+000	
8.781250000000000E+008	-1.305379099922371E+001	-1.305379099922371E+001	-1.226716707763634E+001	-8.113433179565554E+000	
8.812500000000000E+008	-1.326749802733063E+001	-1.326749802733063E+001	-1.356898728288080E+001	-7.940923151217156E+000	
8.843750000000000E+008	-1.322010867696530E+001	-1.322010867696530E+001	-1.528353359800753E+001	-7.816333661644913E+000	
8.875000000000000E+008	-1.263184720309509E+001	-1.263184720309509E+001	-1.746553162898164E+001	-7.670248484096796E+000	
8.906250000000000E+008	-1.192021585975607E+001	-1.192021585975607E+001	-2.009179194466347E+001	-7.522314246957218E+000	
8.937500000000000E+008	-1.135285586208007E+001	-1.135285586208007E+001	-2.283113749957671E+001	-7.430081358977110E+000	
8.968750000000000E+008	-1.084853085807846E+001	-1.084853085807846E+001	-2.491582091687927E+001	-7.388111325464785E+000	
9.000000000000000E+008	-1.014094222379470E+001	-1.014094222379470E+001	-2.413553753306027E+001	-7.406538674182553E+000	
9.031250000000000E+008	-9.389888689207277E+000	-9.389888689207277E+000	-2.174786554590856E+001	-7.501041249049557E+000	
9.062500000000000E+008	-8.641580617465163E+000	-8.641580617465163E+000	-1.925338798057097E+001	-7.638047832442423E+000	
9.093750000000000E+008	-7.823822905356848E+000	-7.823822905356848E+000	-1.719899678899742E+001	-7.797319979856457E+000	
9.125000000000000E+008	-7.065059920498059E+000	-7.065059920498059E+000	-1.538985422940661E+001	-7.986761558979903E+000	
9.156250000000000E+008	-6.412947525097376E+000	-6.412947525097376E+000	-1.386177442817526E+001	-8.138547202404938E+000	
9.187500000000000E+008	-5.850094610826300E+000	-5.850094610826300E+000	-1.267354266663828E+001	-8.348454100936834E+000	
9.218750000000000E+008	-5.359704933102465E+000	-5.359704933102465E+000	-1.177664851912702E+001	-8.592863941674274E+000	
9.250000000000000E+008	-4.928843002992498E+000	-4.928843002992498E+000	-1.098407846259146E+001	-8.824330114797862E+000	
9.281250000000000E+008	-4.521753720187485E+000	-4.521753720187485E+000	-1.026015565250589E+001	-9.052150052448381E+000	
9.312500000000000E+008	-4.204801514962106E+000	-4.204801514962106E+000	-9.616432598824746E+000	-9.272704636559642E+000	
9.343750000000000E+008	-3.928174024708589E+000	-3.928174024708589E+000	-9.103154433685301E+000	-9.480688097554827E+000	
9.375000000000000E+008	-3.699937137596416E+000	-3.699937137596416E+000	-8.747949980651233E+000	-9.739256317017494E+000	
9.406250000000000E+008	-3.460144590556660E+000	-3.460144590556660E+000	-8.384185052566391E+000	-1.001842324179177E+001	
9.437500000000000E+008	-3.227301460661635E+000	-3.227301460661635E+000	-8.015279348188562E+000	-1.030379969363850E+001	
9.468750000000000E+008	-3.056551052756468E+000	-3.056551052756468E+000	-7.655906179785583E+000	-1.042001448007754E+001	
9.500000000000000E+008	-2.909738996553560E+000	-2.909738996553560E+000	-7.441582007289584E+000	-1.058269912874050E+001	
9.531250000000000E+008	-2.787150914390652E+000	-2.787150914390652E+000	-7.273386912240857E+000	-1.076503734834820E+001	
9.562500000000000E+008	-2.669262037112423E+000	-2.669262037112423E+000	-7.071404881319027E+000	-1.095861997260278E+001	
9.593750000000000E+008	-2.589165963682881E+000	-2.589165963682881E+000	-6.785541999861366E+000	-1.114530778116978E+001	
9.625000000000000E+008	-2.510622817986986E+000	-2.510622817986986E+000	-6.553152592644711E+000	-1.130349190662949E+001	
9.656250000000000E+008	-2.432048270893849E+000	-2.432048270893849E+000	-6.405736954497899E+000	-1.147483352281047E+001	
9.687500000000000E+008	-2.363349109086185E+000	-2.363349109086185E+000	-6.321820648085404E+000	-1.168887622593638E+001	
9.718750000000000E+008	-2.277040605654809E+000	-2.277040605654809E+000	-6.263682864255642E+000	-1.190624723221728E+001	
9.750000000000000E+008	-2.215526508744559E+000	-2.215526508744559E+000	-6.193794442127238E+000	-1.218816738905787E+001	
9.781250000000000E+008	-2.136390412018588E+000	-2.136390412018588E+000	-6.045984514444430E+000	-1.250331952644805E+001	
9.812500000000000E+008	-2.059046244762416E+000	-2.059046244762416E+000	-5.863807470682676E+000	-1.276476786464077E+001	
9.843750000000000E+008	-2.008165899945186E+000	-2.008165899945186E+000	-5.723951050815154E+000	-1.294422368624137E+001	
9.875000000000000E+008	-1.948407041807023E+000	-1.948407041807023E+000	-5.632137771463318E+000	-1.310885626806468E+001	
9.906250000000000E+008	-1.897436626415869E+000	-1.897436626415869E+000	-5.579755542282642E+000	-1.329347589664646E+001	
9.937500000000000E+008	-1.859393754415699E+000	-1.859393754415699E+000	-5.528130185791404E+000	-1.342167326273884E+001	
9.968750000000000E+008	-1.844386467013736E+000	-1.844386467013736E+000	-5.532486715998607E+000	-1.352341020106632E+001	
1.000000000000000E+009	-1.827556205740748E+000	-1.827556205740748E+000	-5.504190337124030E+000	-1.378086812147640E+001	
1.003125000000000E+009	-1.790888850351023E+000	-1.790888850351023E+000	-5.387450337917458E+000	-1.408594991986754E+001	
1.006250000000000E+009	-1.753161295454097E+000	-1.753161295454097E+000	-5.277873838992668E+000	-1.435983688084246E+001	
1.009375000000000E+009	-1.703261112316381E+000	-1.703261112316381E+000	-5.199548387181824E+000	-1.457940129991239E+001	
1.012500000000000E+009	-1.658491547506018E+000	-1.658491547506018E+000	-5.132764239692246E+000	-1.475641976785272E+001	
1.015625000000000E+009	-1.624856127595279E+000	-1.624856127595279E+000	-5.079574648567849E+000	-1.484662984098388E+001	
1.018750000000000E+009	-1.598504150816065E+000	-1.598504150816065E+000	-5.057922035832497E+000	-1.491324392654286E+001	
1.021875000000000E+009	-1.600528808523221E+000	-1.600528808523221E+000	-5.085915420270464E+000	-1.492614848708219E+001	
1.025000000000000E+009	-1.578645104007390E+000	-1.578645104007390E+000	-5.149646209887093E+000	-1.500662327405600E+001	
1.028125000000000E+009	-1.559625751410509E+000	-1.559625751410509E+000	-5.169428568439924E+000	-1.517881101825573E+001	
1.031250000000000E+009	-1.556022391702009E+000	-1.556022391702009E+000	-5.129995198093683E+000	-1.530256297002834E+001	
1.034375000000000E+009	-1.541602257640473E+000	-1.541602257640473E+000	-5.108944811028029E+000	-1.540684034768362E+001	
1.037500000000000E+009	-1.535049711043786E+000	-1.535049711043786E+000	-5.077684801761762E+000	-1.556350739063324E+001	
1.040625000000000E+009	-1.512104048796770E+000	-1.512104048796770E+000	-5.027284203391661E+000	-1.579689934563836E+001	
1.043750000000000E+009	-1.490012609715636E+000	-1.490012609715636E+000	-4.924247851821191E+000	-1.600745297860679E+001	
1.046875000000000E+009	-1.472277975705900E+000	-1.472277975705900E+000	-4.833715916686986E+000	-1.620426272966542E+001	
1.050000000000000E+009	-1.457796295349020E+000	-1.457796295349020E+000	-4.750827740576223E+000	-1.641417556220663E+001	
1.053125000000000E+009	-1.425975905760891E+000	-1.425975905760891E+000	-4.679984553239690E+000	-1.659741666132294E+001	
1.056250000000000E+009	-1.409228015699237E+000	-1.409228015699237E+000	-4.618943249891218E+000	-1.673612678410168E+001	
1.059375000000000E+009	-1.408624886410592E+000	-1.408624886410592E+000	-4.607032312075957E+000	-1.679398504589731E+001	
1.062500000000000E+009	-1.414505281285268E+000	-1.414505281285268E+000	-4.606400477150010E+000	-1.685874186158105E+001	
1.065625000000000E+009	-1.400550219634674E+000	-1.400550219634674E+000	-4.596556200561124E+000	-1.699742682207541E+001	
1.068750000000000E+009	-1.399966934011217E+000	-1.399966934011217E+000	-4.576134459353492E+000	-1.720762614758586E+001	
1.071875000000000E+009	-1.372728506488838E+000	-1.372728506488838E+000	-4.540670671711942E+000	-1.743394211308750E+001	
1.075000000000000E+009	-1.369678819461719E+000	-1.369678819461719E+000	-4.505483833193289E+000	-1.760368674268304E+001	
1.078125000000000E+009	-1.347269528333738E+000	-1.347269528333738E+000	-4.454759082550452E+000	-1.775296191267686E+001	
1.081250000000000E+009	-1.326700869222433E+000	-1.326700869222433E+000	-4.408688357098163E+000	-1.789044211614306E+001	
1.084375000000000E+009	-1.316872103528742E+000	-1.316872103528742E+000	-4.373522977052520E+000	-1.792133137578352E+001	
1.087500000000000E+009	-1.319462439415058E+000	-1.319462439415058E+000	-4.358764002894218E+000	-1.796922137723488E+001	
1.090625000000000E+009	-1.300201090613832E+000	-1.300201090613832E+000	-4.343266643435742E+000	-1.807263584016322E+001	
1.093750000000000E+009	-1.290059898032128E+000	-1.290059898032128E+000	-4.292088564033175E+000	-1.825617921097346E+001	
1.096875000000000E+009	-1.280510418448982E+000	-1.280510418448982E+000	-4.205615396682796E+000	-1.852248112845934E+001	
1.100000000000000E+009	-1.255266043607158E+000	-1.255266043607158E+000	-4.134227955150199E+000	-1.861513889767270E+001	
1.103125000000000E+009	-1.257072465047232E+000	-1.257072465047232E+000	-4.111219503670849E+000	-1.858185842177788E+001	
1.106250000000000E+009	-1.256766708149557E+000	-1.256766708149557E+000	-4.101403028933262E+000	-1.857109621923186E+001	
1.109375000000000E+009	-1.251223924353895E+000	-1.251223924353895E+000	-4.086733262637612E+000	-1.858887197788839E+001	
1.112500000000000E+009	-1.231408750235301E+000	-1.231408750235301E+000	-4.086536150678187E+000	-1.865252035460214E+001	
1.115625000000000E+009	-1.212541703264610E+000	-1.212541703264610E+000	-4.099281191938617E+000	-1.875705581666770E+001	
1.118750000000000E+009	-1.180877059628290E+000	-1.180877059628290E+000	-4.106625147973699E+000	-1.891371556480759E+001	
1.121875000000000E+009	-1.161725879129403E+000	-1.161725879129403E+000	-4.089625076740007E+000	-1.904572021940368E+001	
1.125000000000000E+009	-1.127013160165579E+000	-1.127013160165579E+000	-4.037014224065763E+000	-1.915781964209415E+001	
1.128125000000000E+009	-1.116577326492869E+000	-1.116577326492869E+000	-3.969962961377131E+000	-1.931213306412060E+001	
1.131250000000000E+009	-1.108203603649530E+000	-1.108203603649530E+000	-3.903018726869841E+000	-1.950141761038854E+001	
1.134375000000000E+009	-1.094963809273513E+000	-1.094963809273513E+000	-3.851741033990097E+000	-1.964041600898784E+001	
1.137500000000000E+009	-1.090998057067059E+000	-1.090998057067059E+000	-3.815911464053403E+000	-1.974055516797721E+001	
1.140625000000000E+009	-1.083450184950688E+000	-1.083450184950688E+000	-3.731239157856972E+000	-1.990141418631479E+001	
1.143750000000000E+009	-1.084410382051681E+000	-1.084410382051681E+000	-3.639685102877779E+000	-2.008921252608782E+001	
1.146875000000000E+009	-1.072026288929984E+000	-1.072026288929984E+000	-3.571202701404098E+000	-2.020793105409699E+001	
1.150000000000000E+009	-1.074687428560272E+000	-1.074687428560272E+000	-3.531241854101406E+000	-2.023901505473300E+001	
1.153125000000000E+009	-1.062557347442603E+000	-1.062557347442603E+000	-3.523685035336861E+000	-2.025637056749387E+001	
1.156250000000000E+009	-1.069035146496885E+000	-1.069035146496885E+000	-3.544958073224204E+000	-2.032534167848512E+001	
1.159375000000000E+009	-1.068751867963043E+000	-1.068751867963043E+000	-3.540327516807524E+000	-2.040334751387456E+001	
1.162500000000000E+009	-1.053680629616231E+000	-1.053680629616231E+000	-3.541097406056089E+000	-2.053348320316460E+001	
1.165625000000000E+009	-1.044259490449037E+000	-1.044259490449037E+000	-3.524950691504602E+000	-2.064471400757597E+001	
1.168750000000000E+009	-1.042780030764477E+000	-1.042780030764477E+000	-3.540028553107526E+000	-2.069561412710681E+001	
1.171875000000000E+009	-1.031160689081345E+000	-1.031160689081345E+000	-3.528600567098435E+000	-2.077085100458703E+001	
1.175000000000000E+009	-1.025537196114864E+000	-1.025537196114864E+000	-3.506748122146286E+000	-2.084517217366785E+001	
1.178125000000000E+009	-9.994479522233291E-001	-9.994479522233291E-001	-3.511956182307939E+000	-2.087566609933527E+001	
1.181250000000000E+009	-1.001951689613565E+000	-1.001951689613565E+000	-3.495697131350676E+000	-2.098411577205464E+001	
1.184375000000000E+009	-9.988586882019683E-001	-9.988586882019683E-001	-3.442396672468800E+000	-2.114666996161614E+001	
1.187500000000000E+009	-9.912593784530216E-001	-9.912593784530216E-001	-3.373344105568586E+000	-2.137561679808272E+001	
1.190625000000000E+009	-9.684391553349105E-001	-9.684391553349105E-001	-3.342130874737303E+000	-2.151682827641496E+001	
1.193750000000000E+009	-9.588626239968320E-001	-9.588626239968320E-001	-3.345118410476970E+000	-2.155375441735274E+001	
1.196875000000000E+009	-9.573624244777986E-001	-9.573624244777986E-001	-3.385212759214776E+000	-2.155168725646394E+001	
1.200000000000000E+009	-9.529964499981598E-001	-9.529964499981598E-001	-3.412056814562825E+000	-2.159617804141223E+001	
1.203125000000000E+009	-9.501333499628557E-001	-9.501333499628557E-001	-3.422799421458494E+000	-2.170996400011333E+001	
1.206250000000000E+009	-9.451730354625488E-001	-9.451730354625488E-001	-3.381603751943679E+000	-2.188356426532187E+001	
1.209375000000000E+009	-9.460013715709882E-001	-9.460013715709882E-001	-3.342615692893311E+000	-2.202817493617589E+001	
1.212500000000000E+009	-9.427262914752828E-001	-9.427262914752828E-001	-3.303885141915603E+000	-2.218055844079621E+001	
