        Frequency / MHz                S1,1 (31765)/abs,linear
                  1047.4                      0.67556782
                    1050                      0.66026777
                  1052.6                      0.64670198
                  1055.2                      0.63508698
                  1057.8                      0.62543658
                  1060.4                      0.61765904
                    1063                      0.61160541
                  1065.6                      0.60708149
                  1068.2                      0.60385781
                  1070.8                      0.60169693
                  1073.4                      0.60039496
                    1076                      0.59981059
                  1078.6                      0.59986393
                  1081.2                      0.60050241
                  1083.8                      0.60165999
                  1086.4                      0.60323792
                    1089                      0.60511971
                  1091.6                      0.60720966
                  1094.2                      0.60946621
                  1096.8                      0.61190066
                  1099.4                       0.6145441
                    1102                      0.61740142
                  1104.6                      0.62042808
                  1107.2                       0.6235432
                  1109.8                      0.62667222
                  1112.4                       0.6297894
                    1115                      0.63292707
                  1117.6                      0.63614465
                  1120.2                      0.63947723
                  1122.8                      0.64290131
                  1125.4                      0.64634056
                    1128                      0.64971046
                  1130.6                      0.65297148
                  1133.2                      0.65615211
                  1135.8                      0.65932367
                  1138.4                      0.66254299
                    1141                      0.66580119
                  1143.6                      0.66901591
                  1146.2                      0.67207509
                  1148.8                      0.67490283
                  1151.4                      0.67750193
                    1154                      0.67993885
                  1156.6                       0.6822803
                  1159.2                      0.68451854
                  1161.8                      0.68653883
                  1164.4                      0.68815655
                    1167                      0.68919859
                  1169.6                      0.68957351
                  1172.2                      0.68927523
                  1174.8                      0.68830726
                  1177.4                      0.68657103
                    1180                      0.68379663
                  1182.6                      0.67958281
                  1185.2                      0.67355706
                  1187.8                      0.66560136
                  1190.4                      0.65605428
                    1193                       0.6458365
                  1195.6                      0.63645002
                  1198.2                      0.62979819
                  1200.8                      0.62777253
                  1203.4                       0.6316162
                    1206                      0.64132342
                  1208.6                      0.65551517
                  1211.2                      0.67198512
                  1213.8                      0.68858756
                  1216.4                      0.70390812
                    1219                       0.7174097
                  1221.6                      0.72917458
                  1224.2                       0.7395301
                  1226.8                      0.74876782
                  1229.4                      0.75704141
                    1232                      0.76440604
                  1234.6                      0.77091513
                  1237.2                      0.77668434
                  1239.8                      0.78188723
                  1242.4                      0.78670026
                    1245                      0.79124265
                  1247.6                      0.79555263
                  1250.2                      0.79961243
                  1252.8                      0.80339667
                  1255.4                      0.80691441
                    1258                      0.81021737
                  1260.6                       0.8133766
                  1263.2                      0.81644628
                  1265.8                         0.81944
                  1268.4                      0.82233523
                    1271                      0.82509862
                  1273.6                      0.82771268
                  1276.2                       0.8301895
                  1278.8                      0.83256139
                  1281.4                      0.83485989
                    1284                      0.83709772
                  1286.6                       0.8392658
                  1289.2                      0.84134652
                  1291.8                      0.84333132
                  1294.4                      0.84523178
                    1297                       0.8470763
                  1299.6                       0.8488949
                  1302.2                      0.85070415
                  1304.8                      0.85249966
                  1307.4                      0.85426231
                    1310                      0.85597199
                  1312.6                       0.8576209
                  1315.2                      0.85921693
                  1317.8                      0.86077697
                  1320.4                      0.86231485
                    1323                      0.86383226
                  1325.6                      0.86531863
                  1328.2                      0.86675894
                  1330.8                        0.868144
                  1333.4                      0.86947634
                    1336                      0.87076793
                  1338.6                      0.87203224
                  1341.2                      0.87327548
                  1343.8                      0.87449363
                  1346.4                      0.87567577
                    1349                      0.87681232
                  1351.6                      0.87790084
                  1354.2                       0.8789481
                  1356.8                      0.87996478
                  1359.4                      0.88095896
                    1362                      0.88193089
                  1364.6                      0.88287391
                  1367.2                      0.88377888
                  1369.8                      0.88464059
                  1372.4                      0.88546092
                    1375                      0.88624714
                  1377.6                      0.88700684
                  1380.2                      0.88774315
                  1382.8                      0.88845265
                  1385.4                      0.88912783
                    1388                      0.88976184
                  1390.6                       0.8903524
                  1393.2                      0.89090266
                  1395.8                      0.89141824
                  1398.4                      0.89190262
                    1401                      0.89235432
                  1403.6                      0.89276682
                  1406.2                      0.89313175
                  1408.8                      0.89344287
                  1411.4                      0.89369847
                    1414                      0.89390065
                  1416.6                      0.89405209
                  1419.2                      0.89415307
                  1421.8                      0.89420076
                  1424.4                      0.89419175
                    1427                      0.89412721
                  1429.6                      0.89401804
                  1432.2                      0.89388648
                  1434.8                      0.89376369
                  1437.4                      0.89368286
                    1440                      0.89367138
                  1442.6                        0.893745
                  1445.2                      0.89390583
                  1447.8                       0.8941442
                  1450.4                      0.89444262
                    1453                      0.89477942
                  1455.6                      0.89513197
                  1458.2                       0.8954787
                  1460.8                      0.89580126
                  1463.4                       0.8960864
                    1466                      0.89632691
                  1468.6                      0.89652134
                  1471.2                      0.89667221
                  1473.8                      0.89678358
                  1476.4                      0.89685871
                    1479                      0.89689903
                  1481.6                      0.89690469
                  1484.2                       0.8968759
                  1486.8                      0.89681417
                  1489.4                      0.89672252
                    1492                      0.89660492
                  1494.6                      0.89646479
                  1497.2                      0.89630381
                  1499.8                      0.89612209
                  1502.4                      0.89591859
                    1505                        0.895693
                  1507.6                      0.89544625
                  1510.2                      0.89518058
                  1512.8                       0.8948985
                  1515.4                      0.89460184
                    1518                      0.89429087
                  1520.6                      0.89396448
                  1523.2                      0.89362149
                  1525.8                      0.89326157
                  1528.4                       0.8928857
                    1531                      0.89249576
                  1533.6                       0.8920935
                  1536.2                      0.89167977
                  1538.8                      0.89125387
                  1541.4                      0.89081444
                    1544                      0.89036035
                  1546.6                      0.88989169
