        Frequency / MHz                S1,1 (31765)/abs,linear
                    2636                      0.95659439
                  2638.6                      0.95789354
                  2641.2                      0.95915756
                  2643.8                       0.9603866
                  2646.4                      0.96157977
                    2649                      0.96273534
                  2651.6                      0.96385129
                  2654.2                      0.96492613
                  2656.8                      0.96595966
                  2659.4                      0.96695291
                    2662                      0.96790735
                  2664.6                      0.96882436
                  2667.2                      0.96970472
                  2669.8                      0.97054909
                  2672.4                      0.97135875
                    2675                      0.97213622
                  2677.6                      0.97288548
                  2680.2                      0.97361118
                  2682.8                      0.97431793
                  2685.4                       0.9750093
                    2688                      0.97568774
                  2690.6                      0.97635475
                  2693.2                      0.97701149
                  2695.8                      0.97765897
                  2698.4                      0.97829806
                    2701                      0.97892891
                  2703.6                      0.97955084
                  2706.2                      0.98016225
                  2708.8                      0.98076112
                  2711.4                      0.98134566
                    2714                      0.98191473
                  2716.6                      0.98246788
                  2719.2                      0.98300503
                  2721.8                      0.98352595
                  2724.4                      0.98403012
                    2727                       0.9845168
                  2729.6                      0.98498534
                  2732.2                      0.98543556
                  2734.8                      0.98586779
                  2737.4                      0.98628257
                    2740                      0.98668044
                  2742.6                      0.98706154
                  2745.2                      0.98742568
                  2747.8                      0.98777268
                  2750.4                      0.98810244
                    2753                      0.98841524
                  2755.6                      0.98871156
                  2758.2                      0.98899191
                  2760.8                      0.98925658
                  2763.4                       0.9895057
                    2766                      0.98973933
                  2768.6                      0.98995777
                  2771.2                      0.99016172
                  2773.8                      0.99035221
                  2776.4                      0.99053057
                    2779                      0.99069814
                  2781.6                      0.99085623
                  2784.2                      0.99100605
                  2786.8                      0.99114871
                  2789.4                      0.99128522
                    2792                      0.99141642
                  2794.6                      0.99154273
                  2797.2                      0.99166427
                  2799.8                      0.99178069
                  2802.4                      0.99189139
                    2805                      0.99199565
                  2807.6                       0.9920927
                  2810.2                      0.99218194
                  2812.8                      0.99226283
                  2815.4                      0.99233492
                    2818                      0.99239786
                  2820.6                      0.99245135
                  2823.2                      0.99249522
                  2825.8                      0.99252925
                  2828.4                      0.99255331
                    2831                      0.99256727
                  2833.6                      0.99257107
                  2836.2                      0.99256467
                  2838.8                      0.99254806
                  2841.4                      0.99252125
                    2844                      0.99248419
                  2846.6                      0.99243672
                  2849.2                      0.99237863
                  2851.8                      0.99230967
                  2854.4                       0.9922296
                    2857                      0.99213827
                  2859.6                      0.99203559
                  2862.2                      0.99192126
                  2864.8                      0.99179488
                  2867.4                       0.9916559
                    2870                      0.99150372
                  2872.6                      0.99133784
                  2875.2                      0.99115802
                  2877.8                       0.9909641
                  2880.4                      0.99075607
                    2883                      0.99053383
                  2885.6                      0.99029727
                  2888.2                       0.9900466
                  2890.8                      0.98978226
                  2893.4                      0.98950523
                    2896                      0.98921675
                  2898.6                      0.98891808
                  2901.2                      0.98861005
                  2903.8                      0.98829303
                  2906.4                      0.98796704
                    2909                      0.98763199
                  2911.6                      0.98728796
                  2914.2                      0.98693507
                  2916.8                      0.98657322
                  2919.4                      0.98620196
                    2922                      0.98582022
                  2924.6                      0.98542659
                  2927.2                      0.98502007
                  2929.8                      0.98460002
                  2932.4                      0.98416649
                    2935                      0.98371952
                  2937.6                      0.98325882
                  2940.2                      0.98278344
                  2942.8                       0.9822919
                  2945.4                      0.98178293
                    2948                      0.98125608
                  2950.6                      0.98071159
                  2953.2                      0.98015008
                  2955.8                      0.97957158
                  2958.4                      0.97897514
                    2961                      0.97835907
                  2963.6                      0.97772144
                  2966.2                      0.97706137
                  2968.8                      0.97637899
                  2971.4                      0.97567524
                    2974                      0.97495048
                  2976.6                      0.97420372
                  2979.2                      0.97343254
                  2981.8                      0.97263406
                  2984.4                      0.97180644
                    2987                      0.97094956
                  2989.6                      0.97006463
                  2992.2                      0.96915297
                  2994.8                      0.96821438
                  2997.4                      0.96724671
                    3000                       0.9662472

        Frequency / MHz                S1,1 (31768)/abs,linear
----------------------------------------------------------------------
                     400                      0.99901964
                   402.6                      0.99911512
                   405.2                      0.99921718
                   407.8                      0.99923634
                   410.4                      0.99913789
                     413                       0.9989659
                   415.6                      0.99881434
                   418.2                      0.99876334
                   420.8                      0.99882419
                   423.4                      0.99893126
                     426                      0.99898577
                   428.6                      0.99892213
                   431.2                      0.99875298
                   433.8                      0.99856227
                   436.4                      0.99844905
                     439                      0.99845961
                   441.6                      0.99855508
                   444.2                      0.99863654
                   446.8                      0.99861091
                   449.4                      0.99845405
                     452                      0.99822953
                   454.6                       0.9980475
                   457.2                      0.99798977
                   459.8                      0.99805274
                   462.4                      0.99814803
                     465                      0.99816015
                   467.6                      0.99802385
                   470.2                      0.99777072
                   472.8                      0.99751171
                   475.4                      0.99736308
                     478                      0.99736563
                   480.6                      0.99745413
                   483.2                      0.99749822
                   485.8                      0.99738804
                   488.4                         0.99711
                     491                      0.99676201
                   493.6                      0.99649128
                   496.2                      0.99639309
                   498.8                      0.99644156
                   501.4                      0.99650212
                     504                      0.99641742
                   506.6                      0.99611258
                   509.2                      0.99565346
                   511.8                       0.9952112
                   514.4                      0.99494767
                     517                      0.99489888
                   519.6                      0.99494167
                   522.2                      0.99486752
                   524.8                      0.99451746
                   527.4                      0.99389633
                     530                      0.99318706
                   532.6                      0.99263582
                   535.2                      0.99237656
                   537.8                      0.99232256
                   540.4                      0.99220541
                     543                      0.99173854
                   545.6                      0.99081205
                   548.2                      0.98959681
                   550.8                      0.98845803
                   553.4                      0.98770053
                     556                      0.98732042
                   558.6                      0.98695515
                   561.2                       0.9860697
                   563.8                      0.98428766
                   566.4                      0.98169572
                     569                      0.97887603
                   571.6                      0.97650837
                   574.2                      0.97475575
                   576.8                      0.97289874
                   579.4                      0.96947911
                     582                      0.96299571
                   584.6                      0.95319051
                   587.2                       0.9422427
                   589.8                      0.93400467
                   592.4                      0.93118795
                     595                      0.93381514
                   597.6                      0.94023273
                   600.2                      0.94850945
                   602.8                       0.9569325
                   605.4                        0.963988
                     608                      0.96845099
                   610.6                      0.96978103
                   613.2                       0.9684878
                   615.8                      0.96592786
                   618.4                      0.96351267
                     621                      0.96194048
                   623.6                       0.9609827
                   626.2                      0.95981123
                   628.8                      0.95757215
                   631.4                      0.95391283
                     634                      0.94919347
                   636.6                      0.94421516
                   639.2                      0.93962937
                   641.8                      0.93547542
                   644.4                       0.9311581
                     647                      0.92582533
                   649.6                       0.9188977
                   652.2                      0.91043686
                   654.8                      0.90108698
                   657.4                      0.89156895
                     660                      0.88209694
                   662.6                      0.87216406
                   665.2                      0.86081988
                   667.8                      0.84724484
                   670.4                        0.831274
                     673                      0.81349072
                   675.6                      0.79475092
                   678.2                      0.77545471
                   680.8                      0.75514993
                   683.4                      0.73277426
                     686                       0.7073431
                   688.6                      0.67864762
                   691.2                      0.64744886
                   693.8                      0.61494003
                   696.4                      0.58183999
                     699                      0.54787901
                   701.6                        0.512112
                   704.2                      0.47377717
                   706.8                      0.43308052
                   709.4                       0.3913064
                     712                      0.35009645
                   714.6                      0.31044177
                   717.2                      0.27226418
                   719.8                      0.23495517
                   722.4                       0.1984539
                     725                      0.16411328
                   727.6                       0.1348516
                   730.2                      0.11433997
                   732.8                      0.10511875
                   735.4                      0.10676279
                     738                      0.11667425
                   740.6                      0.13233253
                   743.2                      0.15183329
                   745.8                      0.17337502
                   748.4                      0.19519638
                     751                      0.21597923
                   753.6                      0.23516064
                   756.2                       0.2528776
                   758.8                       0.2695945
                   761.4                      0.28565531
                     764                      0.30103262
                   766.6                       0.3153907
                   769.2                      0.32837546
                   771.8                      0.33988338
                   774.4                      0.35012554
                     777                      0.35948359
                   779.6                      0.36826831
                   782.2                      0.37655057
                   784.8                      0.38416934
                   787.4                      0.39089737
                     790                      0.39663299
                   792.6                      0.40148511
                   795.2                      0.40571053
                   797.8                      0.40955743
                   800.4                      0.41312368
                     803                      0.41632728
                   805.6                      0.41899871
                   808.2                      0.42102639
                   810.8                      0.42244886
                   813.4                      0.42344001
                     816                      0.42420139
                   818.6                      0.42484339
                   821.2                      0.42533184
                   823.8                      0.42553766
                   826.4                      0.42534908
                     829                      0.42476314
                   831.6                      0.42390063
                   834.2                      0.42293176
                   836.8                       0.4219726
                   839.4                      0.42102083
                     842                      0.41997686
                   844.6                      0.41873213
                   847.2                      0.41725951
                   849.8                      0.41564363
                   852.4                        0.414032
                     855                      0.41254195
                   857.6                      0.41119238
                   860.2                      0.40990362
                   862.8                       0.4085696
                   865.4                      0.40714412
                     868                      0.40568446
                   870.6                      0.40431813
                   873.2                      0.40316052
                   875.8                      0.40224208
                   878.4                      0.40149625
                     881                      0.40081581
                   883.6                        0.400138
                   886.2                      0.39949464
                   888.8                      0.39899295
                   891.4                      0.39874355
                     894                      0.39878383
                   896.6                      0.39905619
                   899.2                       0.3994526
                   901.8                       0.3998948
                   904.4                      0.40039128
                     907                       0.4010303
                   909.6                      0.40191645
                   912.2                      0.40309456
                   914.8                      0.40451903
                   917.4                      0.40608446
                     920                      0.40770255
                   922.6                      0.40936208
                   925.2                      0.41113489
                   927.8                       0.4131225
                   930.4                      0.41538127
                     933                      0.41788306
                   935.6                      0.42053361
                   938.2                      0.42324118
                   940.8                      0.42598092
                   943.4                      0.42881151
                     946                      0.43183442
                   948.6                      0.43512339
                   951.2                      0.43867404
                   953.8                      0.44241261
                   956.4                      0.44625231
                     959                       0.4501615
                   961.6                      0.45419131
                   964.2                      0.45844849
                   966.8                      0.46302925
                   969.4                      0.46796339
                     972                      0.47320789
                   974.6                        0.478695
                   977.2                      0.48439882
                   979.8                      0.49037618
                   982.4                      0.49675172
                     985                      0.50365876
                   987.6                      0.51117821
                   990.2                      0.51931823
                   992.8                      0.52805174
                   995.4                      0.53738063
                     998                      0.54738638
                  1000.6                      0.55822214
                  1003.2                      0.57005427
                  1005.8                      0.58298526
                  1008.4                       0.5970034
                    1011                      0.61198773
                  1013.6                      0.62773724
                  1016.2                      0.64398481
                  1018.8                      0.66033991
                  1021.4                      0.67617513
                    1024                      0.69052103
                  1026.6                       0.7020833
                  1029.2                      0.70946033
                  1031.8                      0.71153024
                  1034.4                      0.70783749
                    1037                      0.69877428
                  1039.6                       0.6854745
                  1042.2                      0.66949853
                  1044.8                      0.65246471
                  1047.4                      0.63575345
                    1050                      0.62034476
                  1052.6                       0.6067983
                  1055.2                      0.59533924
                  1057.8                      0.58598394
                  1060.4                      0.57864232
                    1063                      0.57316816
                  1065.6                      0.56936959
                  1068.2                      0.56701579
                  1070.8                        0.565862
                  1073.4                       0.5656924
                    1076                      0.56635315
                  1078.6                      0.56775571
                  1081.2                      0.56984407
                  1083.8                      0.57255108
                  1086.4                      0.57577464
                    1089                      0.57938913
                  1091.6                      0.58328464
                  1094.2                      0.58740496
                  1096.8                      0.59175114
                  1099.4                      0.59635054
                    1102                      0.60120856
                  1104.6                      0.60628037
                  1107.2                      0.61147946
                  1109.8                       0.6167196
                  1112.4                      0.62196114
                    1115                      0.62722541
                  1117.6                      0.63256748
                  1120.2                      0.63802387
                  1122.8                      0.64357428
                  1125.4                       0.6491421
                    1128                      0.65463634
                  1130.6                      0.66000644
                  1133.2                      0.66526998
                  1135.8                       0.6704924
                  1138.4                      0.67573193
                    1141                      0.68098631
                  1143.6                      0.68617995
                  1146.2                       0.6912031
                  1148.8                      0.69597568
                  1151.4                      0.70049231
                    1154                      0.70481289
                  1156.6                      0.70900527
                  1159.2                      0.71307283
                  1161.8                      0.71691928
                  1164.4                      0.72037896
                    1167                      0.72329146
                  1169.6                      0.72556949
                  1172.2                      0.72720737
                  1174.8                      0.72821605
                  1177.4                      0.72852139
                    1180                      0.72789559
                  1182.6                      0.72598344
                  1185.2                      0.72243467
                  1187.8                      0.71709626
                  1190.4                      0.71018817
                    1193                      0.70242086
                  1195.6                      0.69501872
                  1198.2                      0.68960649
                  1200.8                      0.68789878
                  1203.4                      0.69116099
                    1206                      0.69962549
                  1208.6                      0.71226656
                  1211.2                      0.72719951
                  1213.8                      0.74247801
                  1216.4                      0.75675595
                    1219                      0.76947253
                  1221.6                      0.78064358
                  1224.2                      0.79052909
                  1226.8                      0.79937772
                  1229.4                       0.8073287
                    1232                       0.8144387
                  1234.6                      0.82076066
                  1237.2                      0.82639675
                  1239.8                       0.8314956
                  1242.4                      0.83620792
                    1245                      0.84063789
                  1247.6                       0.8448239
                  1250.2                      0.84875838
                  1252.8                      0.85242615
                  1255.4                      0.85583783
                    1258                      0.85903652
                  1260.6                      0.86208004
                  1263.2                      0.86501297
                  1265.8                      0.86784851
                  1268.4                      0.87057194
                    1271                      0.87315986
                  1273.6                      0.87560045
                  1276.2                      0.87790408
                  1278.8                      0.88009666
                  1281.4                      0.88220441
                    1284                      0.88424076
                  1286.6                      0.88620393
                  1289.2                      0.88808604
                  1291.8                      0.88988502
                  1294.4                      0.89161186
                    1297                      0.89328802
                  1299.6                      0.89493476
                  1302.2                      0.89656297
                  1304.8                      0.89816848
                  1307.4                      0.89973697
                    1310                       0.9012539
                  1312.6                      0.90271381
                  1315.2                      0.90412246
                  1317.8                      0.90549201
                  1320.4                      0.90683247
                    1323                      0.90814554
                  1325.6                      0.90942447
                  1328.2                      0.91065964
                  1330.8                      0.91184547
                  1333.4                       0.9129844
                    1336                      0.91408516
                  1338.6                      0.91515736
                  1341.2                      0.91620563
                  1343.8                       0.9172277
                  1346.4                      0.91821675
                    1349                      0.91916698
                  1351.6                      0.92007734
                  1354.2                      0.92095285
                  1356.8                      0.92180097
                  1359.4                      0.92262731
                    1362                      0.92343231
                  1364.6                      0.92421198
                  1367.2                      0.92496077
                  1369.8                      0.92567583
                  1372.4                      0.92635887
                    1375                      0.92701497
                  1377.6                      0.92764929
                  1380.2                      0.92826409
                  1382.8                      0.92885742
                  1385.4                      0.92942491
                    1388                      0.92996273
                  1390.6                         0.93047
                  1393.2                      0.93094924
                  1395.8                       0.9314044
                  1398.4                      0.93183804
                    1401                      0.93224962
                  1403.6                      0.93263563
                  1406.2                      0.93299165
                  1408.8                      0.93331468
                  1411.4                      0.93360459
                    1414                      0.93386345
                  1416.6                      0.93409355
                  1419.2                      0.93429559
                  1421.8                      0.93446832
                  1424.4                       0.9346099
                    1427                      0.93472081
                  1429.6                      0.93480641
                  1432.2                       0.9348776
                  1434.8                      0.93494926
                  1437.4                      0.93503665
                    1440                      0.93515158
                  1442.6                          0.9353
                  1445.2                      0.93548156
                  1447.8                      0.93569105
                  1450.4                      0.93592036
                    1453                       0.9361601
                  1455.6                      0.93640071
                  1458.2                      0.93663292
                  1460.8                      0.93684866
                  1463.4                      0.93704201
                    1466                      0.93720988
                  1468.6                      0.93735199
                  1471.2                      0.93747011
                  1473.8                      0.93756673
                  1476.4                      0.93764377
                    1479                      0.93770197
                  1481.6                      0.93774123
                  1484.2                      0.93776148
                  1486.8                      0.93776338
                  1489.4                      0.93774855
                    1492                      0.93771919
                  1494.6                      0.93767722
                  1497.2                      0.93762353
                  1499.8                      0.93755808
                  1502.4                      0.93748014
                    1505                      0.93738944
                  1507.6                      0.93728646
                  1510.2                      0.93717251
                  1512.8                      0.93704901
                  1515.4                      0.93691704
                    1518                      0.93677671
                  1520.6                       0.9366273
                  1523.2                      0.93646807
                  1525.8                      0.93629883
                  1528.4                      0.93612014
                    1531                      0.93593315
                  1533.6                      0.93573885
                  1536.2                      0.93553773
                  1538.8                      0.93532935
                  1541.4                      0.93511287
                    1544                      0.93488762
                  1546.6                      0.93465367
                  1549.2                      0.93441165
                  1551.8                      0.93416266
                  1554.4                      0.93390725
                    1557                      0.93364537
                  1559.6                      0.93337641
                  1562.2                      0.93309944
                  1564.8                      0.93281403
                  1567.4                      0.93252042
                    1570                      0.93221951
                  1572.6                      0.93191204
                  1575.2                       0.9315982
                  1577.8                      0.93127764
                  1580.4                       0.9309495
                    1583                      0.93061299
                  1585.6                        0.930268
                  1588.2                      0.92991504
                  1590.8                       0.9295549
                  1593.4                      0.92918804
                    1596                       0.9288144
                  1598.6                      0.92843323
                  1601.2                      0.92804367
                  1603.8                      0.92764522
                  1606.4                      0.92723799
                    1609                      0.92682259
                  1611.6                      0.92639984
                  1614.2                      0.92596984
                  1616.8                      0.92553207
                  1619.4                      0.92508565
                    1622                      0.92462987
                  1624.6                      0.92416442
                  1627.2                      0.92368967
                  1629.8                      0.92320642
                  1632.4                      0.92271509
                    1635                      0.92221545
                  1637.6                      0.92170669
                  1640.2                      0.92118786
                  1642.8                      0.92065835
                  1645.4                      0.92011819
                    1648                      0.91956797
                  1650.6                       0.9190083
                  1653.2                      0.91843926
                  1655.8                      0.91786027
                  1658.4                      0.91727017
                    1661                      0.91666799
                  1663.6                      0.91605346
                  1666.2                      0.91542681
                  1668.8                      0.91478856
                  1671.4                      0.91413905
                    1674                      0.91347796
                  1676.6                       0.9128041
                  1679.2                      0.91211608
                  1681.8                      0.91141311
                  1684.4                      0.91069501
                    1687                      0.90996204
                  1689.6                      0.90921455
                  1692.2                      0.90845224
                  1694.8                      0.90767404
                  1697.4                      0.90687816
                    1700                      0.90606309
                  1702.6                      0.90522786
                  1705.2                      0.90437226
                  1707.8                      0.90349627
                  1710.4                      0.90259933
                    1713                      0.90168003
                  1715.6                      0.90073631
                  1718.2                      0.89976553
                  1720.8                      0.89876547
                  1723.4                      0.89773459
                    1726                      0.89667206
                  1728.6                      0.89557635
                  1731.2                      0.89444499
                  1733.8                      0.89327465
                  1736.4                      0.89206102
                    1739                      0.89079956
                  1741.6                      0.88948649
                  1744.2                      0.88811822
                  1746.8                      0.88669111
                  1749.4                      0.88520015
                    1752                      0.88363905
                  1754.6                      0.88200018
                  1757.2                      0.88027549
                  1759.8                      0.87845752
                  1762.4                      0.87653943
                    1765                      0.87451508
                  1767.6                      0.87237928
                  1770.2                      0.87012672
                  1772.8                      0.86775455
                  1775.4                      0.86526516
                    1778                      0.86267071
                  1780.6                      0.85999627
                  1783.2                      0.85728498
                  1785.8                      0.85460323
                  1788.4                        0.852044
                    1791                         0.84973
                  1793.6                      0.84781262
                  1796.2                      0.84645906
                  1798.8                      0.84582622
                  1801.4                       0.8460227
                    1804                      0.84707099
                  1806.6                      0.84888668
                  1809.2                      0.85128798
                  1811.8                      0.85403358
                  1814.4                      0.85687303
                    1817                      0.85958975
                  1819.6                      0.86202607
                  1822.2                      0.86408902
                  1824.8                      0.86574123
                  1827.4                      0.86698546
                    1830                      0.86784915
                  1832.6                      0.86837145
                  1835.2                      0.86859477
                  1837.8                      0.86855999
                  1840.4                      0.86830472
                    1843                      0.86786278
                  1845.6                      0.86726383
                  1848.2                      0.86653327
                  1850.8                      0.86569222
                  1853.4                      0.86475746
                    1856                        0.863743
                  1858.6                      0.86266078
                  1861.2                      0.86152166
                  1863.8                      0.86033561
                  1866.4                       0.8591114
                    1869                       0.8578563
                  1871.6                      0.85657654
                  1874.2                      0.85527691
                  1876.8                      0.85396236
                  1879.4                      0.85263827
                    1882                      0.85131071
                  1884.6                      0.84998521
                  1887.2                      0.84866653
                  1889.8                      0.84735892
                  1892.4                      0.84606577
                    1895                      0.84479045
                  1897.6                       0.8435373
                  1900.2                      0.84231117
                  1902.8                      0.84111711
                  1905.4                      0.83995892
                    1908                      0.83883971
                  1910.6                       0.8377615
                  1913.2                      0.83672623
                  1915.8                      0.83573652
                  1918.4                      0.83479544
                    1921                      0.83390605
                  1923.6                      0.83307096
                  1926.2                      0.83229093
                  1928.8                       0.8315657
                  1931.4                      0.83089477
                    1934                      0.83027825
                  1936.6                      0.82971687
                  1939.2                      0.82921142
                  1941.8                      0.82876251
                  1944.4                        0.828369
                    1947                      0.82802871
                  1949.6                      0.82773914
                  1952.2                      0.82749833
                  1954.8                       0.8273053
                  1957.4                      0.82715957
                    1960                      0.82706055
                  1962.6                       0.8270066
                  1965.2                      0.82699466
                  1967.8                      0.82702155
                  1970.4                      0.82708435
                    1973                       0.8271815
                  1975.6                      0.82731236
                  1978.2                      0.82747622
                  1980.8                      0.82767173
                  1983.4                      0.82789621
                    1986                      0.82814657
                  1988.6                      0.82841997
                  1991.2                      0.82871476
                  1993.8                      0.82903044
                  1996.4                      0.82936683
                    1999                      0.82972326
                  2001.6                      0.83009782
                  2004.2                      0.83048791
                  2006.8                      0.83089102
                  2009.4                      0.83130557
                    2012                      0.83173116
                  2014.6                      0.83216815
                  2017.2                      0.83261645
                  2019.8                       0.8330751
                  2022.4                      0.83354199
                    2025                      0.83401493
                  2027.6                      0.83449245
                  2030.2                      0.83497429
                  2032.8                      0.83546087
                  2035.4                       0.8359527
                    2038                      0.83644959
                  2040.6                      0.83695008
                  2043.2                      0.83745231
