        Frequency / MHz                S1,1/abs,dB
                  1016.2                      -1.9776964
                  1018.8                      -1.8399835
                  1021.4                      -1.7118334
                    1024                      -1.5923191
                  1026.6                      -1.4806169
                  1029.2                      -1.3761924
                  1031.8                      -1.2787808
                  1034.4                       -1.188202
                    1037                      -1.1041633
                  1039.6                      -1.0261805
                  1042.2                     -0.95365784
                  1044.8                     -0.88605163
                  1047.4                     -0.82298259
                    1050                     -0.76423721
                  1052.6                      -0.7096493
                  1055.2                     -0.65895287
                  1057.8                     -0.61165816
                  1060.4                      -0.5668914
                    1063                     -0.52276481
                  1065.6                     -0.47309926
                  1068.2                     -0.38790069
                  1070.8                     -0.22503603
                  1073.4                     -0.28235066
                    1076                     -0.31095809
                  1078.6                     -0.30534117
                  1081.2                     -0.29041462
                  1083.8                     -0.27290713
                  1086.4                     -0.25499586
                    1089                     -0.23753939
                  1091.6                     -0.22090437
                  1094.2                     -0.20521943
                  1096.8                      -0.1904871
                  1099.4                     -0.17665791
                    1102                     -0.16368269
                  1104.6                     -0.15153533
                  1107.2                     -0.14020511
                  1109.8                     -0.12967415
                  1112.4                     -0.11989971
                    1115                     -0.11081544
                  1117.6                     -0.10234891
                  1120.2                     -0.09444343
                  1122.8                    -0.087066932
                  1125.4                     -0.08020569
                    1128                    -0.073846602
                  1130.6                    -0.067963034
                  1133.2                    -0.062512392
                  1135.8                    -0.057446898
                  1138.4                    -0.052727514
                    1141                    -0.048332283
                  1143.6                    -0.044253239
                  1146.2                    -0.040485084
                  1148.8                    -0.037014487
                  1151.4                    -0.033816573
                    1154                    -0.030860961
                  1156.6                    -0.028121711
                  1159.2                    -0.025584053
                  1161.8                    -0.023243641
                  1164.4                    -0.021099364
                    1167                    -0.019145179
                  1169.6                    -0.017366691
                  1172.2                    -0.015744612
                  1174.8                    -0.014261252
                  1177.4                    -0.012905851
                    1180                    -0.011674353
                  1182.6                    -0.010563871
                  1185.2                   -0.0095654226
                  1187.8                   -0.0086598898
                  1190.4                    -0.007819465
                    1193                   -0.0070138683
                  1195.6                   -0.0062189681
                  1198.2                   -0.0054258665
                  1200.8                   -0.0046463509
                  1203.4                   -0.0039114001
                    1206                   -0.0032605443
                  1208.6                   -0.0027260151
                  1211.2                   -0.0023216465
                  1213.8                   -0.0020428474
                  1216.4                   -0.0018743776
                    1219                   -0.0017988178
                  1221.6                   -0.0018012964
                  1224.2                   -0.0018705364
                  1226.8                   -0.0019982873
                  1229.4                   -0.0021787558
                    1232                   -0.0024083061
                  1234.6                   -0.0026852556
                  1237.2                    -0.003008432
                  1239.8                   -0.0033769652
                  1242.4                   -0.0037891129
                    1245                   -0.0042435257
                  1247.6                    -0.004739942
                  1250.2                   -0.0052803403
                  1252.8                   -0.0058680377
                  1255.4                   -0.0065069187
                    1258                   -0.0071999246
                  1260.6                   -0.0079491036
                  1263.2                   -0.0087565657
                  1265.8                   -0.0096261458
                  1268.4                    -0.010564494
                    1271                    -0.011580025
                  1273.6                    -0.012679428
                  1276.2                     -0.01386327
                  1278.8                    -0.015121532
                  1281.4                    -0.016430573
                    1284                    -0.017753367
                  1286.6                    -0.019043143
                  1289.2                    -0.020250641
                  1291.8                    -0.021337066
                  1294.4                    -0.022284216
                    1297                    -0.023101602
                  1299.6                    -0.023822395
                  1302.2                    -0.024492406
                  1304.8                    -0.025158073
                  1307.4                    -0.025856826
                    1310                    -0.026613693
                  1312.6                    -0.027440588
                  1315.2                    -0.028339403
                  1317.8                    -0.029306538
                  1320.4                    -0.030336653
                    1323                    -0.031426624
                  1325.6                    -0.032576781
                  1328.2                    -0.033789008
                  1330.8                    -0.035064622
                  1333.4                    -0.036401803
                    1336                    -0.037795627
                  1338.6                    -0.039240464
                  1341.2                    -0.040733051
                  1343.8                    -0.042274017
                  1346.4                    -0.043868118
                    1349                    -0.045520861
                  1351.6                    -0.047235373
                  1354.2                    -0.049010554
                  1356.8                    -0.050842486
                  1359.4                    -0.052727463
                    1362                    -0.054665537
                  1364.6                    -0.056661484
                  1367.2                    -0.058723235
                  1369.8                    -0.060857681
                  1372.4                    -0.063067877
                    1375                    -0.065352332
                  1377.6                    -0.067707985
                  1380.2                     -0.07013372
                  1382.8                    -0.072633968
                  1385.4                    -0.075218088
                    1388                    -0.077897264
                  1390.6                    -0.080680387
                  1393.2                    -0.083571669
                  1395.8                    -0.086571699
                  1398.4                    -0.089682208
                    1401                    -0.092909995
                  1403.6                    -0.096269622
                  1406.2                    -0.099781751
                  1408.8                     -0.10346872
                  1411.4                     -0.10735108
                    1414                     -0.11144624
                  1416.6                     -0.11577227
                  1419.2                     -0.12035303
                  1421.8                     -0.12522181
                  1424.4                     -0.13041869
                    1427                     -0.13598003
                  1429.6                     -0.14191863
                  1432.2                     -0.14820166
                  1434.8                     -0.15473129
                  1437.4                     -0.16134195
                    1440                     -0.16782318
                  1442.6                     -0.17397097
                  1445.2                     -0.17965189
                  1447.8                     -0.18484539
                  1450.4                     -0.18964339
                    1453                     -0.19421038
                  1455.6                     -0.19872931
                  1458.2                      -0.2033607
                  1460.8                     -0.20822263
                  1463.4                     -0.21338894
                    1466                      -0.2188969
                  1468.6                     -0.22475823
                  1471.2                      -0.2309714
                  1473.8                     -0.23753089
                  1476.4                     -0.24443373
                    1479                     -0.25168215
                  1481.6                     -0.25928136
                  1484.2                      -0.2672368
                  1486.8                     -0.27555092
                  1489.4                     -0.28422368
                    1492                     -0.29325425
                  1494.6                     -0.30264582
                  1497.2                     -0.31240745
                  1499.8                     -0.32255381
                  1502.4                     -0.33310234
                    1505                     -0.34406823
                  1507.6                     -0.35546203
                  1510.2                     -0.36729171
                  1512.8                     -0.37956609
