        Frequency / MHz                S2,1 (31778)/abs,dB
                  1047.4                       -21.40628
                    1050                      -21.835837
                  1052.6                      -22.285407
                  1055.2                      -22.746397
                  1057.8                      -23.212592
                  1060.4                      -23.680537
                    1063                      -24.148884
                  1065.6                       -24.61711
                  1068.2                      -25.084258
                  1070.8                      -25.548449
                  1073.4                      -26.007409
                    1076                      -26.459425
                  1078.6                      -26.904178
                  1081.2                       -27.34267
                  1083.8                      -27.776386
                  1086.4                      -28.206265
                    1089                      -28.632086
                  1091.6                      -29.052759
                  1094.2                      -29.467266
                  1096.8                      -29.875486
                  1099.4                      -30.278419
                    1102                       -30.67761
                  1104.6                      -31.074264
                  1107.2                      -31.468592
                  1109.8                      -31.859876
                  1112.4                      -32.247267
                    1115                      -32.630591
                  1117.6                      -33.010712
                  1120.2                      -33.389086
                  1122.8                      -33.766957
                  1125.4                      -34.144661
                    1128                      -34.521605
                  1130.6                       -34.89696
                  1133.2                      -35.270507
                  1135.8                      -35.643091
                  1138.4                       -36.01629
                    1141                      -36.391513
                  1143.6                       -36.76918
                  1146.2                      -37.148617
                  1148.8                      -37.528729
                  1151.4                      -37.909029
                    1154                      -38.290303
                  1156.6                      -38.674356
                  1159.2                      -39.062892
                  1161.8                      -39.456349
                  1164.4                      -39.853426
                    1167                      -40.251755
                  1169.6                      -40.649274
                  1172.2                      -41.045275
                  1174.8                       -41.44024
                  1177.4                      -41.834212
                    1180                      -42.224535
                  1182.6                      -42.604509
                  1185.2                      -42.964221
                  1187.8                      -43.293768
                  1190.4                      -43.587904
                    1193                      -43.850264
                  1195.6                      -44.095345
                  1198.2                      -44.347087
                  1200.8                      -44.633874
                  1203.4                      -44.980865
                    1206                      -45.401747
                  1208.6                      -45.893741
                  1211.2                      -46.438557
                  1213.8                      -47.008127
                  1216.4                      -47.571449
                    1219                      -48.099114
                  1221.6                      -48.564676
                  1224.2                      -48.944208
                  1226.8                      -49.216136
                  1229.4                      -49.362752
                    1232                      -49.373438
                  1234.6                      -49.247309
                  1237.2                      -48.993738
                  1239.8                      -48.630102
                  1242.4                      -48.177489
                    1245                      -47.656607
