# Version 1.00
#
freq[Hz]	re:Trc2_S12	im:Trc2_S12	re:Trc3_S21	im:Trc3_S21	re:Trc4_S22	im:Trc4_S22	re:Trc5_S11	im:Trc5_S11	
4.108333333333333E+008	-1.276410883292556E-003	-1.676594489254057E-003	-1.264731981791556E-003	-1.659507746808231E-003	-8.837646842002869E-001	3.821143507957459E-001	-6.114895343780518E-001	7.448954582214356E-001	
4.112666666666667E+008	-1.258579781278968E-003	-1.638847519643605E-003	-1.248885993845761E-003	-1.665542367845774E-003	-8.822048902511597E-001	3.856450915336609E-001	-6.078366637229919E-001	7.479627728462219E-001	
4.117000000000000E+008	-1.293371315114200E-003	-1.640861970372498E-003	-1.307492726482451E-003	-1.663942355662584E-003	-8.804895877838135E-001	3.889256417751312E-001	-6.038771867752075E-001	7.510580420494080E-001	
4.121333333333333E+008	-1.315033296123147E-003	-1.674412982538343E-003	-1.271545421332121E-003	-1.655674306675792E-003	-8.790078759193420E-001	3.923183977603912E-001	-5.998565554618835E-001	7.541894316673279E-001	
4.125666666666667E+008	-1.315356581471860E-003	-1.608787337318063E-003	-1.297328621149063E-003	-1.720536150969565E-003	-8.774152994155884E-001	3.959411978721619E-001	-5.961428880691528E-001	7.572285532951355E-001	
4.130000000000000E+008	-1.313476357609034E-003	-1.753239892423153E-003	-1.276313443668187E-003	-1.633039792068303E-003	-8.758214712142944E-001	3.991567194461823E-001	-5.921214818954468E-001	7.604741454124451E-001	
4.134333333333333E+008	-1.342015573754907E-003	-1.690301811322570E-003	-1.349058235064149E-003	-1.669773249886930E-003	-8.740753531455994E-001	4.023616015911102E-001	-5.884748697280884E-001	7.630954980850220E-001	
4.138666666666667E+008	-1.357094617560506E-003	-1.639795955270529E-003	-1.376117928884924E-003	-1.613674568943679E-003	-8.722345232963562E-001	4.059738814830780E-001	-5.846524238586426E-001	7.655124068260193E-001	
4.143000000000000E+008	-1.437784056179225E-003	-1.771033625118434E-003	-1.356708700768650E-003	-1.673388644121587E-003	-8.702374100685120E-001	4.092682301998138E-001	-5.810937881469727E-001	7.683804631233215E-001	
4.147333333333333E+008	-1.393988961353898E-003	-1.733804936520755E-003	-1.424846937879920E-003	-1.662594731897116E-003	-8.686432838439941E-001	4.125448465347290E-001	-5.771691799163818E-001	7.709322571754456E-001	
4.151666666666667E+008	-1.415992039255798E-003	-1.699149841442704E-003	-1.436867169104517E-003	-1.656348467804492E-003	-8.665686249732971E-001	4.157487452030182E-001	-5.732097029685974E-001	7.735146880149841E-001	
4.156000000000000E+008	-1.431496115401387E-003	-1.731336233206093E-003	-1.468802918680012E-003	-1.660728361457586E-003	-8.647977709770203E-001	4.190836846828461E-001	-5.695866346359253E-001	7.759549021720886E-001	
4.160333333333333E+008	-1.495114993304014E-003	-1.689976197667420E-003	-1.479130005463958E-003	-1.672516693361104E-003	-8.628947734832764E-001	4.225414097309113E-001	-5.656032562255859E-001	7.786192893981934E-001	
4.164666666666667E+008	-1.468207570724189E-003	-1.701860921457410E-003	-1.470585120841861E-003	-1.726958784274757E-003	-8.609566688537598E-001	4.257316887378693E-001	-5.616558194160461E-001	7.810719609260559E-001	
4.169000000000000E+008	-1.485781394876540E-003	-1.696212100796402E-003	-1.517614582553506E-003	-1.738956663757563E-003	-8.589932918548584E-001	4.288782477378845E-001	-5.575700402259827E-001	7.837488055229187E-001	
4.173333333333333E+008	-1.484388834796846E-003	-1.663226983509958E-003	-1.537021249532700E-003	-1.700123539194465E-003	-8.571110367774963E-001	4.322427511215210E-001	-5.536700487136841E-001	7.861673235893250E-001	
4.177666666666667E+008	-1.512318383902311E-003	-1.683996175415814E-003	-1.529906876385212E-003	-1.734800753183663E-003	-8.551399111747742E-001	4.356419146060944E-001	-5.496648550033569E-001	7.887688875198364E-001	
4.182000000000000E+008	-1.519547076895833E-003	-1.717096660286188E-003	-1.564841135405004E-003	-1.739166676998138E-003	-8.533993363380432E-001	4.386190176010132E-001	-5.456157326698303E-001	7.913587093353272E-001	
4.186333333333333E+008	-1.576419221237302E-003	-1.694993465207517E-003	-1.615152228623629E-003	-1.742076943628490E-003	-8.517340421676636E-001	4.420404434204102E-001	-5.422348380088806E-001	7.937235832214356E-001	
4.190666666666667E+008	-1.563684199936688E-003	-1.733275828883052E-003	-1.503167557530105E-003	-1.717896200716496E-003	-8.505086898803711E-001	4.453045725822449E-001	-5.386043787002564E-001	7.963478565216065E-001	
4.195000000000000E+008	-1.618197304196656E-003	-1.787029905244708E-003	-1.617651316337287E-003	-1.734859077259898E-003	-8.491463661193848E-001	4.482950568199158E-001	-5.348926782608032E-001	7.988794445991516E-001	
4.199333333333333E+008	-1.660764217376709E-003	-1.757060177624226E-003	-1.608516904525459E-003	-1.749383169226348E-003	-8.475089073181152E-001	4.516720771789551E-001	-5.311853289604187E-001	8.013861179351807E-001	
4.203666666666667E+008	-1.636982779018581E-003	-1.762222615070641E-003	-1.654569990932941E-003	-1.748010632582009E-003	-8.462359905242920E-001	4.547621607780457E-001	-5.274556279182434E-001	8.040250539779663E-001	
4.208000000000000E+008	-1.666120137088001E-003	-1.744579407386482E-003	-1.636015716940165E-003	-1.798254786990583E-003	-8.446428775787354E-001	4.581553041934967E-001	-5.238205194473267E-001	8.064677119255066E-001	
4.212333333333333E+008	-1.687455456703901E-003	-1.805948559194803E-003	-1.705521135590971E-003	-1.774373464286327E-003	-8.428639769554138E-001	4.612836241722107E-001	-5.197970867156982E-001	8.089888691902161E-001	
4.216666666666667E+008	-1.681622583419085E-003	-1.760547282174230E-003	-1.699932734481990E-003	-1.770977512933314E-003	-8.412455320358276E-001	4.648206532001495E-001	-5.159688591957092E-001	8.116377592086792E-001	
4.221000000000000E+008	-1.701521221548319E-003	-1.751398318447173E-003	-1.750432071276009E-003	-1.779400277882814E-003	-8.397575616836548E-001	4.682040512561798E-001	-5.120471715927124E-001	8.141164183616638E-001	
4.225333333333333E+008	-1.738997758366168E-003	-1.812158385291696E-003	-1.780866296030581E-003	-1.782997278496623E-003	-8.380214571952820E-001	4.714478850364685E-001	-5.079488754272461E-001	8.168135285377502E-001	
4.229666666666667E+008	-1.804664148949087E-003	-1.786407199688256E-003	-1.824990264140070E-003	-1.775470445863903E-003	-8.362612724304199E-001	4.751343429088593E-001	-5.039138793945313E-001	8.192171454429627E-001	
4.234000000000000E+008	-1.788274268619716E-003	-1.775682438164949E-003	-1.812920439988375E-003	-1.804892206564546E-003	-8.345293998718262E-001	4.784512519836426E-001	-4.997234046459198E-001	8.217898607254028E-001	
4.238333333333333E+008	-1.839867210946977E-003	-1.819935510866344E-003	-1.797904260456562E-003	-1.792977680452168E-003	-8.326284885406494E-001	4.819425642490387E-001	-4.958466589450836E-001	8.242675662040710E-001	
4.242666666666667E+008	-1.882517361082137E-003	-1.776822609826922E-003	-1.787059707567096E-003	-1.799584366381168E-003	-8.307607173919678E-001	4.856051504611969E-001	-4.913460314273834E-001	8.266732096672058E-001	
4.247000000000000E+008	-1.850335858762264E-003	-1.803819905035198E-003	-1.900433097034693E-003	-1.805157517082989E-003	-8.289691805839539E-001	4.891368150711060E-001	-4.871363937854767E-001	8.292748332023621E-001	
4.251333333333333E+008	-1.888872357085347E-003	-1.850323751568794E-003	-1.924759941175580E-003	-1.872658380307257E-003	-8.270018100738525E-001	4.927740097045898E-001	-4.829893410205841E-001	8.317893147468567E-001	
4.255666666666667E+008	-1.956903608515859E-003	-1.784189953468740E-003	-1.966790063306689E-003	-1.823535072617233E-003	-8.249562978744507E-001	4.962641298770905E-001	-4.783965945243835E-001	8.341839909553528E-001	
4.260000000000000E+008	-1.974034123122692E-003	-1.860983902588487E-003	-1.968154218047857E-003	-1.827449072152376E-003	-8.231352567672730E-001	4.998102784156799E-001	-4.739373922348023E-001	8.366161584854126E-001	
4.264333333333333E+008	-1.991850556805730E-003	-1.769315334968269E-003	-2.033104887232184E-003	-1.880168449133635E-003	-8.209560513496399E-001	5.030134916305542E-001	-4.695104658603668E-001	8.391759991645813E-001	
4.268666666666667E+008	-2.018655650317669E-003	-1.843223348259926E-003	-1.999696949496865E-003	-1.866057980805636E-003	-8.189032077789307E-001	5.063919425010681E-001	-4.647848308086395E-001	8.413913846015930E-001	
4.273000000000000E+008	-2.110641915351152E-003	-1.815659343264997E-003	-2.012819051742554E-003	-1.818581949919462E-003	-8.168964385986328E-001	5.097522735595703E-001	-4.606103897094727E-001	8.437870740890503E-001	
4.277333333333333E+008	-2.083528321236372E-003	-1.831872970797122E-003	-2.113747177645564E-003	-1.852838788181543E-003	-8.146544694900513E-001	5.129038691520691E-001	-4.560159444808960E-001	8.460900187492371E-001	
4.281666666666667E+008	-2.085926709696651E-003	-1.877271803095937E-003	-2.062487648800015E-003	-1.860568416304886E-003	-8.123766779899597E-001	5.162289738655090E-001	-4.514947235584259E-001	8.483026623725891E-001	
4.286000000000000E+008	-2.117500640451908E-003	-1.815223600715399E-003	-2.102114493027329E-003	-1.848019193857908E-003	-8.102244734764099E-001	5.194810628890991E-001	-4.470588266849518E-001	8.506395816802979E-001	
4.290333333333333E+008	-2.146600978448987E-003	-1.849491731263697E-003	-2.125827828422189E-003	-1.852138782851398E-003	-8.081479072570801E-001	5.224947333335877E-001	-4.423888921737671E-001	8.526771664619446E-001	
4.294666666666667E+008	-2.191368257626891E-003	-1.870731590315700E-003	-2.208828227594495E-003	-1.821985817514360E-003	-8.057768344879150E-001	5.258394479751587E-001	-4.378877282142639E-001	8.549804091453552E-001	
4.299000000000000E+008	-2.217403147369623E-003	-1.770131289958954E-003	-2.221882343292236E-003	-1.850707805715501E-003	-8.035997748374939E-001	5.291473865509033E-001	-4.331851303577423E-001	8.572003841400147E-001	
4.303333333333333E+008	-2.225874690338969E-003	-1.905710203573108E-003	-2.226740121841431E-003	-1.821233192458749E-003	-8.013984560966492E-001	5.321310162544251E-001	-4.289905726909638E-001	8.593260645866394E-001	
4.307666666666667E+008	-2.288060728460550E-003	-1.821425510570407E-003	-2.318476792424917E-003	-1.811783993616700E-003	-7.989897131919861E-001	5.353256464004517E-001	-4.245238304138184E-001	8.612848520278931E-001	
4.312000000000000E+008	-2.326145535334945E-003	-1.855676528066397E-003	-2.297527156770229E-003	-1.803477993234992E-003	-7.968168854713440E-001	5.384651422500610E-001	-4.200575947761536E-001	8.632869124412537E-001	
4.316333333333333E+008	-2.323284279555082E-003	-1.810717396438122E-003	-2.301472006365657E-003	-1.803647726774216E-003	-7.947601079940796E-001	5.415272116661072E-001	-4.158546030521393E-001	8.652200698852539E-001	
4.320666666666667E+008	-2.366917906329036E-003	-1.843762467615306E-003	-2.352676121518016E-003	-1.886475365608931E-003	-7.925047874450684E-001	5.446138381958008E-001	-4.114698767662048E-001	8.673705458641052E-001	
4.325000000000000E+008	-2.409181324765086E-003	-1.779674668796361E-003	-2.422429388388991E-003	-1.769880414940417E-003	-7.902104854583740E-001	5.476497411727905E-001	-4.070679545402527E-001	8.693485260009766E-001	
4.329333333333333E+008	-2.429456915706396E-003	-1.876726513728499E-003	-2.441240940243006E-003	-1.825468963943422E-003	-7.882572412490845E-001	5.505106449127197E-001	-4.028078019618988E-001	8.711895942687988E-001	
4.333666666666667E+008	-2.434875816106796E-003	-1.780744525603950E-003	-2.485706238076091E-003	-1.810549292713404E-003	-7.861151099205017E-001	5.535154342651367E-001	-3.985289335250855E-001	8.731901049613953E-001	
4.338000000000000E+008	-2.537425141781569E-003	-1.807795022614300E-003	-2.538466826081276E-003	-1.810690737329423E-003	-7.840522527694702E-001	5.565344691276550E-001	-3.940772116184235E-001	8.750311136245728E-001	
4.342333333333333E+008	-2.511077793315053E-003	-1.835460541769862E-003	-2.511182799935341E-003	-1.807346357963979E-003	-7.816958427429199E-001	5.594847202301025E-001	-3.895717859268189E-001	8.770204782485962E-001	
4.346666666666667E+008	-2.536092884838581E-003	-1.824902952648699E-003	-2.543685026466847E-003	-1.829946879297495E-003	-7.793966531753540E-001	5.627702474594116E-001	-3.849835395812988E-001	8.792380094528198E-001	
4.351000000000000E+008	-2.600519917905331E-003	-1.818564604036510E-003	-2.583174500614405E-003	-1.746156252920628E-003	-7.771319150924683E-001	5.658599138259888E-001	-3.806410729885101E-001	8.811812400817871E-001	
4.355333333333333E+008	-2.624458633363247E-003	-1.830288558267057E-003	-2.608298789709806E-003	-1.793185598216951E-003	-7.750862836837769E-001	5.692409276962280E-001	-3.757970035076141E-001	8.829398751258850E-001	
4.359666666666667E+008	-2.633265452459455E-003	-1.833791844546795E-003	-2.669910201802850E-003	-1.793653937056661E-003	-7.726347446441650E-001	5.724358558654785E-001	-3.713896572589874E-001	8.848260641098023E-001	
4.364000000000000E+008	-2.647455548867583E-003	-1.815139665268362E-003	-2.631280338391662E-003	-1.812089351005852E-003	-7.704513072967529E-001	5.756079554557800E-001	-3.667806088924408E-001	8.868573307991028E-001	
4.368333333333333E+008	-2.677034121006727E-003	-1.823050202801824E-003	-2.678739838302136E-003	-1.768601126968861E-003	-7.681548595428467E-001	5.786664485931397E-001	-3.620411157608032E-001	8.886170387268066E-001	
4.372666666666667E+008	-2.747750142589212E-003	-1.827347325161099E-003	-2.714186441153288E-003	-1.792136928997934E-003	-7.658185958862305E-001	5.817010998725891E-001	-3.574367761611939E-001	8.902733325958252E-001	
4.377000000000000E+008	-2.703540027141571E-003	-1.779533340595663E-003	-2.671160735189915E-003	-1.748998649418354E-003	-7.635576128959656E-001	5.846850275993347E-001	-3.528529703617096E-001	8.922849297523499E-001	
4.381333333333333E+008	-2.753891749307513E-003	-1.787480781786144E-003	-2.778907772153616E-003	-1.766710076481104E-003	-7.611510157585144E-001	5.877653956413269E-001	-3.480166494846344E-001	8.940356969833374E-001	
4.385666666666667E+008	-2.816156717017293E-003	-1.779403304681182E-003	-2.802473260089755E-003	-1.768033602274954E-003	-7.588502168655396E-001	5.907117724418640E-001	-3.434653580188751E-001	8.955941796302795E-001	
4.390000000000000E+008	-2.815443789586425E-003	-1.779454527422786E-003	-2.755213528871536E-003	-1.809318899177015E-003	-7.564263939857483E-001	5.938593745231628E-001	-3.387979567050934E-001	8.973871469497681E-001	
4.394333333333333E+008	-2.815510379150510E-003	-1.795840566046536E-003	-2.875683130696416E-003	-1.778362668119371E-003	-7.540482282638550E-001	5.966934561729431E-001	-3.340902328491211E-001	8.986952900886536E-001	
4.398666666666667E+008	-2.885435475036502E-003	-1.745849614962935E-003	-2.875183708965778E-003	-1.777461147867143E-003	-7.514356970787048E-001	5.993455052375794E-001	-3.295115232467651E-001	9.004613161087036E-001	
4.403000000000000E+008	-2.917509293183684E-003	-1.848936313763261E-003	-2.948645036667585E-003	-1.712389057502151E-003	-7.527791857719421E-001	6.017217636108398E-001	-3.268193900585175E-001	9.016649127006531E-001	
4.407333333333333E+008	-2.932262374088168E-003	-1.745150773786008E-003	-2.944631967693567E-003	-1.793039613403380E-003	-7.502185106277466E-001	6.045671701431274E-001	-3.218469917774200E-001	9.030501246452332E-001	
4.411666666666667E+008	-2.916834084317088E-003	-1.803706865757704E-003	-3.026666818186641E-003	-1.697206287644804E-003	-7.476646900177002E-001	6.074445247650147E-001	-3.172470629215241E-001	9.043067693710327E-001	
4.416000000000000E+008	-3.029336454346776E-003	-1.842980040237308E-003	-2.993530593812466E-003	-1.795572461560369E-003	-7.450560331344605E-001	6.101292371749878E-001	-3.123885989189148E-001	9.059318900108337E-001	
4.420333333333333E+008	-2.968464046716690E-003	-1.756692188791931E-003	-2.991940593346953E-003	-1.737690297886729E-003	-7.425089478492737E-001	6.130197048187256E-001	-3.080651462078095E-001	9.071860909461975E-001	
4.424666666666667E+008	-3.091521328315139E-003	-1.745648682117462E-003	-3.101603360846639E-003	-1.722545130178332E-003	-7.399945855140686E-001	6.158049106597900E-001	-3.031754791736603E-001	9.086608290672302E-001	
4.429000000000000E+008	-3.084239549934864E-003	-1.768311951309443E-003	-3.166314214468002E-003	-1.705459784716368E-003	-7.371304631233215E-001	6.185088753700256E-001	-2.983246445655823E-001	9.100631475448608E-001	
4.433333333333333E+008	-3.167677205055952E-003	-1.731038792058826E-003	-3.172601573169231E-003	-1.669226097874343E-003	-7.345169186592102E-001	6.214981675148010E-001	-2.938486933708191E-001	9.110887646675110E-001	
4.437666666666667E+008	-3.198526101186872E-003	-1.741494867019355E-003	-3.205265384167433E-003	-1.669986872002482E-003	-7.319242954254150E-001	6.243967413902283E-001	-2.889683842658997E-001	9.127905964851379E-001	
4.442000000000000E+008	-3.158475272357464E-003	-1.661435933783650E-003	-3.167358227074146E-003	-1.713926205411553E-003	-7.293611168861389E-001	6.271351575851440E-001	-2.841941714286804E-001	9.140397310256958E-001	
4.446333333333333E+008	-3.174310084432364E-003	-1.698157284408808E-003	-3.281122073531151E-003	-1.636365894228220E-003	-7.267201542854309E-001	6.300119757652283E-001	-2.795236408710480E-001	9.152053594589233E-001	
4.450666666666667E+008	-3.256620140746236E-003	-1.660102861933410E-003	-3.259908873587847E-003	-1.693177619017661E-003	-7.239631414413452E-001	6.326562762260437E-001	-2.747719287872315E-001	9.165496826171875E-001	
4.455000000000000E+008	-3.321508411318064E-003	-1.662163762375712E-003	-3.297643270343542E-003	-1.636823057197034E-003	-7.213568687438965E-001	6.356790661811829E-001	-2.699642181396484E-001	9.177710413932800E-001	
4.459333333333333E+008	-3.243687329813838E-003	-1.647226628847420E-003	-3.305291291326284E-003	-1.628983067348599E-003	-7.185600399971008E-001	6.383233666419983E-001	-2.650945484638214E-001	9.191901683807373E-001	
4.463666666666667E+008	-3.370940685272217E-003	-1.655725296586752E-003	-3.298176219686866E-003	-1.668925397098064E-003	-7.159491181373596E-001	6.411109566688538E-001	-2.600075304508209E-001	9.203881025314331E-001	
4.468000000000000E+008	-3.313444089144468E-003	-1.692082150839269E-003	-3.309566527605057E-003	-1.616378081962466E-003	-7.132647633552551E-001	6.439535021781921E-001	-2.550116181373596E-001	9.216989874839783E-001	
4.472333333333333E+008	-3.366388147696853E-003	-1.613089465536177E-003	-3.403760725632310E-003	-1.626502838917077E-003	-7.103850245475769E-001	6.466842889785767E-001	-2.504299879074097E-001	9.228006005287170E-001	
4.476666666666667E+008	-3.494280390441418E-003	-1.602875418029726E-003	-3.403976326808333E-003	-1.610935898497701E-003	-7.079144120216370E-001	6.495491862297058E-001	-2.454368770122528E-001	9.240906834602356E-001	
4.481000000000000E+008	-3.488756017759442E-003	-1.616663881577551E-003	-3.431421471759677E-003	-1.564615988172591E-003	-7.053305506706238E-001	6.524671316146851E-001	-2.405035346746445E-001	9.250552058219910E-001	
4.485333333333333E+008	-3.496594959869981E-003	-1.605915720574558E-003	-3.539370838552713E-003	-1.592932734638453E-003	-7.026807665824890E-001	6.550706028938294E-001	-2.351768761873245E-001	9.264122843742371E-001	
4.489666666666667E+008	-3.529946319758892E-003	-1.539607299491763E-003	-3.509343368932605E-003	-1.559353782795370E-003	-6.998160481452942E-001	6.578655838966370E-001	-2.301474362611771E-001	9.276199936866760E-001	
4.494000000000000E+008	-3.557126037776470E-003	-1.585960621014237E-003	-3.528201486915350E-003	-1.598512404598296E-003	-6.969706416130066E-001	6.608631610870361E-001	-2.252130657434464E-001	9.286520481109619E-001	
4.498333333333333E+008	-3.549243323504925E-003	-1.603194861672819E-003	-3.546693595126271E-003	-1.541041303426027E-003	-6.943604946136475E-001	6.634334921836853E-001	-2.201264202594757E-001	9.299567341804504E-001	
4.502666666666667E+008	-3.609913634136319E-003	-1.580263138748705E-003	-3.606304991990328E-003	-1.579157658852637E-003	-6.916010975837708E-001	6.663109660148621E-001	-2.151323705911636E-001	9.309371709823608E-001	
4.507000000000000E+008	-3.624000120908022E-003	-1.583061297424138E-003	-3.631123341619968E-003	-1.590946805663407E-003	-6.888538599014282E-001	6.692602634429932E-001	-2.100596576929092E-001	9.320112466812134E-001	
4.511333333333333E+008	-3.680884139612317E-003	-1.562676508910954E-003	-3.729967400431633E-003	-1.560784527100623E-003	-6.863236427307129E-001	6.718108057975769E-001	-2.051003128290176E-001	9.330446124076843E-001	
4.515666666666667E+008	-3.729660063982010E-003	-1.524379942566156E-003	-3.676982596516609E-003	-1.517152762971818E-003	-6.835560202598572E-001	6.747769117355347E-001	-1.998964995145798E-001	9.339985251426697E-001	
4.520000000000000E+008	-3.714734688401222E-003	-1.464541186578572E-003	-3.743158886209130E-003	-1.519496785476804E-003	-6.808471679687500E-001	6.773388385772705E-001	-1.948600709438324E-001	9.349725842475891E-001	
4.524333333333333E+008	-3.772950032725930E-003	-1.500103389844298E-003	-3.725345479324460E-003	-1.477670390158892E-003	-6.782566308975220E-001	6.799883246421814E-001	-1.898755878210068E-001	9.359573721885681E-001	
4.528666666666667E+008	-3.779461141675711E-003	-1.446305075660348E-003	-3.829008899629116E-003	-1.494785188697279E-003	-6.755195856094360E-001	6.827715635299683E-001	-1.848316341638565E-001	9.366174936294556E-001	
4.533000000000000E+008	-3.812614129856229E-003	-1.450783340260387E-003	-3.840903518721461E-003	-1.465166220441461E-003	-6.728286147117615E-001	6.853325963020325E-001	-1.799772381782532E-001	9.377478361129761E-001	
4.537333333333333E+008	-3.897939110174775E-003	-1.437848084606230E-003	-3.895461093634367E-003	-1.464295433834195E-003	-6.701191067695618E-001	6.880821585655212E-001	-1.748872101306915E-001	9.387011528015137E-001	
4.541666666666667E+008	-3.923246636986733E-003	-1.400758512318134E-003	-3.900674171745777E-003	-1.396292704157531E-003	-6.672360301017761E-001	6.905408501625061E-001	-1.697337031364441E-001	9.392983913421631E-001	
4.546000000000000E+008	-3.908711019903421E-003	-1.397150335833430E-003	-3.931513521820307E-003	-1.328319078311324E-003	-6.644821763038635E-001	6.934176087379456E-001	-1.648188382387161E-001	9.399482011795044E-001	
4.550333333333333E+008	-3.954590763896704E-003	-1.413367572240531E-003	-3.928081132471561E-003	-1.371797057799995E-003	-6.616700887680054E-001	6.957980394363403E-001	-1.598131060600281E-001	9.409117102622986E-001	
4.554666666666667E+008	-4.002578090876341E-003	-1.405710470862687E-003	-3.944623284041882E-003	-1.443108776584268E-003	-6.590579152107239E-001	6.983989477157593E-001	-1.548804193735123E-001	9.414786696434021E-001	
