        Frequency / MHz                S1,1/abs,dB
                  1078.8                      -6.6267083
                  1080.9                      -6.5720752
                    1083                      -6.5179261
                  1085.1                      -6.4642739
                  1087.2                      -6.4111355
                  1089.3                      -6.3585276
                  1091.4                      -6.3064603
                  1093.5                      -6.2549443
                  1095.6                      -6.2039907
                  1097.7                      -6.1536042
                  1099.8                      -6.1037996
                  1101.9                      -6.0545764
                    1104                      -6.0059447
                  1106.1                      -5.9579064
                  1108.2                      -5.9104668
                  1110.3                      -5.8636322
                  1112.4                      -5.8173984
                  1114.5                      -5.7717705
                  1116.6                      -5.7267505
                  1118.7                      -5.6823373
                  1120.8                      -5.6385276
                  1122.9                      -5.5953266
                    1125                      -5.5527292
                  1127.1                       -5.510736
                  1129.2                      -5.4693424
                  1131.3                      -5.4285494
                  1133.4                      -5.3883528
                  1135.5                      -5.3487477
                  1137.6                      -5.3097314
                  1139.7                      -5.2713021
                  1141.8                      -5.2334561
                  1143.9                      -5.1961892
                    1146                      -5.1594962
                  1148.1                      -5.1233723
                  1150.2                      -5.0878178
                  1152.3                      -5.0528237
                  1154.4                      -5.0183874
                  1156.5                      -4.9845041
                  1158.6                      -4.9511693
                  1160.7                      -4.9183809
                  1162.8                      -4.8861309
                  1164.9                      -4.8544156
                    1167                      -4.8232327
                  1169.1                      -4.7925748
                  1171.2                      -4.7624388
                  1173.3                      -4.7328225
                  1175.4                      -4.7037174
                  1177.5                      -4.6751236
                  1179.6                      -4.6470338
                  1181.7                      -4.6194432
                  1183.8                      -4.5923515
                  1185.9                      -4.5657513
                    1188                      -4.5396382
                  1190.1                      -4.5140108
                  1192.2                      -4.4888631
                  1194.3                      -4.4641944
                  1196.4                      -4.4399976
                  1198.5                      -4.4162681
                  1200.6                      -4.3930055
                  1202.7                      -4.3702036
                  1204.8                      -4.3478607
                  1206.9                      -4.3259696
                    1209                      -4.3045297
                  1211.1                      -4.2835376
                  1213.2                      -4.2629891
                  1215.3                      -4.2428793
                  1217.4                      -4.2232071
                  1219.5                      -4.2039669
                  1221.6                      -4.1851559
                  1223.7                      -4.1667686
                  1225.8                      -4.1488049
                  1227.9                      -4.1312601
                    1230                      -4.1141287
                  1232.1                       -4.097409
                  1234.2                      -4.0810978
                  1236.3                      -4.0651899
                  1238.4                       -4.049682
                  1240.5                      -4.0345721
                  1242.6                      -4.0198539
                  1244.7                      -4.0055276
                  1246.8                      -3.9915867
                  1248.9                      -3.9780269
                    1251                      -3.9648463
                  1253.1                      -3.9520423
                  1255.2                        -3.93961
                  1257.3                      -3.9275438
                  1259.4                      -3.9158429
                  1261.5                      -3.9045042
                  1263.6                      -3.8935222
                  1265.7                      -3.8828937
                  1267.8                      -3.8726164
                  1269.9                      -3.8626849
                    1272                      -3.8530974
                  1274.1                      -3.8438491
                  1276.2                      -3.8349384
                  1278.3                       -3.826361
                  1280.4                      -3.8181141
                  1282.5                      -3.8101931
                  1284.6                      -3.8025965
                  1286.7                      -3.7953211
                  1288.8                      -3.7883617
                  1290.9                      -3.7817183
                    1293                      -3.7753874
                  1295.1                      -3.7693648
                  1297.2                      -3.7636498
                  1299.3                       -3.758237
                  1301.4                      -3.7531276
                  1303.5                      -3.7483151
                  1305.6                      -3.7438009
                  1307.7                      -3.7395804
                  1309.8                      -3.7356527
                  1311.9                      -3.7320142
                    1314                      -3.7286653
                  1316.1                      -3.7256022
                  1318.2                      -3.7228239
                  1320.3                      -3.7203292
                  1322.4                      -3.7181151
                  1324.5                      -3.7161814
                  1326.6                      -3.7145262
                  1328.7                      -3.7131482
                  1330.8                      -3.7120473
                  1332.9                      -3.7112202
                    1335                      -3.7106667
                  1337.1                       -3.710387
                  1339.2                       -3.710379
                  1341.3                      -3.7106418
                  1343.4                      -3.7111748
                  1345.5                      -3.7119774
                  1347.6                      -3.7130483
                  1349.7                      -3.7143875
                  1351.8                      -3.7159952
                  1353.9                      -3.7178687
                    1356                      -3.7200084
                  1358.1                      -3.7224129
                  1360.2                      -3.7250837
                  1362.3                      -3.7280184
                  1364.4                      -3.7312173
                  1366.5                      -3.7346803
                  1368.6                      -3.7384048
                  1370.7                      -3.7423923
                  1372.8                      -3.7466403
