        Frequency                Csh=0.5/abs,dB
                  1085.1                      -5.0812755
                  1087.2                      -5.0438549
                  1089.3                       -5.006898
                  1091.4                      -4.9704083
                  1093.5                      -4.9343908
                  1095.6                      -4.8988469
                  1097.7                      -4.8637797
                  1099.8                      -4.8291899
                  1101.9                      -4.7950812
                    1104                      -4.7614506
                  1106.1                      -4.7282998
                  1108.2                      -4.6956293
                  1110.3                      -4.6634383
                  1112.4                      -4.6317232
                  1114.5                      -4.6004825
                  1116.6                      -4.5697171
                  1118.7                      -4.5394226
                  1120.8                      -4.5095943
                  1122.9                       -4.480233
                    1125                       -4.451332
                  1127.1                      -4.4228922
                  1129.2                      -4.3949069
                  1131.3                      -4.3673727
                  1133.4                       -4.340289
                  1135.5                       -4.313647
                  1137.6                       -4.287447
                  1139.7                      -4.2616836
                  1141.8                      -4.2363521
                  1143.9                      -4.2114502
                    1146                      -4.1869723
                  1148.1                      -4.1629145
                  1150.2                      -4.1392768
                  1152.3                      -4.1160502
                  1154.4                       -4.093233
                  1156.5                      -4.0708227
                  1158.6                       -4.048814
                  1160.7                       -4.027205
                  1162.8                      -4.0059906
                  1164.9                      -3.9851701
                    1167                      -3.9647374
                  1169.1                      -3.9446922
                  1171.2                      -3.9250273
                  1173.3                       -3.905747
                  1175.4                      -3.8868416
                  1177.5                       -3.868313
                  1179.6                      -3.8501572
                  1181.7                      -3.8323717
                  1183.8                      -3.8149572
                  1185.9                      -3.7979071
                    1188                      -3.7812216
                  1190.1                      -3.7648979
                  1192.2                       -3.748939
                  1194.3                       -3.733337
                  1196.4                      -3.7180934
                  1198.5                      -3.7032064
                  1200.6                      -3.6886756
                  1202.7                      -3.6744983
                  1204.8                      -3.6606737
                  1206.9                      -3.6472015
                    1209                      -3.6340792
                  1211.1                      -3.6213078
                  1213.2                      -3.6088851
                  1215.3                      -3.5968101
                  1217.4                      -3.5850826
                  1219.5                      -3.5737006
                  1221.6                      -3.5626641
                  1223.7                       -3.551972
                  1225.8                      -3.5416239
                  1227.9                      -3.5316184
                    1230                      -3.5219553
                  1232.1                      -3.5126332
                  1234.2                      -3.5036518
                  1236.3                      -3.4950102
                  1238.4                      -3.4867059
                  1240.5                      -3.4787406
                  1242.6                      -3.4711122
                  1244.7                      -3.4638189
                  1246.8                      -3.4568599
                  1248.9                      -3.4502354
                    1251                      -3.4439435
                  1253.1                       -3.437983
                  1255.2                       -3.432352
                  1257.3                      -3.4270514
                  1259.4                      -3.4220774
                  1261.5                        -3.41743
                  1263.6                      -3.4131072
                  1265.7                      -3.4091087
                  1267.8                      -3.4054312
                  1269.9                      -3.4020744
                    1272                       -3.399037
                  1274.1                      -3.3963159
                  1276.2                      -3.3939118
                  1278.3                      -3.3918207
                  1280.4                      -3.3900424
                  1282.5                      -3.3885746
                  1284.6                      -3.3874152
                  1286.7                      -3.3865633
                  1288.8                       -3.386016
                  1290.9                      -3.3857722
                    1293                      -3.3858292
                  1295.1                      -3.3861861
                  1297.2                      -3.3868413
                  1299.3                      -3.3877924
                  1301.4                      -3.3890378
                  1303.5                      -3.3905751
                  1305.6                      -3.3924022
                  1307.7                        -3.39452
                  1309.8                      -3.3969239
                  1311.9                      -3.3996133
                    1314                      -3.4025863
                  1316.1                      -3.4058415
                  1318.2                      -3.4093771
                  1320.3                      -3.4131921
                  1322.4                      -3.4172849
                  1324.5                      -3.4216542
                  1326.6                      -3.4262981
                  1328.7                      -3.4312162
                  1330.8                      -3.4364062
                  1332.9                      -3.4418691
                    1335                      -3.4476018
                  1337.1                      -3.4536049
                  1339.2                      -3.4598759
                  1341.3                      -3.4664165
                  1343.4                      -3.4732237
                  1345.5                      -3.4802981
                  1347.6                      -3.4876402
                  1349.7                       -3.495249
                  1351.8                      -3.5031229
                  1353.9                      -3.5112642
                    1356                       -3.519671
                  1358.1                      -3.5283446
                  1360.2                       -3.537285
                  1362.3                      -3.5464918
                  1364.4                      -3.5559665
                  1366.5                      -3.5657092
                  1368.6                      -3.5757202
                  1370.7                      -3.5860006
                  1372.8                      -3.5965515
                  1374.9                      -3.6073728
                    1377                      -3.6184676
                  1379.1                      -3.6298341
                  1381.2                      -3.6414749
                  1383.3                      -3.6533926
                  1385.4                      -3.6655864
                  1387.5                      -3.6780581
                  1389.6                      -3.6908103
                  1391.7                      -3.7038425
                  1393.8                      -3.7171586
                  1395.9                      -3.7307581
                    1398                      -3.7446439
                  1400.1                      -3.7588171
                  1402.2                      -3.7732797
                  1404.3                       -3.788033
                  1406.4                      -3.8030785
                  1408.5                      -3.8184182
                  1410.6                      -3.8340533
                  1412.7                      -3.8499856
                  1414.8                      -3.8662174
                  1416.9                      -3.8827499
                    1419                      -3.8995843
                  1421.1                      -3.9167221
                  1423.2                      -3.9341645
                  1425.3                      -3.9519136
                  1427.4                      -3.9699707
                  1429.5                      -3.9883355
                  1431.6                      -4.0070108
                  1433.7                      -4.0259966
                  1435.8                       -4.045294
                  1437.9                      -4.0649048
                    1440                       -4.084829
                  1442.1                      -4.1050665
                  1444.2                      -4.1256186
                  1446.3                      -4.1464852
                  1448.4                       -4.167667
                  1450.5                       -4.189164
                  1452.6                      -4.2109748
                  1454.7                      -4.2331008
                  1456.8                      -4.2555416
                  1458.9                      -4.2782954
                    1461                      -4.3013639
                  1463.1                      -4.3247427
                  1465.2                       -4.348433
                  1467.3                      -4.3724337
                  1469.4                      -4.3967418
                  1471.5                       -4.421358
                  1473.6                      -4.4462801
                  1475.7                      -4.4715054
                  1477.8                      -4.4970332
                  1479.9                      -4.5228591
                    1482                      -4.5489831
                  1484.1                      -4.5754024
                  1486.2                      -4.6021128
                  1488.3                      -4.6291141
                  1490.4                       -4.656403
                  1492.5                      -4.6839745
                  1494.6                      -4.7118279
                  1496.7                      -4.7399573
                  1498.8                       -4.768362
                  1500.9                       -4.797038
                    1503                      -4.8259812
                  1505.1                      -4.8551886
                  1507.2                      -4.8846557
                  1509.3                      -4.9143794
                  1511.4                       -4.944356
                  1513.5                      -4.9745794
                  1515.6                      -5.0050494
                  1517.7                      -5.0357596
                  1519.8                      -5.0667057
                  1521.9                      -5.0978857
                    1524                      -5.1292948
                  1526.1                      -5.1609278
                  1528.2                      -5.1927825
                  1530.3                      -5.2248523
                  1532.4                      -5.2571352
                  1534.5                      -5.2896273
                  1536.6                      -5.3223231
                  1538.7                      -5.3552205
                  1540.8                      -5.3883156
                  1542.9                      -5.4216024
                    1545                       -5.455081
                  1547.1                       -5.488742
                  1549.2                      -5.5225861
                  1551.3                       -5.556608
                  1553.4                      -5.5908039
                  1555.5                      -5.6251723
                  1557.6                      -5.6597087
                  1559.7                      -5.6944089
                  1561.8                      -5.7292704
                  1563.9                      -5.7642876
                    1566                      -5.7994623
                  1568.1                      -5.8347882
                  1570.2                      -5.8702602
                  1572.3                      -5.9058795
                  1574.4                      -5.9416412
                  1576.5                      -5.9775439
                  1578.6                      -6.0135808
                  1580.7                      -6.0497509
                  1582.8                      -6.0860528
                  1584.9                      -6.1224828
                    1587                      -6.1590371
                  1589.1                       -6.195712
                  1591.2                      -6.2325063
                  1593.3                      -6.2694162
                  1595.4                      -6.3064374
                  1597.5                       -6.343566
                  1599.6                         -6.3808
                  1601.7                      -6.4181358
                  1603.8                      -6.4555684
                  1605.9                      -6.4930969
                    1608                      -6.5307127
                  1610.1                      -6.5684138
                  1612.2                      -6.6061953
                  1614.3                      -6.6440503
                  1616.4                      -6.6819755
                  1618.5                      -6.7199657
                  1620.6                      -6.7580137
                  1622.7                       -6.796114
                  1624.8                      -6.8342583
                  1626.9                      -6.8724399
                    1629                      -6.9106554
                  1631.1                      -6.9488884
                  1633.2                      -6.9871352
                  1635.3                      -7.0253866
                  1637.4                      -7.0636303
                  1639.5                      -7.1018575
                  1641.6                       -7.140058
                  1643.7                       -7.178218
                  1645.8                      -7.2163284
                  1647.9                        -7.25437
                    1650                      -7.2923338
                  1652.1                      -7.3302043
                  1654.2                      -7.3679652
                  1656.3                      -7.4056025
                  1658.4                      -7.4430961
                  1660.5                      -7.4804295
                  1662.6                      -7.5175842
                  1664.7                      -7.5545388
                  1666.8                      -7.5912769
                  1668.9                       -7.627775
                    1671                       -7.664011
                  1673.1                      -7.6999632
                  1675.2                      -7.7356075
                  1677.3                      -7.7709179
                  1679.4                      -7.8058711
                  1681.5                      -7.8404383
                  1683.6                      -7.8745993
                  1685.7                      -7.9083197
                  1687.8                      -7.9415733
                  1689.9                      -7.9743362
                    1692                      -8.0065759
                  1694.1                      -8.0382622
                  1696.2                      -8.0693676
                  1698.3                      -8.0998577
                  1700.4                       -8.129707
                  1702.5                      -8.1588822
                  1704.6                       -8.187353
                  1706.7                      -8.2150884
                  1708.8                      -8.2420604
                  1710.9                      -8.2682359
                    1713                       -8.293587
                  1715.1                      -8.3180807
                  1717.2                      -8.3416898
                  1719.3                      -8.3643862
                  1721.4                      -8.3861408
                  1723.5                      -8.4069296
                  1725.6                      -8.4267236
                  1727.7                      -8.4454981
                  1729.8                      -8.4632298
                  1731.9                       -8.479896
                    1734                      -8.4954749
                  1736.1                      -8.5099487
                  1738.2                      -8.5232948
                  1740.3                      -8.5355003
                  1742.4                      -8.5465479
                  1744.5                      -8.5564243
                  1746.6                      -8.5651188
                  1748.7                      -8.5726192
                  1750.8                      -8.5789199
                  1752.9                      -8.5840143
                    1755                      -8.5878978
                  1757.1                      -8.5905666
                  1759.2                      -8.5920242
                  1761.3                      -8.5922685
                  1763.4                      -8.5913053
                  1765.5                       -8.589139
                  1767.6                      -8.5857793
                  1769.7                      -8.5812354
                  1771.8                      -8.5755172
                  1773.9                      -8.5686393
                    1776                      -8.5606165
                  1778.1                      -8.5514671
                  1780.2                      -8.5412089
                  1782.3                      -8.5298623
                  1784.4                      -8.5174496
                  1786.5                      -8.5039953
                  1788.6                      -8.4895239
                  1790.7                      -8.4740596
                  1792.8                      -8.4576334
                  1794.9                      -8.4402741
                    1797                       -8.422011
                  1799.1                      -8.4028757
                  1801.2                      -8.3829008
                  1803.3                      -8.3621198
                  1805.4                      -8.3405671
                  1807.5                      -8.3182752
                  1809.6                      -8.2952836
                  1811.7                      -8.2716248
                  1813.8                       -8.247336
                  1815.9                      -8.2224579
                    1818                      -8.1970236
                  1820.1                       -8.171072
                  1822.2                      -8.1446418
                  1824.3                       -8.117768
                  1826.4                      -8.0904922
                  1828.5                        -8.06285
                  1830.6                      -8.0348787
                  1832.7                      -8.0066197
                  1834.8                      -7.9781057
                  1836.9                      -7.9493729
                    1839                       -7.920465
                  1841.1                      -7.8914109
                  1843.2                      -7.8622485
                  1845.3                       -7.833014
                  1847.4                      -7.8037406
                  1849.5                      -7.7744666
                  1851.6                      -7.7452199
                  1853.7                      -7.7160358
                  1855.8                      -7.6869464
                  1857.9                      -7.6579804
                    1860                      -7.6291736
                  1862.1                        -7.60055
                  1864.2                      -7.5721427
                  1866.3                      -7.5439803
                  1868.4                      -7.5160859
                  1870.5                      -7.4884903
                  1872.6                      -7.4612162
                  1874.7                      -7.4342902
                  1876.8                      -7.4077341
                  1878.9                       -7.381574
                    1881                      -7.3558289
                  1883.1                      -7.3305242
                  1885.2                      -7.3056778
                  1887.3                      -7.2813097
                  1889.4                      -7.2574408
                  1891.5                      -7.2340858
                  1893.6                      -7.2112637
                  1895.7                      -7.1889909
                  1897.8                      -7.1672839
                  1899.9                      -7.1461566
                    1902                      -7.1256232
                  1904.1                      -7.1057005
                  1906.2                      -7.0863968
                  1908.3                      -7.0677238
                  1910.4                      -7.0496972
                  1912.5                      -7.0323233
                  1914.6                      -7.0156142
                  1916.7                      -6.9995776
                  1918.8                      -6.9842271
                  1920.9                      -6.9695627
                    1923                      -6.9556011
                  1925.1                      -6.9423399
                  1927.2                      -6.9297928
                  1929.3                      -6.9179614
                  1931.4                      -6.9068516
                  1933.5                      -6.8964703
                  1935.6                      -6.8868177
                  1937.7                      -6.8779008
                  1939.8                      -6.8697224
                  1941.9                      -6.8622816
                    1944                      -6.8555825
                  1946.1                      -6.8496272
                  1948.2                      -6.8444162
                  1950.3                        -6.83995
                  1952.4                      -6.8362293
                  1954.5                      -6.8332527
                  1956.6                      -6.8310201
                  1958.7                       -6.829529
                  1960.8                      -6.8287783
                  1962.9                      -6.8287653
                    1965                      -6.8294874
                  1967.1                      -6.8309417
                  1969.2                      -6.8331232
                  1971.3                      -6.8360281
                  1973.4                      -6.8396515
                  1975.5                      -6.8439888
                  1977.6                      -6.8490323
                  1979.7                      -6.8547778
                  1981.8                      -6.8612177
                  1983.9                      -6.8683427
                    1986                      -6.8761485
                  1988.1                       -6.884624
                  1990.2                      -6.8937607
                  1992.3                      -6.9035496
                  1994.4                      -6.9139815
                  1996.5                      -6.9250442
                  1998.6                      -6.9367268
                  2000.7                      -6.9490167
                  2002.8                      -6.9619051
                  2004.9                      -6.9753773
                    2007                      -6.9894183
                  2009.1                      -7.0040173
                  2011.2                      -7.0191572
                  2013.3                      -7.0348263
                  2015.4                      -7.0510059
                  2017.5                       -7.067681
                  2019.6                      -7.0848362
                  2021.7                      -7.1024551
                  2023.8                      -7.1205187
                  2025.9                      -7.1390091
                    2028                      -7.1579112
                  2030.1                      -7.1772028
                  2032.2                      -7.1968676
                  2034.3                      -7.2168824
                  2036.4                      -7.2372319
                  2038.5                      -7.2578949
                  2040.6                      -7.2788491
                  2042.7                      -7.3000767
                  2044.8                      -7.3215568
                  2046.9                      -7.3432685
                    2049                       -7.365188
                  2051.1                      -7.3872972
                  2053.2                      -7.4095776
                  2055.3                      -7.4320021
                  2057.4                       -7.454554
                  2059.5                      -7.4772147
                  2061.6                      -7.4999573
                  2063.7                      -7.5227696
                  2065.8                      -7.5456238
                  2067.9                       -7.568504
                    2070                      -7.5913931
                  2072.1                      -7.6142699
                  2074.2                      -7.6371138
                  2076.3                      -7.6599082
                  2078.4                      -7.6826408
                  2080.5                       -7.705288
                  2082.6                        -7.72784
                  2084.7                      -7.7502755
                  2086.8                       -7.772583
                  2088.9                      -7.7947515
                    2091                       -7.816763
                  2093.1                      -7.8386071
                  2095.2                      -7.8602759
                  2097.3                      -7.8817546
                  2099.4                       -7.903037
                  2101.5                      -7.9241105
                  2103.6                      -7.9449702
                  2105.7                      -7.9656109
                  2107.8                      -7.9860233
                  2109.9                      -8.0062044
                    2112                      -8.0261519
                  2114.1                        -8.04586
                  2116.2                      -8.0653266
                  2118.3                      -8.0845493
                  2120.4                      -8.1035327
                  2122.5                      -8.1222711
                  2124.6                      -8.1407689
                  2126.7                      -8.1590284
                  2128.8                      -8.1770488
                  2130.9                      -8.1948368
                    2133                      -8.2123933
                  2135.1                      -8.2297251
                  2137.2                       -8.246837
                  2139.3                      -8.2637316
                  2141.4                      -8.2804151
                  2143.5                      -8.2968981
                  2145.6                      -8.3131834
                  2147.7                      -8.3292783
                  2149.8                      -8.3451877
                  2151.9                      -8.3609215
                    2154                      -8.3764889
                  2156.1                      -8.3918892
                  2158.2                      -8.4071404
                  2160.3                      -8.4222409
                  2162.4                       -8.437202
                  2164.5                       -8.452028
                  2166.6                      -8.4667319
                  2168.7                      -8.4813109
                  2170.8                      -8.4957783
                  2172.9                      -8.5101356
                    2175                      -8.5243929
                  2177.1                      -8.5385494
                  2179.2                      -8.5526159
                  2181.3                      -8.5665913
                  2183.4                      -8.5804838
                  2185.5                      -8.5942916
                  2187.6                      -8.6080251
                  2189.7                      -8.6216717
                  2191.8                      -8.6352501
                  2193.9                      -8.6487485
                    2196                      -8.6621734
                  2198.1                      -8.6755231
                  2200.2                      -8.6887929
                  2202.3                      -8.7019859
                  2204.4                      -8.7150921
                  2206.5                      -8.7281179
                  2208.6                      -8.7410542
                  2210.7                      -8.7538958
                  2212.8                      -8.7666404
                  2214.9                      -8.7792783
                    2217                      -8.7918074
                  2219.1                      -8.8042175
                  2221.2                      -8.8165015
                  2223.3                      -8.8286538
